project_id,add,delete,pathname
29126205,2,2,code/xcorr_namaster.py
29126205,11,5,code/xcorr_namaster.py
29126205,8,1,code/xcorr_namaster.py
29126205,1,1,code/xcorr_namaster.py
29126205,4,0,code/xcorr_namaster.py
29126205,4,0,code/xcorr_namaster.py
29126205,12,2,code/xcorr_namaster.py
29126205,2,2,code/xcorr_namaster.py
29126205,1,1,code/xcorr_namaster.py
29126205,3,0,code/xcorr_namaster.py
29126205,5,1,code/xcorr_namaster.py
29126205,4,0,code/xcorr_namaster.py
29126205,4,5,code/xcorr_namaster.py
29126205,24,5,code/xcorr_namaster.py
29126205,8,2,code/xcorr_namaster.py
29126205,2,2,code/xcorr_namaster.py
29126205,4,1,code/xcorr_namaster.py
29126205,4,1,code/xcorr_namaster.py
29126205,2,0,code/xcorr_namaster.py
29126205,6,1,code/xcorr_namaster.py
29126205,5,2,code/xcorr_namaster.py
29126205,3,1,code/xcorr_planck.py
29126205,2,2,code/xcorr_planck.py
29126205,21,9,code/xcorr_namaster.py
29126205,58,2,code/xcorr_namaster.py
29126205,5,3,code/xcorr_planck.py
29126205,2,0,code/xcorr_namaster.py
29126205,1,1,code/xcorr_namaster.py
29126205,1,1,code/xcorr_planck.py
29126205,6,1,code/xcorr_namaster.py
29126205,1,1,code/xcorr_planck.py
29126205,21,5,code/xcorr_planck.py
29126205,16,0,code/xcorr_planck.py
29126205,5,2,code/xcorr_namaster.py
29126205,9,0,code/xcorr_namaster.py
29126205,61,0,code/generate_sims_S.py
29126205,10,2,code/xcorr_posterior_maps.py
29126205,1,1,code/xcorr_namaster.py
29126205,1,1,code/xcorr_posterior_maps.py
29126205,1,1,code/xcorr_posterior_maps.py
29126205,3,1,code/xcorr_posterior_maps.py
29126205,42,0,code/xcorr_posterior_maps.py
29126205,3,2,code/xcorr_namaster.py
29126205,14,2,code/NaMaster_Planck.py
29126205,145,0,code/NaMaster_Planck.py
29126205,74,0,code/xcorr_namaster.py
29126205,2,1,code/xcorr_namaster.py
29126205,2,2,code/xcorr_namaster.py
29126205,1,1,code/xcorr_namaster.py
29126205,1,1,code/xcorr_namaster.py
29126205,1,2,code/xcorr_namaster.py
29126205,4,1,code/xcorr_namaster.py
29126205,2,1,code/xcorr_namaster.py
29126205,1,1,code/xcorr_namaster.py
29126205,13,1,code/xcorr_namaster.py
29126205,1,1,code/xcorr_namaster.py
29126205,1,1,code/xcorr_namaster.py
29126205,18,3,code/xcorr_namaster.py
29126205,1,1,code/xcorr_namaster.py
29126205,5,0,code/xcorr_namaster.py
29126205,1,1,code/xcorr_namaster.py
29126205,0,1,code/xcorr_namaster.py
29126205,9,3,code/xcorr_namaster.py
29126205,2,1,code/xcorr_namaster.py
29126205,1,0,code/xcorr_namaster.py
29126205,5,0,code/xcorr_namaster.py
29126205,4,3,code/xcorr_namaster.py
29126205,14,39,code/xcorr_namaster.py
29126205,46,4,code/xcorr_namaster.py
29126205,7,7,code/xcorr_namaster.py
29126205,25,6,code/xcorr_namaster.py
29126205,1,1,code/xcorr_namaster.py
29126205,10,3,code/xcorr_namaster.py
29126205,5,2,code/xcorr_namaster.py
29126205,1,1,code/xcorr_namaster.py
29126205,2,2,code/xcorr_namaster.py
29126205,127,1,code/xcorr_namaster.py
29126205,5,0,code/xcorr_namaster.py
29126205,20,5,code/NaMaster_sims_fast.py
29126205,169,0,code/NaMaster_sims_fast.py
29126205,140,73,code/polspice_calibration.py
29126205,12,11,code/autocorr_bin.py
29126205,32,29,code/autocorr_parameter_wrapper.py
29126205,61,3,code/generate_sims.py
29126205,62,61,code/mask_apod_automate.py
29126205,206,0,code/polspice_calibration.py
29126205,1,1,code/generate_sims.py
29126205,1,1,code/generate_sims.py
29126205,12,4,code/mask_apod_automate.py
29126205,6,3,code/parameter_estimation.py
29126205,1,1,code/parameter_estimation.py
29126205,1,1,code/parameter_estimation.py
29126205,1,1,code/parameter_estimation.py
29126205,1,1,code/parameter_estimation.py
29126205,1,1,code/parameter_estimation.py
29126205,1,1,code/parameter_estimation.py
29126205,1,1,code/parameter_estimation.py
29126205,1,1,code/parameter_estimation.py
29126205,1,1,code/parameter_estimation.py
29126205,1,1,code/parameter_estimation.py
29126205,1,1,code/parameter_estimation.py
29126205,1,1,code/parameter_estimation.py
29126205,1,1,code/parameter_estimation.py
29126205,1,1,code/parameter_estimation.py
29126205,1,1,code/parameter_estimation.py
29126205,1,1,code/parameter_estimation.py
29126205,1,1,code/parameter_estimation.py
29126205,1,1,code/parameter_estimation.py
29126205,1,1,code/parameter_estimation.py
29126205,1,1,code/parameter_estimation.py
29126205,1,1,code/parameter_estimation.py
29126205,3,2,code/parameter_estimation.py
29126205,1,1,code/parameter_estimation.py
29126205,2,2,code/parameter_estimation.py
29126205,3,3,code/parameter_estimation.py
29126205,1,1,code/parameter_estimation.py
29126205,1,1,code/parameter_estimation.py
29126205,1,1,code/parameter_estimation.py
29126205,1,1,code/parameter_estimation.py
29126205,1,1,code/parameter_estimation.py
29126205,1,1,code/parameter_estimation.py
29126205,1,1,code/parameter_estimation.py
29126205,1,1,code/parameter_estimation.py
29126205,1,1,code/parameter_estimation.py
29126205,1,1,code/parameter_estimation.py
29126205,1,1,code/parameter_estimation.py
29126205,1,1,code/parameter_estimation.py
29126205,1,1,code/parameter_estimation.py
29126205,1,1,code/parameter_estimation.py
29126205,3,2,code/parameter_estimation.py
29126205,3,2,code/parameter_estimation.py
29126205,1,1,code/parameter_estimation.py
29126205,4,2,code/parameter_estimation.py
29126205,1,1,code/parameter_estimation.py
29126205,4,0,code/parameter_estimation.py
29126205,2,0,code/parameter_estimation.py
29126205,1,0,code/parameter_estimation.py
29126205,37,6,code/parameter_estimation.py
29126205,1,1,code/parameter_estimation.py
29126205,1,0,code/parameter_estimation.py
29126205,12,8,code/parameter_estimation.py
29126205,1,1,code/parameter_estimation.py
29126205,1,1,code/parameter_estimation.py
29126205,1,1,code/parameter_estimation.py
29126205,1,1,code/parameter_estimation.py
29126205,1,1,code/parameter_estimation.py
29126205,1,1,code/parameter_estimation.py
29126205,1,1,code/parameter_estimation.py
29126205,1,1,code/parameter_estimation.py
29126205,1,1,code/parameter_estimation.py
29126205,1,1,code/parameter_estimation.py
29126205,1,1,code/parameter_estimation.py
29126205,1,1,code/parameter_estimation.py
29126205,1,1,code/parameter_estimation.py
29126205,1,1,code/parameter_estimation.py
29126205,1,1,code/parameter_estimation.py
