project_id,Revision,Author,Date,Lines of Code,L Lines of Code,S Lines of Code,Multi-line comments,Multi lines,blank lines,Single comment lines,Cyclomatic Complexity,Unique Operands,Unique Operators,Number of Operands,Number of Operators,Unique vocabulary (h1 + h2),Length of application,Code volume,Difficulty,Effort,Maintainability Ranking,Maintainability Index
35149818,c072c40,Gavin Li,2017-09-19,64,31,29,17,8,10,17,20,4,11,7,14,15,21,82.0447,2.54545,208.841,A,80.0218
35149818,c072c40,Gavin Li,2017-09-19,87,31,30,13,31,13,13,24,9,35,34,53,44,87,474.971,6.81429,3236.59,A,63.8513
35149818,c072c40,Gavin Li,2017-09-19,27,11,10,7,5,5,7,9,1,2,1,2,3,3,4.75489,0.5,2.37744,A,94.2509
35149818,c072c40,Gavin Li,2017-09-19,65,26,25,12,16,12,12,14,4,8,4,8,12,12,43.0196,2,86.0391,A,80.112
35149818,c072c40,Gavin Li,2017-09-19,88,58,52,5,14,17,5,19,10,34,28,52,44,80,436.755,7.64706,3339.89,A,69.2028
35149818,c072c40,Gavin Li,2017-09-19,81,44,40,15,12,14,15,23,4,8,7,9,12,16,57.3594,2.25,129.059,A,79.3435
35149818,c072c40,Gavin Li,2017-09-19,51,15,13,3,22,13,3,17,5,12,7,12,17,19,77.6618,2.5,194.154,A,67.6456
35149818,c072c40,Gavin Li,2017-09-19,70,38,36,10,11,13,10,16,3,5,3,5,8,8,24,1.5,36,A,83.3636
35149818,c072c40,Gavin Li,2017-09-19,58,19,16,4,30,8,4,21,7,17,18,31,24,49,224.663,6.38235,1433.88,A,57.691
35149818,c072c40,Gavin Li,2017-09-19,34,14,12,3,12,7,3,11,4,6,4,6,10,10,33.2193,2,66.4386,A,85.0154
35149818,c072c40,Gavin Li,2017-09-19,56,26,24,14,8,10,14,20,5,13,9,18,18,27,112.588,3.46154,389.728,A,80.2047
35149818,c072c40,Gavin Li,2017-09-19,39,22,19,6,10,4,6,20,4,9,6,11,13,17,62.9075,2.44444,153.774,A,84.4325
35149818,c072c40,Gavin Li,2017-09-19,94,36,33,8,34,19,8,24,7,24,19,33,31,52,257.618,4.8125,1239.79,A,68.6112
35149818,c072c40,Gavin Li,2017-09-19,60,29,26,7,18,9,7,19,11,19,19,37,30,56,274.786,10.7105,2943.1,A,75.8632
35149818,c072c40,Gavin Li,2017-09-19,48,23,22,7,9,10,7,17,7,10,8,14,17,22,89.9242,4.9,440.628,A,84.0821
35149818,c072c40,Gavin Li,2017-09-19,47,17,16,6,15,10,6,3,3,7,4,7,10,11,36.5412,1.5,54.8118,A,82.2545
35149818,c072c40,Gavin Li,2017-09-19,22,14,13,3,4,2,3,9,3,4,3,5,7,8,22.4588,1.875,42.1103,A,94.0662
35149818,c072c40,Gavin Li,2017-09-19,76,26,23,9,32,12,9,27,9,28,32,58,37,90,468.851,9.32143,4370.36,A,59.2598
35149818,c072c40,Gavin Li,2017-09-19,28,12,10,3,10,5,3,9,5,7,6,10,12,16,57.3594,3.57143,204.855,A,84.0167
35149818,c072c40,Gavin Li,2017-09-19,68,29,27,14,18,9,14,19,8,16,22,40,24,62,284.268,10,2842.68,A,72.2171
35149818,c072c40,Gavin Li,2017-09-19,88,24,23,20,32,13,20,37,8,27,25,46,35,71,364.179,6.81481,2481.81,A,50.1617
35149818,c072c40,Gavin Li,2017-09-19,38,18,17,7,7,7,7,9,6,12,8,14,18,22,91.7384,3.5,321.084,A,86.0529
35149818,c072c40,Gavin Li,2017-09-19,41,20,17,3,12,9,3,5,4,6,5,8,10,13,43.1851,2.66667,115.16,A,86.9668
35149818,c072c40,Gavin Li,2017-09-19,51,31,28,6,9,8,6,17,8,18,16,27,26,43,202.119,6,1212.71,A,79.3099
