,project_id,Lines of Code,L Lines of Code,S Lines of Code,Multi-line comments,Multi lines,blank lines,Single comment lines,Cyclomatic Complexity,Unique Operands,Unique Operators,Number of Operands,Number of Operators,Unique vocabulary (h1 + h2),Length of application,Code volume,Difficulty,Effort,Maintainability Index,cross-entropy,total_author,total_commit_project,author_id,total_commit_author,percent,contributor,max,ownership
18,27472783,9213.0,4259.0,4704.0,445.0,2338.0,1745.0,426.0,1390.0,220.0,1057.0,682.0,1264.0,1277.0,1946.0,10955.5437,133.04667,59594.8215,71.36626481481483,4.979013,26,1283,2931483,149,11.61340607950117,Major,44.27123928293063,No
19,27472783,9213.0,4259.0,4704.0,445.0,2338.0,1745.0,426.0,1390.0,220.0,1057.0,682.0,1264.0,1277.0,1946.0,10955.5437,133.04667,59594.8215,71.36626481481483,4.979013,26,1283,3384277,3,0.2338269680436477,Minor,44.27123928293063,No
20,27472783,9213.0,4259.0,4704.0,445.0,2338.0,1745.0,426.0,1390.0,220.0,1057.0,682.0,1264.0,1277.0,1946.0,10955.5437,133.04667,59594.8215,71.36626481481483,4.979013,26,1283,3873764,5,0.3897116134060795,Minor,44.27123928293063,No
21,27472783,9213.0,4259.0,4704.0,445.0,2338.0,1745.0,426.0,1390.0,220.0,1057.0,682.0,1264.0,1277.0,1946.0,10955.5437,133.04667,59594.8215,71.36626481481483,4.979013,26,1283,4302753,2,0.1558846453624318,Minor,44.27123928293063,No
22,27472783,9213.0,4259.0,4704.0,445.0,2338.0,1745.0,426.0,1390.0,220.0,1057.0,682.0,1264.0,1277.0,1946.0,10955.5437,133.04667,59594.8215,71.36626481481483,4.979013,26,1283,6234800,11,0.857365549493375,Minor,44.27123928293063,No
23,27472783,9213.0,4259.0,4704.0,445.0,2338.0,1745.0,426.0,1390.0,220.0,1057.0,682.0,1264.0,1277.0,1946.0,10955.5437,133.04667,59594.8215,71.36626481481483,4.979013,26,1283,6735932,3,0.2338269680436477,Minor,44.27123928293063,No
24,27472783,9213.0,4259.0,4704.0,445.0,2338.0,1745.0,426.0,1390.0,220.0,1057.0,682.0,1264.0,1277.0,1946.0,10955.5437,133.04667,59594.8215,71.36626481481483,4.979013,26,1283,8101976,111,8.651597817614965,Major,44.27123928293063,No
25,27472783,9213.0,4259.0,4704.0,445.0,2338.0,1745.0,426.0,1390.0,220.0,1057.0,682.0,1264.0,1277.0,1946.0,10955.5437,133.04667,59594.8215,71.36626481481483,4.979013,26,1283,10058563,7,0.5455962587685113,Minor,44.27123928293063,No
26,27472783,9213.0,4259.0,4704.0,445.0,2338.0,1745.0,426.0,1390.0,220.0,1057.0,682.0,1264.0,1277.0,1946.0,10955.5437,133.04667,59594.8215,71.36626481481483,4.979013,26,1283,10347624,3,0.2338269680436477,Minor,44.27123928293063,No
27,27472783,9213.0,4259.0,4704.0,445.0,2338.0,1745.0,426.0,1390.0,220.0,1057.0,682.0,1264.0,1277.0,1946.0,10955.5437,133.04667,59594.8215,71.36626481481483,4.979013,26,1283,10358033,91,7.092751363990647,Major,44.27123928293063,No
28,27472783,9213.0,4259.0,4704.0,445.0,2338.0,1745.0,426.0,1390.0,220.0,1057.0,682.0,1264.0,1277.0,1946.0,10955.5437,133.04667,59594.8215,71.36626481481483,4.979013,26,1283,10452892,128,9.976617303195635,Major,44.27123928293063,No
29,27472783,9213.0,4259.0,4704.0,445.0,2338.0,1745.0,426.0,1390.0,220.0,1057.0,682.0,1264.0,1277.0,1946.0,10955.5437,133.04667,59594.8215,71.36626481481483,4.979013,26,1283,12262979,2,0.1558846453624318,Minor,44.27123928293063,No
