project_id,Revision,Author,Date,Lines of Code,L Lines of Code,S Lines of Code,Multi-line comments,Multi lines,blank lines,Single comment lines,Cyclomatic Complexity,Unique Operands,Unique Operators,Number of Operands,Number of Operators,Unique vocabulary (h1 + h2),Length of application,Code volume,Difficulty,Effort,Maintainability Ranking,Maintainability Index
27496810,0ed43aa,CI-nokia,2020-02-04,2,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,A,100
27496810,0ed43aa,CI-nokia,2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,100
27496810,0ed43aa,CI-nokia,2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,100
27496810,0ed43aa,CI-nokia,2020-02-04,4,5,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,A,100
27496810,0ed43aa,CI-nokia,2020-02-04,19,3,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,A,100
27496810,0ed43aa,CI-nokia,2020-02-04,29,21,21,0,0,8,0,2,1,4,2,4,5,6,13.9316,0.5,6.96578,A,62.7433
27496810,0ed43aa,CI-nokia,2020-02-04,17,10,9,5,0,3,5,0,0,0,0,0,0,0,0,0,0,A,100
27496810,0ed43aa,CI-nokia,2020-02-04,11,9,9,0,0,2,0,9,0,0,0,0,0,0,0,0,0,A,100
27496810,0ed43aa,CI-nokia,2020-02-04,110,71,71,0,0,39,0,16,2,12,7,14,14,21,79.9545,1.16667,93.2802,A,44.8135
27496810,0ed43aa,CI-nokia,2020-02-04,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,100
27496810,0ed43aa,CI-nokia,2020-02-04,44,37,34,5,0,5,5,0,5,35,22,41,40,63,335.281,2.92857,981.896,A,67.3595
27496810,0ed43aa,CI-nokia,2020-02-04,8,5,5,1,0,2,1,0,0,0,0,0,0,0,0,0,0,A,100
27496810,0ed43aa,CI-nokia,2020-02-04,2,3,2,0,0,0,0,1,1,4,3,6,5,9,20.8974,0.75,15.673,A,80.2143
27496810,0ed43aa,CI-nokia,2020-02-04,71,48,47,6,0,18,6,16,10,24,21,37,34,58,295.073,7.70833,2274.52,A,63.8714
27496810,0ed43aa,CI-nokia,2020-02-04,9,6,6,0,0,3,0,6,0,0,0,0,0,0,0,0,0,A,100
27496810,0ed43aa,CI-nokia,2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,100
27496810,0ed43aa,CI-nokia,2020-02-04,4,3,3,0,0,1,0,3,0,0,0,0,0,0,0,0,0,A,100
27496810,0ed43aa,CI-nokia,2020-02-04,2,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,A,100
27496810,0ed43aa,CI-nokia,2020-02-04,142,81,114,12,0,20,8,38,12,40,25,47,52,72,410.432,7.05,2893.54,A,53.7068
27496810,0ed43aa,CI-nokia,2020-02-04,9,6,6,0,0,3,0,6,0,0,0,0,0,0,0,0,0,A,100
27496810,0ed43aa,CI-nokia,2020-02-04,4,3,3,0,0,1,0,3,0,0,0,0,0,0,0,0,0,A,100
27496810,0ed43aa,CI-nokia,2020-02-04,5,4,4,0,0,1,0,3,0,0,0,0,0,0,0,0,0,A,100
27496810,0ed43aa,CI-nokia,2020-02-04,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
27496810,0ed43aa,CI-nokia,2020-02-04,6,5,5,0,0,1,0,3,0,0,0,0,0,0,0,0,0,A,100
27496810,0ed43aa,CI-nokia,2020-02-04,26,10,6,0,14,6,0,3,0,0,0,0,0,0,0,0,0,A,100
27496810,0ed43aa,CI-nokia,2020-02-04,9,6,6,0,0,3,0,6,0,0,0,0,0,0,0,0,0,A,100
27496810,0ed43aa,CI-nokia,2020-02-04,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,100
27496810,0ed43aa,CI-nokia,2020-02-04,213,171,168,13,0,33,12,61,10,26,14,27,36,41,211.967,5.19231,1100.6,A,44.4807
27496810,0ed43aa,CI-nokia,2020-02-04,2,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,A,100
27496810,0ed43aa,CI-nokia,2020-02-04,41,33,35,0,0,6,0,0,4,21,11,22,25,33,153.247,2.09524,321.089,A,49.959
27496810,0ed43aa,CI-nokia,2020-02-04,4,3,3,0,0,1,0,3,0,0,0,0,0,0,0,0,0,A,100
27496810,0ed43aa,CI-nokia,2020-02-04,84,62,62,16,0,14,8,8,4,41,21,42,45,63,345.987,2.04878,708.851,A,66.3715
27496810,0ed43aa,CI-nokia,2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,100
27496810,0ed43aa,CI-nokia,2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,100
27496810,0ed43aa,CI-nokia,2020-02-04,37,15,23,5,0,9,5,1,2,6,3,6,8,9,27,1,27,A,87.9739
27496810,0ed43aa,CI-nokia,2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,100
27496810,0ed43aa,CI-nokia,2020-02-04,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,100
