python10Cache10,python10NoCache,python11Cache11,python11NoCache,python12Cache12,python12NoCache,python13Cache13,python13NoCache,python14Cache14,python14NoCache,python15Cache15,python15NoCache,python1Cache1,python1NoCache,python2Cache2,python2NoCache,python3Cache3,python3NoCache,python4Cache4,python4NoCache,python5Cache5,python5NoCache,python6Cache6,python6NoCache,python7Cache7,python7NoCache,python8Cache8,python8NoCache,python9Cache9,python9NoCache
4.98569,4.48135,4.8654,3.66096,4.70482,4.49478,4.51857,4.8158,4.40229,4.77165,5.0171,4.53686,7.42766,6.67089,5.53472,5.31124,4.4109,4.38574,4.01015,4.18191,4.69966,4.5667,4.38071,4.64775,4.36822,4.24142,4.16554,4.64047,4.18627,4.29519
4.36156,5.00562,4.37844,4.43622,5.03323,4.41335,3.93562,3.72593,4.34499,4.10706,4.48149,4.36426,7.34457,6.67212,5.87594,5.36935,4.32518,4.54751,4.42476,4.2855,3.26647,4.77516,4.93452,4.49536,4.02343,4.54801,4.58287,4.51499,4.67132,4.28046
4.92391,4.38245,3.42127,4.43025,4.22639,4.14488,4.36746,4.57501,4.10027,4.43288,3.74323,3.75226,7.29006,6.66519,5.5848,5.19812,4.55338,4.66494,3.79294,3.87316,3.68734,3.3232,3.85539,5.10128,4.37859,4.00522,4.50844,4.60837,4.0526,3.8602
3.36135,4.65619,4.02328,4.11441,4.47377,4.72855,3.97271,4.08742,4.80719,4.86341,4.38043,3.90274,7.16949,6.74182,5.8033,5.14566,4.19093,4.37919,3.62239,3.89851,4.23935,4.63753,4.67362,4.34127,3.92167,4.47003,3.63473,4.89749,4.04151,4.6248
4.85054,4.97467,4.48984,4.86344,4.78766,4.88019,5.09469,4.20875,4.86769,4.45708,4.65294,4.22285,7.37568,6.64415,6.22266,5.18638,4.4609,4.48319,4.34822,5.12759,4.64489,4.85881,3.91974,4.2805,4.45145,4.89778,4.4326,3.46513,4.6869,4.08726
4.5456,4.93112,4.66892,4.56643,4.31115,4.21103,4.64117,4.02157,4.2346,4.24951,3.85149,4.48642,7.4368,6.9002,5.99848,4.91146,4.05088,5.17378,4.63392,4.69299,4.44828,4.44463,4.32755,4.57432,4.45233,3.47404,4.33147,4.59668,5.1017,4.77577
4.02044,4.76983,4.48429,4.18907,4.09967,5.04578,4.75751,4.71145,4.42601,4.90517,4.22417,4.83203,7.34866,6.76635,6.00282,5.20815,4.24387,4.24943,4.50845,4.42209,4.46494,3.84042,4.12604,4.13767,3.42426,4.53403,3.42783,4.50783,4.22784,4.76203
4.679,4.42444,4.17259,4.82095,4.76076,4.23866,4.7198,4.40796,4.72799,3.73673,4.36114,5.02837,7.61233,6.74132,5.92693,5.10879,4.27992,4.37538,4.40315,4.75051,4.27577,4.94497,4.63451,4.70494,4.63678,4.81032,4.67854,4.77468,4.54438,4.13597
4.23677,3.64209,4.37648,4.54401,4.10585,4.34136,4.20884,4.77145,3.64061,4.18731,4.42988,4.78043,7.51125,6.72989,5.8826,5.17454,4.52704,4.56444,5.00514,4.54147,3.99687,4.589,4.469,4.84981,4.3351,4.50871,4.36249,4.23744,3.70465,5.16412
4.40196,4.0668,4.55435,4.65729,4.24737,4.83851,3.58642,5.10594,4.07953,4.42051,4.76775,4.39595,7.50086,6.64838,5.85064,5.21095,4.99576,4.40217,3.97395,4.64434,4.5446,4.13451,3.96756,4.00684,4.80276,4.55025,4.77111,3.71004,4.02219,4.14273
