python10Cache10,python10NoCache,python11Cache11,python11NoCache,python12Cache12,python12NoCache,python13Cache13,python13NoCache,python14Cache14,python14NoCache,python15Cache15,python15NoCache,python1Cache1,python1NoCache,python2Cache2,python2NoCache,python3Cache3,python3NoCache,python4Cache4,python4NoCache,python5Cache5,python5NoCache,python6Cache6,python6NoCache,python7Cache7,python7NoCache,python8Cache8,python8NoCache,python9Cache9,python9NoCache
4.50444,4.68345,3.86927,4.09013,4.81397,4.45469,4.74397,2.68642,5.03556,5.19322,4.97283,4.04964,6.73069,6.52363,4.42111,4.96517,3.88278,4.32965,4.83754,5.03671,4.14049,5.91789,4.2161,4.92036,4.29977,4.10024,5.26673,4.1094,2.20176,5.06114
3.79998,4.62001,4.70241,2.70044,4.84688,4.24633,4.96569,5.17682,3.74066,4.10569,4.58863,5.07315,7.18159,6.59062,5.2515,5.62116,4.56446,4.79669,4.41826,3.84929,4.66943,3.49423,4.57572,4.76321,1.80535,3.92488,4.22435,5.68796,4.58218,2.90539
4.06497,5.50067,4.60332,4.04279,4.28477,5.24842,3.52439,4.04767,4.67802,4.71391,3.97636,4.68055,6.92935,5.73352,5.1162,4.97205,3.67934,4.17144,3.93979,4.27845,5.20126,5.3052,4.49425,4.75877,3.61522,3.81437,4.00124,4.2083,4.78005,6.12961
3.77419,5.28322,4.563,4.15403,4.09061,3.66786,4.61808,4.72716,4.79353,5.40009,4.33931,4.92285,5.51877,6.68089,5.20295,5.64954,4.20832,4.82151,3.39183,4.01621,3.08595,5.14016,3.74618,5.26237,2.16589,1.84641,1.50878,4.28165,5.76464,5.00953
5.01749,4.07942,1.66663,4.42897,4.27185,4.9561,4.57055,4.58905,4.4784,5.03012,4.86363,3.57402,7.15749,6.58278,5.867,4.91956,4.13585,3.72391,4.17932,4.91836,4.406,4.97654,4.09213,4.37112,3.85464,5.37679,3.81373,4.24738,4.04371,4.55309
5.256,4.00894,4.21032,4.92161,4.89474,3.50629,4.41819,5.90622,5.25274,3.85082,3.49485,2.9622,6.91287,6.63053,5.30062,4.77803,3.39015,4.21623,4.30383,4.74934,3.63938,4.20115,4.45566,4.37783,3.73938,3.36349,5.23234,5.73759,4.6239,2.95011
3.73689,3.99997,4.0768,5.03459,3.36071,4.93056,2.62277,4.68069,3.88172,4.05669,4.65696,3.69539,7.3182,6.562,5.58766,5.47509,4.08828,5.54155,3.84052,3.5279,3.36305,3.5644,3.26094,3.92925,4.57811,4.19577,3.92024,4.77947,4.45872,4.09995
4.32894,4.7231,3.99894,4.80616,3.76856,4.4952,5.67886,5.12845,3.7754,4.91227,3.58652,4.69457,7.04905,6.6741,5.34129,5.18814,4.10643,4.30813,2.59744,4.94965,2.80338,3.2662,3.56265,3.43772,4.1739,4.64233,3.53378,3.87294,2.73536,3.36266
3.96829,4.18884,4.58769,4.70908,3.50019,4.73846,3.73929,4.27851,4.81782,4.79774,2.37652,5.12246,7.05218,6.67554,5.26196,4.89648,5.00918,4.79242,3.76343,4.39064,3.80648,4.08773,3.7291,4.0678,3.57297,4.63631,4.09252,2.48131,2.88072,4.67111
3.2169,3.38669,3.72862,4.16375,3.99757,4.03813,4.04502,4.21161,3.36767,3.7817,5.13705,5.33715,7.01035,6.85872,5.51431,5.06204,4.17428,4.54713,4.233,4.9941,4.09025,4.55126,3.80396,5.02846,4.7149,4.98164,4.27421,4.59474,3.7778,4.88366
