python10Cache10,python10NoCache,python11Cache11,python11NoCache,python12Cache12,python12NoCache,python13Cache13,python13NoCache,python14Cache14,python14NoCache,python15Cache15,python15NoCache,python1Cache1,python1NoCache,python2Cache2,python2NoCache,python3Cache3,python3NoCache,python4Cache4,python4NoCache,python5Cache5,python5NoCache,python6Cache6,python6NoCache,python7Cache7,python7NoCache,python8Cache8,python8NoCache,python9Cache9,python9NoCache
3.05193,5.71987,4.75774,3.7324,6.18703,5.59359,4.78094,5.40586,2.54105,6.16591,4.65913,3.39666,7.59666,7.66171,4.18585,7.43931,5.78615,5.65342,4.71795,4.93993,1.91037,5.30274,4.83323,4.82624,3.30844,3.59906,2.04642,2.17629,6.16912,4.78456
4.46058,4.76101,2.40235,5.71073,5.11714,5.34465,3.79645,4.37079,3.40505,4.49775,5.65776,5.50573,6.80413,7.61326,5.44892,6.67555,4.81137,6.15919,4.1571,4.25747,5.08567,4.72472,4.8766,5.44696,5.92809,5.32102,3.09351,5.52331,2.77743,5.35028
5.59624,5.66132,5.71073,4.37013,4.60726,4.65768,3.54222,4.93286,4.36941,3.44752,4.77258,5.65776,7.38531,7.32202,5.04421,6.22872,5.14907,5.95733,5.9975,5.23174,4.09309,2.58239,4.85043,5.60636,5.05289,3.73835,4.39413,3.25573,5.1287,4.41319
5.34477,5.3432,4.84303,5.02319,4.15782,4.64754,5.31698,5.37819,5.7386,5.46841,3.27543,3.43314,7.18599,7.60334,6.28342,5.35165,4.43585,5.47155,3.64386,5.26717,4.95109,5.48507,4.42535,3.55621,1.99627,4.67038,2.28085,3.79064,3.25497,6.26584
5.75421,4.14966,2.82614,5.75921,5.80249,5.8376,6.12147,6.14416,6.16591,2.57471,2.58959,4.94992,7.31912,7.40533,6.36747,5.80354,2.32353,5.09957,3.15967,6.2951,2.30441,3.78974,3.35974,5.35913,3.37081,6.09987,5.683,4.6311,4.83603,5.28214
3.46075,5.8864,5.67593,4.90666,4.51072,2.83567,3.89847,5.32572,3.81649,5.16326,2.31077,4.76922,5.80012,7.25726,5.22836,5.48086,2.44651,6.39175,3.68903,4.80665,4.52522,5.8182,4.31608,5.16132,4.3566,5.83624,3.54428,5.67194,4.28535,3.48817
5.41738,5.60443,4.25171,2.99716,2.54021,6.24714,5.72829,3.65575,2.49024,5.82619,5.45511,5.47386,7.47574,6.79678,4.99861,6.32133,5.11198,6.21862,2.53016,3.95165,4.94095,5.39819,2.97193,5.38101,5.50755,3.63891,3.04588,5.88067,3.34958,4.00707
2.54552,5.56818,3.12225,4.94525,3.89301,5.66844,3.68717,5.70908,5.07635,5.89817,3.89342,3.69058,5.87557,7.28233,3.24487,4.72924,3.64999,3.90671,3.64482,5.93845,2.60082,5.02918,2.15413,3.46453,2.72695,4.84197,3.64428,4.12866,3.68184,5.50598
3.66245,5.93103,3.79466,5.87369,3.91515,5.88452,2.44209,5.75604,4.08826,4.06711,4.22326,5.89754,6.01728,7.40143,3.42861,6.4873,3.00139,4.07528,2.55436,6.0942,2.81463,5.96835,2.85369,5.91687,3.07793,5.91134,3.20499,5.80397,3.37243,5.90296
2.47044,5.34542,2.50939,5.38054,2.82837,5.76113,3.07075,5.7376,2.66636,5.37454,2.78954,5.30628,5.89594,7.01763,3.22091,5.98149,2.24875,5.88181,2.09118,5.4624,2.05404,5.39921,2.11598,5.39889,2.26237,5.38395,2.335,5.37002,2.36662,5.38109
