python10Cache10,python10NoCache,python11Cache11,python11NoCache,python12Cache12,python12NoCache,python13Cache13,python13NoCache,python14Cache14,python14NoCache,python15Cache15,python15NoCache,python1Cache1,python1NoCache,python2Cache2,python2NoCache,python3Cache3,python3NoCache,python4Cache4,python4NoCache,python5Cache5,python5NoCache,python6Cache6,python6NoCache,python7Cache7,python7NoCache,python8Cache8,python8NoCache,python9Cache9,python9NoCache
2.68614,2.71615,2.81964,2.85265,2.22961,3.0738,2.99995,2.70353,2.61428,2.85574,3.20756,2.81991,6.0488,5.66226,4.71151,4.28576,2.58665,2.95576,2.18994,2.92946,2.3257,2.29515,2.36363,2.86434,2.18876,2.5605,2.69013,3.32074,2.69382,3.02033
2.66653,2.81071,2.48859,2.60858,3.15277,2.35434,7.53493,2.63273,2.41288,3.07607,2.86164,7.56457,6.20477,6.02827,4.04296,3.70553,3.39356,2.55911,2.45849,2.90136,2.31563,2.15149,1.7922,2.92415,2.28558,2.30573,2.54588,2.70371,3.00423,2.8939
2.53233,3.09407,2.84886,3.05432,2.86702,2.99357,3.59142,3.80558,2.8721,3.24175,7.3854,8.08124,6.20085,5.816,3.94858,3.72622,2.81057,2.63158,2.37957,2.37687,2.11825,2.37171,2.10212,2.7372,2.39431,2.49969,2.2028,2.62441,2.79056,2.71644
2.78762,3.13948,2.71333,2.64605,2.75808,2.90973,5.74086,10.0188,2.6784,2.67892,2.76397,3.01226,6.40454,5.85552,4.28586,3.59497,2.76479,3.01634,2.37925,2.9057,2.56137,2.58565,2.58589,2.4545,2.36055,2.49574,2.48678,2.32851,2.60045,2.73456
2.67184,2.16686,2.4315,2.78417,2.79755,2.75258,2.56584,3.00526,7.00681,2.72892,2.83218,3.37926,6.14242,5.93752,3.90613,3.99883,2.81351,2.61358,2.61522,2.42434,1.97812,2.74424,2.2761,2.65087,2.09489,3.22174,2.09883,3.09013,2.58541,3.09466
2.61464,3.07515,2.66014,3.5374,2.95633,3.16763,2.48037,2.66405,3.06289,11.9366,3.20732,3.54094,6.40796,6.11913,4.36142,3.60338,2.62733,3.05221,2.84585,3.24169,2.59696,2.76478,2.76205,1.97301,2.34259,2.72024,2.49678,2.5267,2.19387,2.38152
2.1232,2.66395,2.72315,2.72396,2.70703,3.40996,5.55725,6.10374,11.1292,3.11408,3.29042,3.43865,6.58445,5.71662,4.17049,3.97824,2.50558,3.44878,2.55616,2.28334,2.25623,2.18471,2.32463,2.30167,3.01191,2.44777,3.10632,3.06098,2.4585,2.49795
2.88428,2.8572,2.98854,2.97266,2.57817,3.11754,9.48066,6.25421,3.4094,2.56387,2.443,2.56297,6.39203,5.91454,3.99909,3.86882,2.92181,2.6996,2.48652,2.7145,2.7076,2.45129,2.35611,2.58161,2.78384,2.56544,2.61959,2.57824,2.39932,3.03825
2.42032,2.7258,2.5758,2.68806,2.83035,2.80991,2.51392,7.79573,2.75645,7.48778,2.88419,3.16592,6.21554,5.85628,3.86415,4.05167,2.82686,2.70011,2.81223,2.95098,2.00259,3.08297,2.4989,2.94987,2.14429,2.73487,1.98736,2.19276,2.49265,2.51453
2.66522,2.96043,2.60998,2.95919,3.03491,3.33913,2.67734,2.91787,2.58139,3.51,7.50972,2.91958,6.56667,6.0604,4.35284,4.12117,2.94357,3.22402,2.37216,2.48833,2.16915,2.83261,2.14976,2.3174,2.47409,3.31667,2.64922,2.79798,2.26287,2.95312
