python10Cache10,python10NoCache,python11Cache11,python11NoCache,python12Cache12,python12NoCache,python13Cache13,python13NoCache,python14Cache14,python14NoCache,python15Cache15,python15NoCache,python1Cache1,python1NoCache,python2Cache2,python2NoCache,python3Cache3,python3NoCache,python4Cache4,python4NoCache,python5Cache5,python5NoCache,python6Cache6,python6NoCache,python7Cache7,python7NoCache,python8Cache8,python8NoCache,python9Cache9,python9NoCache
3.26849,2.40897,2.77905,2.5714,4.09345,4.61622,1.1206,1.30757,2.13323,2.61571,1.49818,2.13806,6.79258,6.59611,4.19285,4.07696,3.47414,4.29591,2.31636,3.22813,2.23549,2.93024,1.93744,3.95246,2.50432,2.85127,4.89262,2.33269,2.76501,3.03127
3.30243,4.22757,3.27541,1.57543,1.87494,2.03743,2.93785,2.50982,3.8802,3.78803,1.82657,1.70409,6.83218,6.21342,4.88536,4.50714,2.93759,3.6024,3.00223,3.45592,2.95683,4.02939,2.45876,2.43851,2.13415,1.72393,2.02851,2.38825,1.70035,2.97322
2.31084,3.21856,2.05308,3.60392,2.69625,1.83304,3.41819,3.18042,3.79198,3.86657,2.94951,4.8567,6.79175,6.80558,4.93491,5.03466,2.68345,3.44526,1.85591,4.10296,2.83651,3.28843,3.58097,2.07268,2.49816,3.69475,1.5719,1.85296,3.2193,3.41344
2.79775,3.11416,3.34845,3.54121,2.93722,2.84779,2.97569,1.85889,2.86924,2.98188,2.03533,2.06139,6.74743,6.55649,4.58021,4.43377,3.38254,2.49169,3.59743,2.11065,3.61882,3.22262,2.66506,2.79553,1.47762,1.96166,2.77969,3.50603,2.66288,4.52323
4.30168,4.16811,1.93348,2.84323,2.38179,3.72601,3.53972,3.54146,2.33888,3.30181,3.75304,2.41613,6.86381,6.39968,4.68605,4.8541,3.2637,4.3105,2.936,2.63528,2.82714,4.22612,1.99293,4.27285,3.12233,3.54792,1.96125,2.25303,1.30541,1.87567
2.55721,4.51186,3.56356,2.17002,3.16762,3.04613,3.25216,3.80935,2.24517,1.2501,2.88172,2.01218,6.77167,6.35675,4.37408,4.92276,3.69195,2.69519,2.72328,4.7848,2.40775,2.59369,3.77142,2.01387,2.22763,2.4154,2.46561,3.14161,3.53346,1.47323
1.82004,2.44785,2.10151,2.32321,1.24404,1.43531,2.98525,3.44065,3.53037,4.09577,2.00798,2.99483,5.02537,6.50142,4.6319,4.56436,2.15657,2.98886,2.06012,2.24095,3.24929,3.43488,3.35252,2.86266,1.73205,5.49267,3.04809,2.62192,1.64799,1.8297
2.34836,2.13544,1.40571,2.88759,4.03727,3.6861,2.56992,3.69609,2.07129,2.13013,4.42906,3.26327,6.37265,5.39429,3.26151,3.40349,3.07222,3.67911,2.15121,2.34386,1.66308,3.28312,2.21411,2.09011,2.56759,2.72252,2.03482,5.18511,4.10901,2.91212
2.79415,3.05791,2.72112,4.20685,2.8708,4.18034,2.3793,3.81473,3.74759,2.48121,2.85605,3.28246,5.57543,5.64813,3.74539,5.29152,2.24782,4.30228,2.64672,3.23938,2.44389,2.94553,1.73138,4.48017,2.39385,2.46416,3.17116,3.90412,2.15959,2.43687
2.38876,2.90989,3.53519,4.35825,1.70207,2.408,1.7583,2.72187,1.12433,3.70945,2.24474,4.33457,6.66637,6.6796,5.05495,3.58619,2.83338,3.47348,3.42166,3.41699,2.65284,2.48081,1.70246,2.68958,4.60182,3.09941,2.82636,3.67539,2.42266,4.52138
