python10Cache10,python10NoCache,python11Cache11,python11NoCache,python12Cache12,python12NoCache,python13Cache13,python13NoCache,python14Cache14,python14NoCache,python15Cache15,python15NoCache,python1Cache1,python1NoCache,python2Cache2,python2NoCache,python3Cache3,python3NoCache,python4Cache4,python4NoCache,python5Cache5,python5NoCache,python6Cache6,python6NoCache,python7Cache7,python7NoCache,python8Cache8,python8NoCache,python9Cache9,python9NoCache
1.52545,2.11268,1.38926,1.27441,2.15969,1.75163,1.97013,1.43024,1.40946,2.09426,3.29653,1.66289,7.49115,6.96412,5.0892,4.7469,2.99176,2.8598,1.93626,2.46584,2.21508,1.71476,1.99252,2.11889,1.7933,1.13883,1.89563,2.30561,1.7818,1.98808
1.81316,2.04368,2.54994,1.40725,1.63833,2.33972,2.38541,2.8085,1.17605,1.09518,1.54384,1.48709,7.4059,6.88046,5.38007,4.69698,3.15703,2.96993,2.52448,2.66092,1.81851,2.07147,2.13074,2.29853,1.44826,1.5658,1.76953,1.93637,1.51705,1.19686
1.45604,1.94548,1.22767,2.29986,1.24291,1.76129,1.4725,1.5878,1.97136,1.62163,1.29426,1.67422,7.46025,7.07274,5.4868,4.53501,2.87887,3.19787,2.53499,2.7214,1.90926,2.44354,1.32876,1.31463,2.8492,2.56902,1.66742,1.96203,2.27191,2.49167
1.21658,2.06518,1.60426,1.23547,1.62556,3.09917,1.75258,2.18061,1.00829,2.08573,1.58878,3.48027,7.40448,6.93944,5.05702,4.41904,3.16207,1.87542,2.434,1.75609,1.63674,1.69963,2.06651,2.46669,1.04691,1.97755,2.14699,2.57067,2.34589,1.49682
1.61169,1.72232,2.26402,2.07641,1.42915,1.32545,1.49167,1.09358,1.71152,1.87686,1.67686,1.77665,7.4362,6.92064,5.23533,4.66047,3.368,3.24284,1.76082,1.84787,1.62434,2.07195,1.46911,1.8784,2.01266,1.56413,1.64976,2.04397,1.10724,2.61117
2.0171,1.97008,1.29597,3.00506,1.47399,1.39239,1.4166,2.52811,1.98767,1.27298,2.25018,1.82096,7.26458,7.03475,5.45213,4.65422,2.52501,3.62919,2.43792,2.03705,2.5871,1.95284,1.57057,1.53965,2.24848,2.07014,2.18668,1.34713,2.10204,1.75157
1.76642,1.29659,1.58677,2.34872,1.22496,1.49097,1.00606,2.4849,1.63078,2.33121,1.58434,1.89739,7.29797,6.88786,4.93532,4.47892,2.93396,2.57726,2.26507,2.76516,1.42853,1.85389,1.17242,1.59583,0.900455,0.923646,1.24534,1.8257,1.78787,1.64411
1.89991,1.61548,1.09096,1.56631,2.92329,1.49655,2.46554,1.59772,1.91585,1.72825,1.45605,2.09161,7.27427,6.87153,5.26511,5.28782,2.65549,3.03134,1.80317,2.73696,2.21302,2.79205,2.25245,2.41728,1.61748,2.59889,1.66205,1.72422,1.29657,1.96311
1.77765,1.76061,2.18571,1.47867,1.83152,1.95229,2.35344,1.94411,1.48515,1.52965,1.78343,1.32205,7.42998,6.9663,4.94636,4.44255,2.37175,2.35823,1.67262,2.50228,1.46179,1.58499,1.97622,2.26823,2.28741,2.21477,1.72534,1.26291,1.35215,1.36964
1.70155,1.96143,1.44587,1.74642,1.63596,2.02052,1.35868,1.54865,2.44652,2.82783,1.45994,2.63492,7.3502,6.88437,5.29435,4.49721,1.79099,3.09147,2.21512,1.92768,1.93537,2.52092,1.98485,2.11102,1.43846,3.38675,1.18349,1.91545,1.60326,2.44912
