python10Cache10,python10NoCache,python11Cache11,python11NoCache,python12Cache12,python12NoCache,python13Cache13,python13NoCache,python14Cache14,python14NoCache,python15Cache15,python15NoCache,python1Cache1,python1NoCache,python2Cache2,python2NoCache,python3Cache3,python3NoCache,python4Cache4,python4NoCache,python5Cache5,python5NoCache,python6Cache6,python6NoCache,python7Cache7,python7NoCache,python8Cache8,python8NoCache,python9Cache9,python9NoCache
4.61481,4.84215,3.85456,4.05247,4.05625,5.81691,3.69083,4.58189,3.54054,4.65729,4.54907,3.88075,7.38857,7.18263,4.69845,5.54514,4.62109,5.29799,3.68488,4.05695,4.71281,4.3759,4.15248,4.83913,2.97091,4.29284,4.41549,3.49738,4.73855,5.24366
3.4479,4.48096,3.68195,4.08317,4.097,4.04243,3.83018,4.16904,3.99587,5.22855,4.34277,4.83186,7.5356,7.14528,4.87284,5.81735,4.07686,5.366,3.30128,5.28123,3.49974,4.80801,3.35527,4.61152,3.45834,5.08427,3.92471,4.1481,3.4774,4.31679
3.45454,4.23388,3.48629,3.99841,3.11772,4.82438,3.80695,4.5749,3.95152,4.6526,4.93624,5.01626,7.22216,7.26261,5.36856,5.88521,3.44112,5.12648,3.46862,4.54426,3.64003,4.98805,3.74357,4.4051,4.11017,4.66212,3.82756,4.93655,4.74174,5.50498
4.56284,5.28803,3.48469,4.12686,3.86045,4.90538,3.78059,4.8413,4.41467,4.57583,3.67189,3.69021,6.93865,7.10876,6.22531,5.60917,3.58333,5.25522,4.18594,5.7734,3.66016,5.32922,3.41337,4.99265,4.36352,4.86489,2.67372,4.11336,3.00352,4.85756
4.33155,5.2058,3.17672,4.73345,3.97827,4.47331,4.17315,4.89575,4.44444,4.68358,3.36987,4.07556,6.83472,6.98892,5.38467,5.55748,4.10735,4.48383,3.84986,5.2447,3.35297,5.2952,3.3852,4.58592,3.79668,4.42896,3.29452,5.03541,3.84075,3.93376
3.65515,4.64295,4.58134,4.46091,4.78586,4.7672,4.01143,4.10875,3.94667,4.93254,2.84262,4.52273,6.82899,7.04812,4.57017,5.59627,3.99955,4.49108,2.97946,4.29813,3.43225,5.65165,2.21734,5.03523,3.59424,4.23206,3.17305,5.25424,2.42175,4.40969
3.94472,5.3295,3.96753,4.93378,2.75636,4.64103,3.66432,4.93162,2.83744,4.04137,4.23688,5.04808,6.87107,7.06682,5.09395,5.71927,3.20721,5.06762,3.42122,4.94011,3.92637,4.09654,3.79691,4.09352,3.34926,5.14071,3.24735,4.70589,3.47336,4.82919
3.43139,4.29174,2.60715,5.14956,3.70868,4.6834,2.79343,5.33581,3.77068,4.12202,3.73448,5.64518,6.87722,6.91926,4.77034,5.50735,3.36357,4.75997,2.59814,5.22821,2.89556,5.03636,3.03017,4.93607,3.26177,4.5127,3.60501,4.6881,3.66107,4.91738
3.88765,4.59736,4.30644,4.88934,3.56831,4.32954,4.11873,4.48207,3.89434,4.87396,3.86876,4.76201,6.71168,7.15334,4.8042,5.53299,3.44801,4.87564,3.2449,4.90239,3.04666,4.33599,3.40876,5.15904,3.52667,5.08965,3.5999,5.03032,3.44734,4.01735
3.10843,4.69995,3.70011,5.186,4.28427,5.09116,3.94648,4.96136,4.19352,4.87945,3.72939,4.7579,6.78526,7.00931,4.59956,5.66022,2.72983,5.57963,3.31652,4.44832,2.81849,4.46436,3.71337,4.99073,3.07077,4.77024,3.16285,4.74805,3.87407,4.84554
