python10Cache10,python10NoCache,python11Cache11,python11NoCache,python12Cache12,python12NoCache,python13Cache13,python13NoCache,python14Cache14,python14NoCache,python15Cache15,python15NoCache,python1Cache1,python1NoCache,python2Cache2,python2NoCache,python3Cache3,python3NoCache,python4Cache4,python4NoCache,python5Cache5,python5NoCache,python6Cache6,python6NoCache,python7Cache7,python7NoCache,python8Cache8,python8NoCache,python9Cache9,python9NoCache
3.74148,2.84296,2.73656,2.43164,2.66754,2.28388,1.75527,3.50723,2.25485,2.98883,2.91779,2.10937,6.39905,6.35364,4.18987,3.93415,4.99834,2.35692,3.23054,3.26728,2.4419,2.71597,2.53257,3.39111,2.64658,3.37268,2.74695,2.98588,1.96782,3.95748
4.61852,1.84039,3.121,3.47582,3.01945,3.03729,3.50013,3.39829,2.98978,3.2983,3.80938,3.80746,7.139,6.34896,3.72986,3.72452,2.46138,4.0495,3.6872,3.71504,2.0433,3.30739,1.83599,3.13282,2.01744,2.94324,2.60845,1.87095,2.17874,3.06936
1.88561,3.37217,2.7266,2.91838,3.17931,3.20774,1.7692,4.17675,1.99274,3.67274,3.01026,3.04588,6.92814,6.39697,3.2802,4.06377,2.06943,2.55743,2.50606,2.29362,2.98362,2.85343,2.44481,1.84136,2.66382,2.09261,2.75352,2.76256,3.2524,3.63398
2.82124,3.05686,3.42329,3.30338,1.79765,3.19386,2.85427,1.84842,3.88615,2.6785,2.14282,3.09775,7.09107,6.00779,3.97848,4.64644,3.41151,5.49549,2.2579,3.31348,2.95032,2.53258,2.90887,2.58664,2.04004,3.06713,2.20666,3.40347,1.72543,2.524
3.14941,3.35936,1.62822,3.41553,3.19888,2.79775,2.79554,3.20725,2.68175,3.90025,3.15195,2.42891,6.50169,6.11344,3.81682,4.74908,2.84547,3.00278,2.64795,3.60484,3.35453,2.54971,1.73981,2.72931,2.59131,2.83249,2.03686,3.05451,0.73553,1.7582
3.14693,1.95012,2.24797,3.28773,2.56479,3.86924,4.1746,2.86765,2.30676,2.65402,3.01079,2.1819,5.86035,6.50117,4.68113,4.19038,2.98543,2.68515,1.60176,2.80724,2.5583,3.37572,2.37434,2.40846,2.46258,3.16195,1.82544,2.60897,2.39049,1.96103
2.28633,3.21741,2.41001,1.65109,3.27483,3.24182,3.33142,3.17853,2.24979,2.48944,2.19012,3.46314,6.54001,6.19376,4.1116,3.63773,2.48315,3.67108,1.99897,2.13664,1.91756,3.12304,2.49829,2.68774,2.77306,2.19242,2.58671,3.469,3.65622,0.867288
2.84796,4.84665,3.03369,2.42018,3.22125,2.98265,2.70907,3.18246,3.30102,2.3886,1.82224,3.47994,7.02457,6.50849,3.43693,4.3002,2.66634,2.90516,2.13984,3.08637,1.61999,2.01765,2.68774,2.9828,1.52725,2.48342,3.44838,2.89632,3.62106,3.96697
1.41241,3.67625,2.25752,3.42774,2.48237,3.0867,2.98885,2.11206,2.79409,2.40014,3.11333,3.28015,6.44404,5.74511,4.64696,3.76354,2.31997,3.29658,2.80882,2.89548,1.95456,2.90281,1.81571,3.23188,2.22982,2.15618,1.95253,2.77302,2.88881,3.21129
2.73571,3.38642,2.79688,2.7107,2.6531,3.11712,2.43458,3.33257,3.09221,3.53019,2.56755,3.03771,6.14069,6.1032,4.04985,4.29695,2.68594,3.35078,1.9044,2.26719,2.532,3.14545,2.81122,2.99747,2.73224,2.92412,2.95804,2.43152,2.40437,2.97313
