project_id,author_id,total_commit_author,total_commit_project,percent,contributor,major,minor
28420571,34611091,41,7444,0.5507791509940893,Minor,4,22
28420571,38749549,23,7444,0.30897367006985493,Minor,4,22
28687875,302129,4,655,0.6106870229007634,Minor,3,3
28687875,1785969,3,655,0.45801526717557256,Minor,3,3
28687875,3293314,128,655,19.541984732824428,Major,3,3
28687875,3549488,24,655,3.6641221374045805,Minor,3,3
28687875,3571110,143,655,21.83206106870229,Major,3,3
28687875,6589863,353,655,53.89312977099237,Major,3,3
28884786,112711,2,1080,0.1851851851851852,Minor,3,65
28884786,121580,1,1080,0.0925925925925926,Minor,3,65
28884786,262687,1,1080,0.0925925925925926,Minor,3,65
28884786,280536,13,1080,1.2037037037037037,Minor,3,65
28884786,339854,27,1080,2.5,Minor,3,65
28884786,431435,439,1080,40.64814814814815,Major,3,65
28884786,499800,1,1080,0.0925925925925926,Minor,3,65
28884786,666495,1,1080,0.0925925925925926,Minor,3,65
28884786,1683632,25,1080,2.314814814814815,Minor,3,65
28884786,1788921,2,1080,0.1851851851851852,Minor,3,65
28884786,1904354,11,1080,1.0185185185185186,Minor,3,65
28884786,2219509,3,1080,0.2777777777777778,Minor,3,65
28884786,3181786,4,1080,0.3703703703703704,Minor,3,65
28884786,3217199,221,1080,20.462962962962962,Major,3,65
28884786,3476737,2,1080,0.1851851851851852,Minor,3,65
28884786,3763486,1,1080,0.0925925925925926,Minor,3,65
28884786,4759889,16,1080,1.4814814814814816,Minor,3,65
28884786,5444098,14,1080,1.2962962962962963,Minor,3,65
28884786,5926306,1,1080,0.0925925925925926,Minor,3,65
28884786,6616034,1,1080,0.0925925925925926,Minor,3,65
28884786,6893142,5,1080,0.4629629629629629,Minor,3,65
28884786,6961756,1,1080,0.0925925925925926,Minor,3,65
28884786,7037968,2,1080,0.1851851851851852,Minor,3,65
28884786,7103772,9,1080,0.8333333333333334,Minor,3,65
28884786,7271738,3,1080,0.2777777777777778,Minor,3,65
28884786,7507843,2,1080,0.1851851851851852,Minor,3,65
28884786,8211624,18,1080,1.6666666666666667,Minor,3,65
28884786,8582453,3,1080,0.2777777777777778,Minor,3,65
28884786,9061264,3,1080,0.2777777777777778,Minor,3,65
28884786,9529758,1,1080,0.0925925925925926,Minor,3,65
28884786,9708046,1,1080,0.0925925925925926,Minor,3,65
28884786,10056862,118,1080,10.925925925925926,Major,3,65
28884786,10149527,9,1080,0.8333333333333334,Minor,3,65
28884786,10585893,1,1080,0.0925925925925926,Minor,3,65
28884786,10633086,4,1080,0.3703703703703704,Minor,3,65
28884786,10952627,1,1080,0.0925925925925926,Minor,3,65
28884786,11184839,2,1080,0.1851851851851852,Minor,3,65
28884786,11622130,12,1080,1.1111111111111112,Minor,3,65
28884786,11783952,1,1080,0.0925925925925926,Minor,3,65
28884786,11963681,1,1080,0.0925925925925926,Minor,3,65
28884786,12056226,6,1080,0.5555555555555556,Minor,3,65
28884786,12445007,1,1080,0.0925925925925926,Minor,3,65
28884786,13220879,1,1080,0.0925925925925926,Minor,3,65
28884786,13439479,4,1080,0.3703703703703704,Minor,3,65
28884786,19436592,1,1080,0.0925925925925926,Minor,3,65
28884786,20267819,1,1080,0.0925925925925926,Minor,3,65
28884786,25886618,4,1080,0.3703703703703704,Minor,3,65
28884786,30382067,10,1080,0.9259259259259258,Minor,3,65
28884786,30719559,4,1080,0.3703703703703704,Minor,3,65
28884786,31268303,1,1080,0.0925925925925926,Minor,3,65
28884786,31488487,7,1080,0.6481481481481481,Minor,3,65
28884786,31576434,1,1080,0.0925925925925926,Minor,3,65
28884786,31877749,1,1080,0.0925925925925926,Minor,3,65
28884786,32135615,2,1080,0.1851851851851852,Minor,3,65
28884786,32137134,5,1080,0.4629629629629629,Minor,3,65
28884786,32907810,2,1080,0.1851851851851852,Minor,3,65
28884786,33717210,1,1080,0.0925925925925926,Minor,3,65
28884786,33778386,2,1080,0.1851851851851852,Minor,3,65
28884786,34229893,4,1080,0.3703703703703704,Minor,3,65
28884786,34886996,4,1080,0.3703703703703704,Minor,3,65
28884786,38298088,2,1080,0.1851851851851852,Minor,3,65
28884786,38641952,3,1080,0.2777777777777778,Minor,3,65
28884786,40360547,1,1080,0.0925925925925926,Minor,3,65
28884786,41336714,18,1080,1.6666666666666667,Minor,3,65
28884786,42122363,2,1080,0.1851851851851852,Minor,3,65
28884786,42611636,7,1080,0.6481481481481481,Minor,3,65
28884786,48790243,1,1080,0.0925925925925926,Minor,3,65
28884786,50365574,1,1080,0.0925925925925926,Minor,3,65
29026813,9542417,20,22,90.9090909090909,Major,2,0
29026813,41582153,2,22,9.090909090909092,Major,2,0
29126205,1246150,933,933,100.0,Major,1,0
29379373,6059,1,1042,0.09596928982725528,Minor,7,17
29379373,16618,2,1042,0.19193857965451055,Minor,7,17
29379373,428910,11,1042,1.055662188099808,Minor,7,17
29379373,440305,7,1042,0.6717850287907869,Minor,7,17
29379373,494483,259,1042,24.856046065259115,Major,7,17
29379373,891160,12,1042,1.1516314779270633,Minor,7,17
29379373,1191121,68,1042,6.525911708253358,Major,7,17
29379373,2981804,88,1042,8.445297504798464,Major,7,17
29379373,3042340,5,1042,0.47984644913627633,Minor,7,17
29379373,3308320,5,1042,0.47984644913627633,Minor,7,17
29379373,3347277,81,1042,7.773512476007678,Major,7,17
29379373,4878759,145,1042,13.915547024952016,Major,7,17
29379373,4998431,47,1042,4.5105566218809985,Minor,7,17
29379373,6633643,3,1042,0.28790786948176583,Minor,7,17
29379373,6955500,93,1042,8.92514395393474,Major,7,17
29379373,8188795,60,1042,5.758157389635317,Major,7,17
29379373,9172970,25,1042,2.399232245681382,Minor,7,17
29379373,10115538,38,1042,3.6468330134357005,Minor,7,17
29379373,10604386,6,1042,0.5758157389635317,Minor,7,17
29379373,10634868,18,1042,1.727447216890595,Minor,7,17
29379373,13119332,41,1042,3.934740882917467,Minor,7,17
29379373,30378129,7,1042,0.6717850287907869,Minor,7,17
29379373,32791392,5,1042,0.47984644913627633,Minor,7,17
