project_id,Revision,Author,Date,Lines of Code,L Lines of Code,S Lines of Code,Multi-line comments,Multi lines,blank lines,Single comment lines,Cyclomatic Complexity,Unique Operands,Unique Operators,Number of Operands,Number of Operators,Unique vocabulary (h1 + h2),Length of application,Code volume,Difficulty,Effort,Maintainability Ranking,Maintainability Index,file
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,32 (0),20 (0),19 (0),8 (0),0 (0),5 (0),8 (0),7 (0),3 (0),14 (0),7 (0),14 (0),17 (0),21 (0),85.8367 (0),1.5 (0),128.755 (0),A,84.8258 (0),/home/senior/senior/all_metric/56604179/81.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,351 (0),134 (0),134 (0),10 (0),109 (0),96 (0),12 (0),28 (0),4 (0),13 (0),7 (0),13 (0),17 (0),20 (0),81.7493 (0),2 (0),163.499 (0),A,65.0553 (0),/home/senior/senior/all_metric/56604179/69.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,283 (0),162 (0),154 (0),15 (0),50 (0),62 (0),17 (0),57 (0),12 (0),60 (0),40 (0),72 (0),72 (0),112 (0),691.032 (0),7.2 (0),4975.43 (0),A,53.9686 (0),/home/senior/senior/all_metric/56604179/42.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,39 (0),22 (0),22 (0),9 (0),0 (0),9 (0),8 (0),5 (0),1 (0),4 (0),2 (0),4 (0),5 (0),6 (0),13.9316 (0),0.5 (0),6.96578 (0),A,90.2622 (0),/home/senior/senior/all_metric/56604179/97.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,185 (0),97 (0),95 (0),24 (0),29 (0),37 (0),24 (0),30 (0),10 (0),36 (0),21 (0),40 (0),46 (0),61 (0),336.937 (0),5.55556 (0),1871.87 (0),A,64.5631 (0),/home/senior/senior/all_metric/56604179/8.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,40 (0),19 (0),22 (0),8 (0),0 (0),10 (0),8 (0),5 (0),4 (0),14 (0),13 (0),18 (0),18 (0),31 (0),129.268 (0),2.57143 (0),332.403 (0),A,84.2572 (0),/home/senior/senior/all_metric/56604179/95.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,40 (0),19 (0),18 (0),11 (0),0 (0),11 (0),11 (0),4 (0),1 (0),2 (0),1 (0),2 (0),3 (0),3 (0),4.75489 (0),0.5 (0),2.37744 (0),A,95.8961 (0),/home/senior/senior/all_metric/56604179/110.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,84 (0),40 (0),70 (0),4 (0),0 (0),10 (0),4 (0),6 (0),7 (0),29 (0),16 (0),32 (0),36 (0),48 (0),248.156 (0),3.86207 (0),958.397 (0),A,61.1069 (0),/home/senior/senior/all_metric/56604179/75.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,241 (0),145 (0),143 (0),10 (0),35 (0),54 (0),9 (0),54 (0),12 (0),41 (0),26 (0),45 (0),53 (0),71 (0),406.682 (0),6.58537 (0),2678.15 (0),A,55.7675 (0),/home/senior/senior/all_metric/56604179/14.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,840 (0),366 (0),376 (0),27 (0),230 (0),207 (0),27 (0),145 (0),18 (0),149 (0),118 (0),224 (0),167 (0),342 (0),2525.23 (0),13.5302 (0),34166.8 (0),A,31.9853 (0),/home/senior/senior/all_metric/56604179/66.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,21 (0),1 (0),0 (0),8 (0),9 (0),4 (0),8 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),A,100 (0),/home/senior/senior/all_metric/56604179/50.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,313 (0),140 (0),142 (0),15 (0),85 (0),73 (0),13 (0),48 (0),9 (0),63 (0),35 (0),72 (0),72 (0),107 (0),660.182 (0),5.14286 (0),3395.22 (0),A,56.8888 (0),/home/senior/senior/all_metric/56604179/7.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,349 (0),157 (0),147 (0),23 (0),94 (0),83 (0),25 (0),54 (0),10 (0),49 (0),31 (0),56 (0),59 (0),87 (0),511.79 (0),5.71429 (0),2924.51 (0),A,55.4648 (0),/home/senior/senior/all_metric/56604179/12.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,81 (0),52 (0),55 (0),13 (0),0 (0),13 (0),13 (0),8 (0),2 (0),6 (0),8 (0),9 (0),8 (0),17 (0),51 (0),1.5 (0),76.5 (0),A,74.2552 (0),/home/senior/senior/all_metric/56604179/77.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,265 (0),102 (0),109 (0),21 (0),66 (0),74 (0),16 (0),34 (0),9 (0),37 (0),25 (0),42 (0),46 (0),67 (0),370.079 (0),5.10811 (0),1890.4 (0),A,63.34 (0),/home/senior/senior/all_metric/56604179/30.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,167 (0),52 (0),60 (0),20 (0),43 (0),46 (0),18 (0),12 (0),7 (0),18 (0),14 (0),28 (0),25 (0),42 (0),195.042 (0),5.44444 (0),1061.9 (0),A,69.9422 (0),/home/senior/senior/all_metric/56604179/23.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,58 (0),36 (0),36 (0),8 (0),0 (0),14 (0),8 (0),12 (0),4 (0),8 (0),5 (0),10 (0),12 (0),15 (0),53.7744 (0),2.5 (0),134.436 (0),A,76.9539 (0),/home/senior/senior/all_metric/56604179/85.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,149 (0),94 (0),96 (0),25 (0),0 (0),27 (0),26 (0),30 (0),7 (0),26 (0),16 (0),31 (0),33 (0),47 (0),237.087 (0),4.17308 (0),989.38 (0),A,63.1093 (0),/home/senior/senior/all_metric/56604179/32.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,36 (0),19 (0),19 (0),8 (0),0 (0),9 (0),8 (0),2 (0),1 (0),2 (0),1 (0),2 (0),3 (0),3 (0),4.75489 (0),0.5 (0),2.37744 (0),A,95.3205 (0),/home/senior/senior/all_metric/56604179/88.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,105 (0),42 (0),52 (0),20 (0),12 (0),29 (0),12 (0),16 (0),2 (0),6 (0),3 (0),6 (0),8 (0),9 (0),27 (0),1 (0),27 (0),A,82.4191 (0),/home/senior/senior/all_metric/56604179/45.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,296 (0),52 (0),78 (0),152 (0),0 (0),73 (0),145 (0),2 (0),2 (0),4 (0),2 (0),4 (0),6 (0),6 (0),15.5098 (0),1 (0),15.5098 (0),A,60.6304 (0),/home/senior/senior/all_metric/56604179/2.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,1793 (0),756 (0),722 (0),39 (0),574 (0),449 (0),48 (0),268 (0),15 (0),249 (0),156 (0),297 (0),264 (0),453 (0),3644.11 (0),8.94578 (0),32599.4 (0),B,11.6049 (0),/home/senior/senior/all_metric/56604179/18.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,70 (0),35 (0),25 (0),8 (0),5 (0),24 (0),16 (0),11 (0),1 (0),1 (0),1 (0),1 (0),2 (0),2 (0),2 (0),0.5 (0),1 (0),A,92.826 (0),/home/senior/senior/all_metric/56604179/17.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,194 (0),67 (0),60 (0),8 (0),68 (0),57 (0),9 (0),20 (0),9 (0),19 (0),15 (0),27 (0),28 (0),42 (0),201.909 (0),6.39474 (0),1291.15 (0),A,63.5801 (0),/home/senior/senior/all_metric/56604179/13.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,129 (0),52 (0),47 (0),9 (0),42 (0),30 (0),10 (0),18 (0),8 (0),31 (0),26 (0),48 (0),39 (0),74 (0),391.12 (0),6.19355 (0),2422.42 (0),A,66.5983 (0),/home/senior/senior/all_metric/56604179/44.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,167 (0),117 (0),116 (0),9 (0),3 (0),39 (0),9 (0),18 (0),4 (0),19 (0),13 (0),26 (0),23 (0),39 (0),176.419 (0),2.73684 (0),482.831 (0),A,55.6163 (0),/home/senior/senior/all_metric/56604179/82.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,155 (0),117 (0),125 (0),18 (0),0 (0),14 (0),16 (0),15 (0),5 (0),18 (0),14 (0),28 (0),23 (0),42 (0),189.99 (0),3.88889 (0),738.848 (0),A,58.0092 (0),/home/senior/senior/all_metric/56604179/93.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,1263 (0),661 (0),639 (0),87 (0),247 (0),283 (0),94 (0),252 (0),21 (0),257 (0),219 (0),407 (0),278 (0),626 (0),5082.46 (0),16.6284 (0),84513.2 (0),B,12.7746 (0),/home/senior/senior/all_metric/56604179/62.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,35 (0),14 (0),14 (0),10 (0),0 (0),11 (0),10 (0),2 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),A,100 (0),/home/senior/senior/all_metric/56604179/21.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,62 (0),34 (0),34 (0),9 (0),0 (0),20 (0),8 (0),10 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),A,100 (0),/home/senior/senior/all_metric/56604179/86.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,71 (0),11 (0),9 (0),12 (0),33 (0),20 (0),9 (0),4 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),A,100 (0),/home/senior/senior/all_metric/56604179/51.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,508 (0),158 (0),152 (0),29 (0),182 (0),161 (0),13 (0),48 (0),7 (0),27 (0),17 (0),27 (0),34 (0),44 (0),223.848 (0),3.5 (0),783.469 (0),A,49.3158 (0),/home/senior/senior/all_metric/56604179/57.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,44 (0),22 (0),18 (0),8 (0),8 (0),10 (0),8 (0),6 (0),5 (0),11 (0),6 (0),11 (0),16 (0),17 (0),68 (0),2.5 (0),170 (0),A,84.0674 (0),/home/senior/senior/all_metric/56604179/43.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,20 (0),4 (0),3 (0),8 (0),5 (0),4 (0),8 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),A,100 (0),/home/senior/senior/all_metric/56604179/9.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,52 (0),6 (0),15 (0),10 (0),16 (0),13 (0),8 (0),2 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),A,100 (0),/home/senior/senior/all_metric/56604179/72.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,34 (0),1 (0),0 (0),8 (0),16 (0),10 (0),8 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),A,100 (0),/home/senior/senior/all_metric/56604179/65.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,142 (0),80 (0),77 (0),10 (0),4 (0),50 (0),11 (0),15 (0),6 (0),53 (0),40 (0),76 (0),59 (0),116 (0),682.387 (0),4.30189 (0),2935.55 (0),A,60.3026 (0),/home/senior/senior/all_metric/56604179/68.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,143 (0),62 (0),60 (0),12 (0),36 (0),37 (0),10 (0),20 (0),4 (0),8 (0),6 (0),8 (0),12 (0),14 (0),50.1895 (0),2 (0),100.379 (0),A,75.0561 (0),/home/senior/senior/all_metric/56604179/34.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,461 (0),214 (0),201 (0),12 (0),117 (0),126 (0),17 (0),75 (0),8 (0),51 (0),33 (0),55 (0),59 (0),88 (0),517.673 (0),4.31373 (0),2233.1 (0),A,51.6175 (0),/home/senior/senior/all_metric/56604179/74.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,70 (0),44 (0),46 (0),10 (0),0 (0),14 (0),10 (0),6 (0),5 (0),49 (0),31 (0),58 (0),54 (0),89 (0),512.185 (0),2.95918 (0),1515.65 (0),A,66.0053 (0),/home/senior/senior/all_metric/56604179/84.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,556 (0),322 (0),356 (0),67 (0),43 (0),82 (0),75 (0),104 (0),12 (0),119 (0),74 (0),143 (0),131 (0),217 (0),1526.25 (0),7.21008 (0),11004.4 (0),A,38.0106 (0),/home/senior/senior/all_metric/56604179/5.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,35 (0),18 (0),20 (0),8 (0),0 (0),7 (0),8 (0),5 (0),3 (0),9 (0),5 (0),10 (0),12 (0),15 (0),53.7744 (0),1.66667 (0),89.6241 (0),A,88.2168 (0),/home/senior/senior/all_metric/56604179/106.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,88 (0),32 (0),68 (0),10 (0),0 (0),15 (0),5 (0),5 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),A,100 (0),/home/senior/senior/all_metric/56604179/0.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,198 (0),66 (0),59 (0),12 (0),82 (0),47 (0),10 (0),18 (0),6 (0),16 (0),10 (0),20 (0),22 (0),30 (0),133.783 (0),3.75 (0),501.686 (0),A,58.0865 (0),/home/senior/senior/all_metric/56604179/26.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,494 (0),163 (0),144 (0),15 (0),194 (0),144 (0),12 (0),63 (0),14 (0),58 (0),35 (0),69 (0),72 (0),104 (0),641.672 (0),8.32759 (0),5343.58 (0),A,43.0815 (0),/home/senior/senior/all_metric/56604179/56.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,129 (0),66 (0),62 (0),12 (0),25 (0),33 (0),9 (0),19 (0),2 (0),4 (0),3 (0),4 (0),6 (0),7 (0),18.0947 (0),1 (0),18.0947 (0),A,79.1158 (0),/home/senior/senior/all_metric/56604179/53.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,514 (0),249 (0),259 (0),12 (0),114 (0),125 (0),16 (0),96 (0),16 (0),98 (0),59 (0),110 (0),114 (0),169 (0),1154.76 (0),8.97959 (0),10369.3 (0),A,45.0732 (0),/home/senior/senior/all_metric/56604179/35.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,306 (0),200 (0),206 (0),16 (0),0 (0),84 (0),16 (0),17 (0),17 (0),165 (0),162 (0),305 (0),182 (0),467 (0),3506.14 (0),15.7121 (0),55088.9 (0),A,30.9935 (0),/home/senior/senior/all_metric/56604179/102.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,36 (0),16 (0),14 (0),10 (0),4 (0),9 (0),9 (0),2 (0),1 (0),2 (0),1 (0),2 (0),3 (0),3 (0),4.75489 (0),0.5 (0),2.37744 (0),A,94.3653 (0),/home/senior/senior/all_metric/56604179/61.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,571 (0),283 (0),259 (0),19 (0),153 (0),135 (0),24 (0),126 (0),14 (0),82 (0),64 (0),115 (0),96 (0),179 (0),1178.71 (0),9.81707 (0),11571.5 (0),A,39.9252 (0),/home/senior/senior/all_metric/56604179/25.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,365 (0),164 (0),159 (0),10 (0),97 (0),95 (0),14 (0),44 (0),8 (0),38 (0),23 (0),40 (0),46 (0),63 (0),347.984 (0),4.21053 (0),1465.2 (0),A,59.1201 (0),/home/senior/senior/all_metric/56604179/19.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,14 (0),4 (0),4 (0),8 (0),0 (0),2 (0),8 (0),2 (0),2 (0),4 (0),2 (0),4 (0),6 (0),6 (0),15.5098 (0),1 (0),15.5098 (0),A,84.2571 (0),/home/senior/senior/all_metric/56604179/107.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,113 (0),81 (0),82 (0),11 (0),0 (0),20 (0),11 (0),16 (0),3 (0),54 (0),29 (0),56 (0),57 (0),85 (0),495.796 (0),1.55556 (0),771.238 (0),A,54.5057 (0),/home/senior/senior/all_metric/56604179/79.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,2091 (0),1292 (0),1216 (0),45 (0),376 (0),424 (0),75 (0),519 (0),24 (0),399 (0),333 (0),630 (0),423 (0),963 (0),8401.71 (0),18.9474 (0),159190 (0),C,0 (0),/home/senior/senior/all_metric/56604179/59.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,211 (0),87 (0),82 (0),21 (0),52 (0),55 (0),22 (0),36 (0),7 (0),24 (0),14 (0),28 (0),31 (0),42 (0),208.076 (0),4.08333 (0),849.645 (0),A,64.935 (0),/home/senior/senior/all_metric/56604179/27.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,31 (0),13 (0),13 (0),9 (0),0 (0),9 (0),9 (0),1 (0),1 (0),15 (0),8 (0),15 (0),16 (0),23 (0),92 (0),0.5 (0),46 (0),A,89.7709 (0),/home/senior/senior/all_metric/56604179/108.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,319 (0),145 (0),218 (0),72 (0),0 (0),52 (0),49 (0),49 (0),3 (0),11 (0),6 (0),11 (0),14 (0),17 (0),64.725 (0),1.5 (0),97.0876 (0),A,61.9449 (0),/home/senior/senior/all_metric/56604179/90.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),A,100 (0),/home/senior/senior/all_metric/56604179/28.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,162 (0),66 (0),62 (0),10 (0),54 (0),36 (0),10 (0),21 (0),5 (0),15 (0),8 (0),16 (0),20 (0),24 (0),103.726 (0),2.66667 (0),276.603 (0),A,68.8001 (0),/home/senior/senior/all_metric/56604179/41.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,84 (0),22 (0),18 (0),8 (0),29 (0),27 (0),10 (0),1 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),A,100 (0),/home/senior/senior/all_metric/56604179/31.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,47 (0),19 (0),17 (0),10 (0),11 (0),10 (0),9 (0),4 (0),2 (0),6 (0),3 (0),6 (0),8 (0),9 (0),27 (0),1 (0),27 (0),A,83.2908 (0),/home/senior/senior/all_metric/56604179/49.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,1 (0),1 (0),1 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),A,100 (0),/home/senior/senior/all_metric/56604179/3.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,170 (0),84 (0),93 (0),20 (0),37 (0),29 (0),11 (0),32 (0),6 (0),17 (0),12 (0),23 (0),23 (0),35 (0),158.325 (0),4.05882 (0),642.612 (0),A,67.7886 (0),/home/senior/senior/all_metric/56604179/55.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,35 (0),15 (0),14 (0),8 (0),0 (0),12 (0),9 (0),5 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),A,100 (0),/home/senior/senior/all_metric/56604179/101.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,170 (0),118 (0),123 (0),15 (0),0 (0),36 (0),11 (0),25 (0),8 (0),60 (0),34 (0),68 (0),68 (0),102 (0),620.921 (0),4.53333 (0),2814.84 (0),A,49.8989 (0),/home/senior/senior/all_metric/56604179/99.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,242 (0),106 (0),99 (0),16 (0),62 (0),67 (0),14 (0),24 (0),6 (0),17 (0),11 (0),18 (0),23 (0),29 (0),131.183 (0),3.17647 (0),416.7 (0),A,66.7622 (0),/home/senior/senior/all_metric/56604179/6.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,467 (0),328 (0),338 (0),18 (0),0 (0),111 (0),18 (0),64 (0),19 (0),261 (0),263 (0),499 (0),280 (0),762 (0),6194.51 (0),18.1628 (0),112510 (0),B,11.8466 (0),/home/senior/senior/all_metric/56604179/83.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,29 (0),12 (0),10 (0),10 (0),3 (0),7 (0),9 (0),2 (0),2 (0),4 (0),2 (0),4 (0),6 (0),6 (0),15.5098 (0),1 (0),15.5098 (0),A,88.3973 (0),/home/senior/senior/all_metric/56604179/60.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,244 (0),174 (0),174 (0),15 (0),0 (0),55 (0),15 (0),27 (0),4 (0),9 (0),5 (0),10 (0),13 (0),15 (0),55.5066 (0),2.22222 (0),123.348 (0),A,53.067 (0),/home/senior/senior/all_metric/56604179/105.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,7 (0),2 (0),1 (0),4 (0),0 (0),1 (0),5 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),A,100 (0),/home/senior/senior/all_metric/56604179/22.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,35 (0),10 (0),8 (0),9 (0),8 (0),11 (0),8 (0),3 (0),3 (0),6 (0),3 (0),6 (0),9 (0),9 (0),28.5293 (0),1.5 (0),42.794 (0),A,71.1232 (0),/home/senior/senior/all_metric/56604179/47.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,128 (0),51 (0),49 (0),8 (0),44 (0),27 (0),8 (0),16 (0),4 (0),20 (0),12 (0),26 (0),24 (0),38 (0),174.229 (0),2.6 (0),452.994 (0),A,69.756 (0),/home/senior/senior/all_metric/56604179/29.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,112 (0),37 (0),33 (0),30 (0),23 (0),28 (0),28 (0),12 (0),2 (0),5 (0),2 (0),5 (0),7 (0),7 (0),19.6515 (0),1 (0),19.6515 (0),A,69.8077 (0),/home/senior/senior/all_metric/56604179/48.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,599 (0),294 (0),280 (0),23 (0),154 (0),142 (0),23 (0),105 (0),13 (0),92 (0),64 (0),121 (0),105 (0),185 (0),1242.14 (0),8.54891 (0),10618.9 (0),A,41.2698 (0),/home/senior/senior/all_metric/56604179/24.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,98 (0),36 (0),37 (0),17 (0),26 (0),18 (0),17 (0),14 (0),3 (0),5 (0),3 (0),5 (0),8 (0),8 (0),24 (0),1.5 (0),36 (0),A,77.9528 (0),/home/senior/senior/all_metric/56604179/109.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,118 (0),80 (0),84 (0),9 (0),0 (0),25 (0),9 (0),11 (0),2 (0),14 (0),16 (0),30 (0),16 (0),46 (0),184 (0),2.14286 (0),394.286 (0),A,56.8041 (0),/home/senior/senior/all_metric/56604179/94.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,145 (0),101 (0),97 (0),10 (0),0 (0),35 (0),13 (0),7 (0),6 (0),80 (0),49 (0),98 (0),86 (0),147 (0),944.661 (0),3.675 (0),3471.63 (0),A,49.1905 (0),/home/senior/senior/all_metric/56604179/103.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,69 (0),35 (0),36 (0),9 (0),8 (0),16 (0),9 (0),7 (0),2 (0),4 (0),2 (0),4 (0),6 (0),6 (0),15.5098 (0),1 (0),15.5098 (0),A,85.9645 (0),/home/senior/senior/all_metric/56604179/71.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,229 (0),108 (0),104 (0),19 (0),59 (0),49 (0),17 (0),16 (0),10 (0),32 (0),19 (0),36 (0),42 (0),55 (0),296.577 (0),5.625 (0),1668.25 (0),A,64.9613 (0),/home/senior/senior/all_metric/56604179/58.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,32 (0),9 (0),8 (0),14 (0),5 (0),9 (0),10 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),A,100 (0),/home/senior/senior/all_metric/56604179/52.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,654 (0),482 (0),460 (0),15 (0),4 (0),176 (0),14 (0),43 (0),11 (0),204 (0),125 (0),239 (0),215 (0),364 (0),2820.34 (0),6.44363 (0),18173.2 (0),B,13.3944 (0),/home/senior/senior/all_metric/56604179/89.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,133 (0),46 (0),46 (0),8 (0),40 (0),39 (0),8 (0),25 (0),3 (0),8 (0),5 (0),9 (0),11 (0),14 (0),48.432 (0),1.6875 (0),81.7291 (0),A,75.3062 (0),/home/senior/senior/all_metric/56604179/67.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,74 (0),50 (0),53 (0),11 (0),0 (0),11 (0),10 (0),12 (0),3 (0),10 (0),7 (0),13 (0),13 (0),20 (0),74.0088 (0),1.95 (0),144.317 (0),A,72.1863 (0),/home/senior/senior/all_metric/56604179/80.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,76 (0),24 (0),24 (0),8 (0),18 (0),26 (0),8 (0),11 (0),3 (0),9 (0),5 (0),9 (0),12 (0),14 (0),50.1895 (0),1.5 (0),75.2842 (0),A,81.406 (0),/home/senior/senior/all_metric/56604179/64.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,60 (0),15 (0),11 (0),16 (0),16 (0),17 (0),16 (0),2 (0),1 (0),2 (0),1 (0),2 (0),3 (0),3 (0),4.75489 (0),0.5 (0),2.37744 (0),A,58.1487 (0),/home/senior/senior/all_metric/56604179/37.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,437 (0),179 (0),223 (0),35 (0),94 (0),88 (0),32 (0),36 (0),10 (0),59 (0),36 (0),65 (0),69 (0),101 (0),616.961 (0),5.50847 (0),3398.51 (0),A,57.0612 (0),/home/senior/senior/all_metric/56604179/16.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,378 (0),141 (0),186 (0),41 (0),107 (0),53 (0),32 (0),42 (0),11 (0),58 (0),32 (0),60 (0),69 (0),92 (0),561.984 (0),5.68966 (0),3197.5 (0),A,57.4111 (0),/home/senior/senior/all_metric/56604179/70.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,94 (0),29 (0),30 (0),14 (0),31 (0),21 (0),12 (0),8 (0),2 (0),3 (0),2 (0),3 (0),5 (0),5 (0),11.6096 (0),1 (0),11.6096 (0),A,76.1696 (0),/home/senior/senior/all_metric/56604179/20.csv
56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,83 (0),43 (0),46 (0),8 (0),12 (0),17 (0),8 (0),13 (0),10 (0),25 (0),16 (0),32 (0),35 (0),48 (0),246.206 (0),6.4 (0),1575.72 (0),A,74.9091 (0),/home/senior/senior/all_metric/56604179/15.csv
