project_id,total_commit_project
5350,32
29781,25
114480,4
195054,10
209941,11
234791,3
236175,16
245901,29
256231,1
269059,4
285616,1
296571,1
309970,33
352728,5
358497,19
374419,37
412335,22
448651,1
450383,44
467655,39
510491,14
518769,1
588379,4
620727,2
686652,1
797533,86
866619,15
960692,4
966016,2
1007657,187
1029326,3
1054791,3
1366749,19
1412096,1
1414255,4
1508260,11
1520115,13
1539411,10
1563461,4
1571651,1
1622373,4
1671613,5
1712613,1
1769155,26
1804712,6
1933504,13
1965950,2
2001477,94
2004747,2
2050046,2
2062744,1
2100620,1
2179224,1
2221413,16
2300825,2
2338181,2
2362798,10
2379638,14
2432870,17
2441266,158
2451249,1
2465126,8
2471020,78
2511842,7
2512486,20
2516763,9
2549124,1
2552189,4
2576000,1
2582320,1
2598418,2
2679223,7
2708072,10
2741733,6
2820629,2
2821989,4
2824958,8
2827523,6
2847241,17
2870370,4
2945553,40
2947287,7
3007274,8
3007762,13
3031474,7
3032231,4
3032403,2
3051387,4
3054381,6
3054572,1
3072569,9
3109825,1
3176069,1
3200726,5
3248015,2
3329873,11
3386538,32
3512633,3160
3594008,3
3636062,1
3656732,2
3702210,6
3704987,23
3712265,11
3720488,13
3729335,22
3773236,7
3774826,5
3823473,3
3838014,10
3846364,34
3849590,14
3853570,9
3856406,102
3873370,5
3927382,2
3963593,1
3972299,26
4006734,90
4020111,24
4055484,3
4066883,4
4136456,2
4147920,55
4238237,1
4243075,3
4248827,8
4274230,4
4279132,15
4405272,1
4438434,14
4439133,3
4496637,6
4562367,3
4564102,6
4570123,3
4586915,2
4635246,37
4677994,15
4710009,3
4730497,22
4757429,12
4812246,1
4874061,2
4923777,10
4929614,2
4960093,2
4985737,5
4993082,3
5015380,6
5084131,3
5113696,3
5136219,3
5155471,6
5156566,14
5180034,6
5187622,8
5212203,2
5240887,11
5326538,2
5332456,6
5338469,9
5456396,49
5504954,3
5545943,13
5581477,13
5642118,7
5671754,5
5708869,2
5713238,5
5734756,19
5742898,8
5747273,2
5760409,26
5766215,1
5810266,7
5822829,8
5832554,43
5835772,4
5886031,1
5892182,7
5893384,101
5952089,4
6022949,2
6056372,18
6148665,54
6159802,11
6183283,20
