project_id,cross-entropy_mean,Maintainability Index,total_author,major,minor,max_ownership
11161411,4.649215466666666,55.83472874149663,1,1,0,100.0
26427893,4.9535988,56.642437514285724,10,3,7,62.88743882544862
26427893,4.9535988,56.642437514285724,10,3,7,62.88743882544862
26427893,4.9535988,56.642437514285724,10,3,7,62.88743882544862
26427893,4.9535988,56.642437514285724,10,3,7,62.88743882544862
26427893,4.9535988,56.642437514285724,10,3,7,62.88743882544862
26427893,4.9535988,56.642437514285724,10,3,7,62.88743882544862
26427893,4.9535988,56.642437514285724,10,3,7,62.88743882544862
26427893,4.9535988,56.642437514285724,10,3,7,62.88743882544862
26427893,4.9535988,56.642437514285724,10,3,7,62.88743882544862
26427893,4.9535988,56.642437514285724,10,3,7,62.88743882544862
27472783,5.120644466666667,71.36626481481483,26,5,21,44.27123928293063
27472783,5.120644466666667,71.36626481481483,26,5,21,44.27123928293063
27472783,5.120644466666667,71.36626481481483,26,5,21,44.27123928293063
27472783,5.120644466666667,71.36626481481483,26,5,21,44.27123928293063
27472783,5.120644466666667,71.36626481481483,26,5,21,44.27123928293063
27472783,5.120644466666667,71.36626481481483,26,5,21,44.27123928293063
27472783,5.120644466666667,71.36626481481483,26,5,21,44.27123928293063
27472783,5.120644466666667,71.36626481481483,26,5,21,44.27123928293063
27472783,5.120644466666667,71.36626481481483,26,5,21,44.27123928293063
27472783,5.120644466666667,71.36626481481483,26,5,21,44.27123928293063
27472783,5.120644466666667,71.36626481481483,26,5,21,44.27123928293063
27472783,5.120644466666667,71.36626481481483,26,5,21,44.27123928293063
27472783,5.120644466666667,71.36626481481483,26,5,21,44.27123928293063
27472783,5.120644466666667,71.36626481481483,26,5,21,44.27123928293063
27472783,5.120644466666667,71.36626481481483,26,5,21,44.27123928293063
27472783,5.120644466666667,71.36626481481483,26,5,21,44.27123928293063
27472783,5.120644466666667,71.36626481481483,26,5,21,44.27123928293063
27472783,5.120644466666667,71.36626481481483,26,5,21,44.27123928293063
27472783,5.120644466666667,71.36626481481483,26,5,21,44.27123928293063
27472783,5.120644466666667,71.36626481481483,26,5,21,44.27123928293063
27472783,5.120644466666667,71.36626481481483,26,5,21,44.27123928293063
27472783,5.120644466666667,71.36626481481483,26,5,21,44.27123928293063
27472783,5.120644466666667,71.36626481481483,26,5,21,44.27123928293063
27472783,5.120644466666667,71.36626481481483,26,5,21,44.27123928293063
27472783,5.120644466666667,71.36626481481483,26,5,21,44.27123928293063
27472783,5.120644466666667,71.36626481481483,26,5,21,44.27123928293063
27489574,3.933792666666668,66.45246607142856,17,4,13,31.60322952710496
27489574,3.933792666666668,66.45246607142856,17,4,13,31.60322952710496
27489574,3.933792666666668,66.45246607142856,17,4,13,31.60322952710496
27489574,3.933792666666668,66.45246607142856,17,4,13,31.60322952710496
27489574,3.933792666666668,66.45246607142856,17,4,13,31.60322952710496
27489574,3.933792666666668,66.45246607142856,17,4,13,31.60322952710496
27489574,3.933792666666668,66.45246607142856,17,4,13,31.60322952710496
27489574,3.933792666666668,66.45246607142856,17,4,13,31.60322952710496
27489574,3.933792666666668,66.45246607142856,17,4,13,31.60322952710496
27489574,3.933792666666668,66.45246607142856,17,4,13,31.60322952710496
27489574,3.933792666666668,66.45246607142856,17,4,13,31.60322952710496
27489574,3.933792666666668,66.45246607142856,17,4,13,31.60322952710496
27489574,3.933792666666668,66.45246607142856,17,4,13,31.60322952710496
27489574,3.933792666666668,66.45246607142856,17,4,13,31.60322952710496
27489574,3.933792666666668,66.45246607142856,17,4,13,31.60322952710496
27489574,3.933792666666668,66.45246607142856,17,4,13,31.60322952710496
27489574,3.933792666666668,66.45246607142856,17,4,13,31.60322952710496
27496810,4.802755400000001,86.42542787037037,11,6,5,29.79002624671916
27496810,4.802755400000001,86.42542787037037,11,6,5,29.79002624671916
27496810,4.802755400000001,86.42542787037037,11,6,5,29.79002624671916
27496810,4.802755400000001,86.42542787037037,11,6,5,29.79002624671916
27496810,4.802755400000001,86.42542787037037,11,6,5,29.79002624671916
27496810,4.802755400000001,86.42542787037037,11,6,5,29.79002624671916
27496810,4.802755400000001,86.42542787037037,11,6,5,29.79002624671916
27496810,4.802755400000001,86.42542787037037,11,6,5,29.79002624671916
27496810,4.802755400000001,86.42542787037037,11,6,5,29.79002624671916
27496810,4.802755400000001,86.42542787037037,11,6,5,29.79002624671916
27496810,4.802755400000001,86.42542787037037,11,6,5,29.79002624671916
27940657,4.652295733333332,63.733861194029856,1,1,0,100.0
28261590,3.921776,53.20401764705881,5,4,1,56.169665809768645
28261590,3.921776,53.20401764705881,5,4,1,56.169665809768645
28261590,3.921776,53.20401764705881,5,4,1,56.169665809768645
28261590,3.921776,53.20401764705881,5,4,1,56.169665809768645
28261590,3.921776,53.20401764705881,5,4,1,56.169665809768645
28420571,4.539704933333334,65.63880788753794,26,4,22,44.68027941966685
28420571,4.539704933333334,65.63880788753794,26,4,22,44.68027941966685
28420571,4.539704933333334,65.63880788753794,26,4,22,44.68027941966685
28420571,4.539704933333334,65.63880788753794,26,4,22,44.68027941966685
28420571,4.539704933333334,65.63880788753794,26,4,22,44.68027941966685
28420571,4.539704933333334,65.63880788753794,26,4,22,44.68027941966685
28420571,4.539704933333334,65.63880788753794,26,4,22,44.68027941966685
28420571,4.539704933333334,65.63880788753794,26,4,22,44.68027941966685
28420571,4.539704933333334,65.63880788753794,26,4,22,44.68027941966685
28420571,4.539704933333334,65.63880788753794,26,4,22,44.68027941966685
28420571,4.539704933333334,65.63880788753794,26,4,22,44.68027941966685
