project_id,numOfPriorDefects
11161411,0
26427893,0
27472783,0
27489574,125
27496810,189
27940657,0
28261590,4
28420571,294
28687875,0
28884786,140
29026813,0
29126205,0
29379373,101
29817913,0
30169075,52
31015510,0
31030536,31
31069027,0
31125446,0
31400029,0
31657027,24
32552050,0
34561609,0
34600889,169
35149818,0
36761320,1
40955019,0
41010830,15
41339733,0
47754491,0
47838894,65
51732151,0
52512066,0
56604179,0
