project_id,total_commit
16295739,11
16391139,17
16403404,157
16425799,131
16432985,172
16435828,13563
16437738,2593
16467857,3
16472186,11457
16472364,638
16472471,237
16472481,939
16472734,7320
16472935,897
16473716,19
16474952,5088
16538979,349
16619714,8
16620617,1
16654352,30
16708479,3
16728933,63
16841668,7
16867921,125
16872275,12
17014493,3
17026758,26
17027209,2
17141990,6
17172918,141
17281579,4
17289622,47
17299268,2690
17389423,3
17440881,3
17485104,34
17490107,194
17498336,32
17513023,306
17553550,86
17566361,134
17624318,59
17632542,102
17635496,23
17659272,65
17663271,4
17665409,251
17703029,218
17727614,53
17733316,550
17754855,66
17760550,909
17785499,22
17796761,15
17801506,136
17816625,2
17844697,5
17847821,62
17848728,7511
18000409,5
18023673,102
18034624,364
18129905,44
18244656,58
18249411,76
18264371,296
18265438,11
18265532,71
18269183,151
18270718,2
18284713,27
18290332,16
18291057,11
18332120,21
18360601,1465
18368056,18
18387004,164
18422785,6
18539318,15
18548728,38
18729168,2
18733188,982
18734165,122
18744111,533
18762493,34
18780367,119
18826708,5
18830426,4
18832859,37
18838350,3
18861790,14
18916301,115
18983299,104
19002660,10
19170200,466
19192659,67
19218499,24
19219063,60
19235220,9
19317018,5
19342260,35
19369990,309
19394065,5
19405009,332
19476621,3211
19483483,18
19511771,20
19531511,4
19532442,63
19556947,11
19565254,42
19637375,76
19713594,3
19741748,78
19758265,341
19796037,406
19848115,1
19859953,6
19892489,31
19938807,2
19941078,5459
19968609,5
19982733,31
19982922,18
20028552,253
20062721,8
20071152,15
20077201,126
20187604,267
20210643,70
20311936,8
20427043,31
20445841,8
20593971,131
20631797,107
20648244,17
20662877,90
20667964,7
20670036,29
20676573,231
20678225,27
20691784,29
20693413,4
20730096,119
20736544,16
20875647,158
20959806,213
20972971,8
20990587,59
20990588,21
21026356,3
21063391,110
21113578,2
21146530,65
21173762,63
21201454,7248
21281674,6
21306510,11
21322704,21
21360040,15
21379802,370
21493317,3
21527803,24
21561964,187
21603453,4
21620625,260
21628113,19
21685135,1440
21700765,166
21714197,32
21810455,8
21810823,52
21874571,28
21883543,14
21909572,751
21910789,5
21956595,26
22041731,16627
22051239,847
22086032,39
22102175,33
22128966,29
22142912,291
22146588,8
22148713,50
22152829,43
22153477,10954
22201320,4
22207791,4
22216656,12
22304244,3
22331853,5
22419910,54
22458274,6
22521822,34
22654622,359
22752448,25178
22871445,113
23066372,4
