project_id,commit_id,created_at,max_day_diff
8533092,305977599,2015-08-20 21:27:45,7
8642892,163410155,2014-09-19 22:49:33,0
8892059,123212751,2014-06-05 14:22:33,0
8961082,1243222864,2018-10-23 14:06:57,104
8964129,1019609365,2017-08-25 15:31:34,81
9011315,294157084,2015-08-02 14:03:37,0
9220450,307527253,2015-08-26 15:55:17,0
9313674,517164014,2016-09-21 18:49:26,21
9408755,169714141,2014-10-06 17:03:02,0
9555207,106520973,2014-04-26 14:00:38,0
9714508,1404590658,2019-05-21 23:50:41,12
9755597,1050254784,2018-06-23 16:56:23,2
9806716,1409005275,2019-05-27 06:42:30,14
9859425,838730336,2017-11-16 12:34:03,65
9911373,130140768,2014-06-24 08:52:43,0
9914117,116199503,2014-05-20 05:54:30,2689
9936411,1219343384,2018-11-28 10:14:03,91
9992447,1410244033,2019-05-28 04:44:04,12
9995770,224639538,2014-11-26 19:07:28,0
10016145,127669559,2014-06-17 10:02:01,0
10083240,294271372,2015-08-02 15:53:33,2
10095118,151594665,2014-08-19 00:56:02,0
10230856,659603683,2017-03-31 18:34:27,0
10275805,126453287,2014-06-14 18:47:18,0
10468973,1276590880,2019-01-16 15:42:07,43
10491744,1402721479,2019-05-21 16:40:23,325
10535452,349536948,2015-11-20 21:26:12,9819
10597460,1154468298,2018-10-03 15:16:00,3
10609057,1402284155,2019-05-21 09:58:08,52
10617561,133798220,2013-04-09 10:44:32,32
10749359,973349592,2018-04-11 09:39:53,2
10752221,135851444,2014-07-09 12:31:51,0
10768726,136245138,2014-07-10 15:47:29,0
10775142,136371567,2010-07-26 17:41:39,2
11015752,1398292900,2019-05-15 07:21:23,161
11114278,1244054940,2018-12-19 00:20:06,0
11201097,147588257,2014-08-08 15:21:59,0
11637464,1412127614,2019-05-29 12:22:19,830
11664079,1413167929,2019-05-30 07:54:33,373
11745340,632797033,2017-02-26 19:57:15,0
11765420,187994831,2014-11-18 22:47:51,1
11803289,158142167,2014-09-19 20:04:42,0
11881598,671404705,2017-04-16 15:39:23,12
12286104,163884598,2014-09-21 19:23:36,14920
12365328,1361587664,2019-04-12 03:15:27,157
12390090,297687858,2015-08-07 18:40:41,17
12445377,168160717,2014-10-01 22:41:49,0
12482617,1382480919,2019-05-02 17:20:43,18
12482853,915170886,2018-02-12 06:08:46,204
12493589,170487772,2014-10-08 08:00:11,0
12555637,350455120,2015-11-24 23:44:50,1
12573478,1409988707,2019-05-27 23:12:06,47
12984034,389436681,2016-02-14 14:01:57,408
13046341,180657307,2014-11-03 08:13:15,0
13374672,1402731655,2019-05-21 16:50:01,206
13407016,1391907003,2019-05-10 14:39:27,46
13485883,850074551,2017-11-29 00:21:09,12
13498939,471703387,2016-06-30 12:27:50,0
13575507,199530486,2014-09-12 05:37:54,0
13591501,1413233909,2019-05-30 09:09:04,228
13745503,329644244,2015-10-11 19:03:56,0
13800286,189978667,2014-11-25 20:40:01,2
13825157,1390956263,2019-05-09 20:09:37,4
13936271,190914867,2014-11-29 15:26:49,0
13963468,610630896,2017-02-01 01:31:38,2
13988762,203276981,2015-01-07 11:39:02,0
14029541,1414374978,2019-05-31 05:16:30,0
14145861,206372507,2015-01-12 22:33:35,0
14218149,196697185,2014-04-14 23:15:30,0
14286544,376963148,2016-01-22 03:53:45,0
14536251,1390909988,2019-05-09 19:23:17,952
14752755,279333246,2015-01-06 05:23:32,0
14819160,1408567999,2019-05-26 19:19:52,350
14838321,1266222016,2019-01-11 13:28:37,1
14870171,203607420,2015-01-08 09:17:59,0
14989147,204700804,2015-01-11 16:57:53,0
15105024,1343423608,2019-03-28 12:15:01,40
15219914,1385709688,2019-05-05 18:58:24,22
15408689,1312475403,2019-02-20 02:01:42,8
15630156,551001512,2016-11-07 10:04:10,0
15634015,1373290856,2019-04-24 22:30:29,8
15777563,335306418,2015-10-14 05:25:53,111
15789441,1089688881,2018-08-03 02:54:45,1
15818554,1347489063,2019-04-01 05:50:32,0
15848561,237350450,2015-03-16 08:52:22,0
15850753,530698643,2016-10-10 15:40:57,1
16027393,1396963837,2019-05-16 18:12:57,107
16102031,254694800,2015-04-12 13:27:15,6
16193225,222529862,2015-02-24 15:44:51,0
16425799,268410930,2015-06-08 19:25:04,1
16467857,219389439,2015-02-18 14:37:30,0
16472186,1415197005,2019-05-31 19:32:23,726
16619714,226365334,2015-03-04 21:24:28,3
16620617,221204157,2015-02-21 05:06:41,0
16708479,387105241,2016-02-09 23:18:35,0
17026758,1382482662,2019-05-02 17:22:37,4
17172918,1413274124,2019-05-30 09:50:45,23
17389423,230614051,2015-03-13 08:23:25,0
17440881,251789689,2015-04-30 16:20:00,0
17498336,267579639,2015-06-06 10:43:54,3
17632542,1195875115,2009-02-04 17:01:00,3
17663271,233550282,2015-03-19 01:55:39,0
17665409,999986749,2018-05-05 00:12:13,14
17760550,1311792338,2019-02-19 07:57:52,543
17785499,307653426,2015-08-26 19:54:32,8
17796761,370092848,2016-01-08 14:28:00,0
17801506,1366846223,2019-04-16 17:57:19,13
17816625,235509298,2015-03-24 03:27:25,0
18000409,247626623,2015-04-21 11:26:24,0
18023673,267194234,2015-06-05 08:42:55,3
18129905,1227417536,2018-12-05 04:21:38,40
18264371,1374423843,2019-04-25 18:26:24,5
18270718,239169007,2012-07-27 16:50:03,0
18284713,265761612,2015-06-02 05:07:30,0
18290332,250508772,2015-04-28 04:46:26,1
18332120,297655519,2015-08-07 15:51:34,0
18422785,241240997,2015-04-06 14:10:08,0
18548728,1281794852,2019-01-25 20:01:42,1
18826708,245171624,2015-04-15 13:25:03,0
18838350,245328459,2015-04-15 19:23:44,0
18861790,282279152,2015-07-13 04:58:36,0
19531511,252336480,2015-05-02 05:30:40,0
19532442,500711870,2016-08-26 13:14:10,0
19556947,411455884,2016-03-22 15:17:45,0
19713594,254175801,2015-05-06 17:35:08,0
19758265,1173687656,2017-07-17 22:07:52,1
19848115,255336197,2015-05-08 20:29:52,0
19938807,881268210,2018-01-06 08:56:56,0
19968609,257201653,2015-05-11 18:07:50,0
19982733,1329760058,2019-03-02 20:02:07,3
19982922,1330828850,2019-03-04 06:32:19,0
20077201,839383098,2017-11-17 02:24:32,5
20187604,1412616330,2019-05-29 20:21:41,332
20593971,545894055,2016-10-31 09:40:09,0
20648244,268977682,2015-06-09 20:57:18,0
20662877,712514433,2017-06-12 02:01:30,4
20667964,1258875808,2019-01-04 19:19:02,0
20693413,975688770,2018-04-13 06:26:19,0
21146530,593675836,2017-01-09 06:43:09,0
21201454,1415138510,2019-05-31 00:18:07,238
21322704,1348608330,2019-04-01 23:09:23,0
21360040,1004055433,2018-05-09 07:47:59,0
21561964,295825994,2015-08-03 10:39:25,0
21620625,634527091,2017-02-28 23:06:23,5
21685135,1414219437,2019-05-29 21:59:31,222
22041731,1415189433,2019-05-31 08:40:06,655
22086032,765266597,2017-08-21 19:53:13,2
22216656,316860093,2015-09-14 12:43:57,0
22304244,282145131,2015-07-13 16:10:37,0
22331853,331582033,2015-10-15 03:13:09,0
22458274,283754419,2015-07-22 20:58:47,0
22654622,1109571403,2018-08-22 22:30:35,5
22752448,288296719,2015-07-26 12:59:39,237
23066372,288862758,2015-07-30 20:01:46,0
23441058,625725474,2017-02-17 09:37:19,0
23686537,1392252369,2019-05-10 20:13:28,882
23996356,1248929234,2018-12-24 00:20:48,8
24796473,859862000,2017-12-09 02:37:40,0
24841797,1414829868,2019-05-31 13:21:58,309
24938794,380285881,2016-01-28 11:25:08,0
24965137,1184043786,2018-10-29 13:40:17,5
25224120,534009936,2016-10-13 17:15:57,12
25333585,528924503,2016-10-08 12:06:04,27
25833787,433686616,2016-04-25 20:48:36,0
25865890,616998083,2016-06-17 06:02:00,3
26221512,378287492,2016-01-25 01:53:46,3
26348442,1127307503,2018-09-09 05:17:03,14
26565684,320311022,2015-09-16 10:57:35,0
27105955,1402876778,2019-05-21 19:04:15,9
27148904,616997840,2015-09-12 08:00:50,4
27232554,364384400,2015-12-24 07:44:49,1
27368905,725492391,2017-06-28 21:36:46,2
27517172,341381000,2015-11-05 01:13:11,0
27552291,332635911,2015-10-18 00:04:15,0
27590149,1261950232,2019-01-08 00:10:51,21
27683090,333714444,2015-10-20 09:13:56,0
27984276,1227331351,2018-12-05 02:33:43,0
28132474,340215817,2015-11-03 01:20:59,0
28370725,1407580489,2019-05-25 15:00:56,57
28429046,413325385,2016-03-25 14:20:03,5
28506839,1230928704,2018-12-07 20:49:26,63
28544819,1168378234,2018-10-16 00:51:23,2
28703055,411430750,2016-03-22 14:49:28,0
28707063,1343487448,2019-03-28 13:13:57,0
28851790,720884419,2017-06-22 19:25:41,2
28977818,1277629229,2019-01-22 10:06:51,27
28987187,557332933,2016-11-16 11:08:01,2
29085491,1091279675,2018-08-04 23:06:18,0
29168314,435987549,2016-04-29 04:42:11,0
29209187,786473005,2017-09-18 17:18:51,1
29257438,624473474,2017-02-15 09:40:05,6
29352963,363319516,2015-12-21 18:39:33,0
29365494,355892861,2015-12-05 11:10:27,0
29559601,355000408,2015-12-06 16:55:59,0
29612597,1253978076,2018-12-30 05:56:12,3
29669543,1288630777,2019-01-31 19:51:11,3
29873244,359848873,2015-12-14 01:30:18,0
29875128,359864814,2015-12-14 02:36:17,0
30149217,364623240,2015-12-25 01:59:54,0
30277669,365170830,2015-12-27 07:12:59,0
30482691,536672715,2016-09-22 22:12:09,0
30563070,440101868,2016-04-30 16:57:41,3
30593749,371165974,2016-01-11 05:28:46,0
30597136,639166825,2017-03-07 00:13:40,3
30682266,471810202,2016-06-29 15:47:05,48
30791858,373366802,2016-01-15 03:58:39,0
30842366,998203696,2018-05-03 09:51:21,2
30932642,671836430,2017-04-17 08:35:38,200
30988846,384233316,2016-02-04 09:35:13,1
31011708,374189864,2016-01-16 23:04:19,0
31150321,1412254059,2019-05-29 10:03:16,227
31266028,698963383,2017-05-22 22:07:05,0
31462338,379854848,2016-01-27 07:53:11,0
31462347,379854961,2016-01-27 07:54:56,0
31472502,458579968,2016-06-04 10:38:05,2
31675261,382719266,2016-02-01 22:32:25,0
32717382,1268892761,2019-01-14 11:50:04,1
34611402,423093308,2016-04-10 13:45:18,0
34845713,423680744,2016-04-11 10:42:37,0
34905286,486898384,2016-08-03 13:30:40,0
36769710,497573640,2016-08-21 15:27:49,0
38021184,1287223060,2019-01-30 17:28:32,0
43033531,488397404,2016-08-07 10:42:53,0
47727488,1393335240,2019-05-13 17:52:30,52
48762605,850306801,2017-11-29 06:54:02,0
52515283,1403574178,2019-05-22 08:37:14,2
52785686,738865400,2017-07-17 14:31:04,0
52835462,775817656,2017-09-05 06:57:30,0
52841113,645444625,2017-03-15 03:49:15,0
52922816,577253811,2016-12-16 09:32:55,0
53111668,579996238,2016-12-19 15:18:34,0
53262729,1023770650,2018-05-28 10:09:09,0
56567840,892671904,2018-01-19 08:54:03,0
57133846,618163034,2017-02-14 08:23:58,0
57321820,619907860,2017-02-16 23:15:41,0
57421331,660082954,2017-04-01 13:50:21,0
57439611,620448088,2017-02-17 23:02:37,0
