project_id,cross-entropy
52515283,3.997998
13800286,3.3755910000000005
7710184,4.563376
9992447,4.563026
795859,3.668654
85925,4.822366000000001
1522387,3.526958
30277669,5.071890999999999
18861790,4.233141000000002
17172918,4.18803
24938794,5.107385
1432841,2.928935
34611402,4.426830000000001
17785499,5.167706000000001
4757690,4.506236
8533092,5.013072
18129905,1.0262063
57421331,4.118245
1490,4.5878700000000014
9220450,4.6195439999999985
8642892,4.508796
28851790,5.014740999999999
10824,4.734447
9714508,3.859631
9408755,4.2967460000000015
20693413,5.000934
38021184,4.6918489999999995
775232,4.585098
29085491,4.4447019999999995
16472186,4.230728000000001
14218149,4.542951
21322704,4.572812000000001
29669543,3.4385950000000003
21360040,4.555179000000001
12984034,4.640765999999998
28703055,5.142467
14870171,1.1206218
13936271,4.501876
4027987,1.1888319999999999
27590149,4.562467
28370725,5.099450999999998
10768726,4.556696
52922816,4.418578
8081,4.396589
13407016,4.715396
10749359,4.6193029999999995
10468973,4.413456
701640,4.604419
728153,4.665219
22304244,4.398674
2467274,4.311973999999998
8964129,4.156437
13666,4.534788000000002
26221512,4.448968
7565205,5.003981
5374655,4.546015000000001
25333585,4.676426
6197453,4.350301999999999
18826708,4.766369999999999
12555637,4.54341
15634015,3.577548
14989147,3.139169
8961082,4.354847
31266028,5.046429
14286544,4.478532
4542112,4.558428
30932642,5.033365000000001
18838350,4.01534
12286104,4.483940000000001
13825157,4.126875999999998
16620617,4.541353
3219077,4.010093000000001
7808844,4.772322
18422785,5.072128000000001
2230747,4.574753
29559601,6.386056999999999
10617561,4.196123999999998
18548728,4.584370999999999
27552291,4.571038
11114278,4.553482999999999
7517171,4.060089
8892059,2.827235
19556947,4.146959000000002
30682266,4.671015000000001
9936411,4.258221000000002
4449031,4.549199
15789441,4.1671879999999994
19982733,11.551919999999999
3867439,4.428053000000001
9911373,4.334512
2884492,4.7615870000000005
17440881,4.292453
25865890,1.1834191
13988762,4.955195000000002
62741,4.337448
22752448,4.624936
9793,3.938279
19982922,4.3074840000000005
7296431,2.741509
1974423,2.7505439999999997
18284713,4.963071
53262729,4.400124
19968609,4.0691370000000004
4473333,4.5650439999999985
54266,3.2439350000000005
19713594,2.916313
13591501,4.6585730000000005
22331853,4.536631
29209187,2.124336
25224120,5.019751000000001
21201454,2.003377
28977818,2.333645
3946682,4.586344
56567840,4.2254260000000015
27683090,3.1670599999999998
9995770,2.60163
3202818,2.204992
47727488,4.218648999999999
12482853,3.4808010000000005
1193745,4.6484890000000005
24841797,4.476915
6389567,4.335763
1062235,4.351386
4022910,4.7208510000000015
195159,5.062337
194154,4.965061999999999
52841113,4.435247
23686537,4.83162
27105955,4.664638999999998
12482617,4.55209
9914117,4.368947999999999
52785686,4.585893
323872,4.946926
21620625,2.1264380000000003
20077201,5.110972
17663271,4.9085480000000015
57321820,4.549226999999999
680323,4.550344000000001
7405649,4.604991
21685135,4.1782710000000005
9755597,4.539952
802405,4.621316
22216656,3.851283
10095118,4.3159339999999995
31675261,5.197222
31011708,4.346171
2309585,4.683617
286987,4.470672
2847704,0.9865835
15630156,5.041182000000001
10775142,4.173122000000001
14819160,4.4217900000000006
7332763,1.1221201
12573478,5.0655280000000005
32717382,4.2124120000000005
19531511,4.425069000000001
6647075,3.6043230000000004
27984276,4.613799
24796473,4.0424739999999995
22086032,4.7322880000000005
8871,5.000523
9859425,4.845566000000001
15219914,3.7595089999999995
14536251,4.4503260000000004
17632542,4.897236
30563070,5.132783999999999
10597460,4.6739359999999985
29612597,4.246581
