project_id,language,url,bytes,created_at,updated_at,year_diff,forked_from,original_project
236534,Python,https://api.github.com/repos/UtahDave/salt,23419341,2016-04-21 00:26:49,2019-02-13 03:18:22,2,1142,NO
249264,Python,https://api.github.com/repos/mjtamlyn/django,11642551,2012-06-02 12:56:52,2019-04-20 18:15:26,6,1226,NO
252472,Python,https://api.github.com/repos/toolforger/sympy,13889775,2011-11-13 22:06:38,2019-01-31 14:22:15,7,9793,NO
272202,Python,https://api.github.com/repos/koordinates/django,10915889,2012-07-30 22:34:37,2019-01-06 22:48:59,6,1226,NO
286987,Python,https://api.github.com/repos/luoyun/LuoYunCloud,10108242,2012-03-31 14:33:55,2019-01-21 04:25:59,6,0,YES
311137,Python,https://api.github.com/repos/syphernl/salt,14182907,2014-02-01 16:45:26,2019-04-16 08:16:12,5,1142,NO
318114,Python,https://api.github.com/repos/peterjc/biopython,11124987,2009-03-23 11:43:06,2019-05-31 09:24:18,10,55275,NO
323872,Python,https://api.github.com/repos/sagemath/sage,68346805,2012-06-08 10:11:02,2019-05-30 23:03:47,6,0,YES
324925,Python,https://api.github.com/repos/apollo13/django,11446944,2012-05-03 18:35:02,2019-05-15 15:56:34,7,1226,NO
333065,Python,https://api.github.com/repos/hudora/huBarcode,30916093,2009-12-14 05:42:50,2019-05-31 23:45:37,9,0,YES
365914,Python,https://api.github.com/repos/techhat/salt,23308262,2011-11-09 17:21:46,2019-05-21 13:55:48,7,1142,NO
394119,Python,https://api.github.com/repos/endolith/scipy,10851202,2012-05-26 01:41:09,2019-05-10 02:27:05,6,31723,NO
417964,Python,https://api.github.com/repos/HiSPARC/station-software,20575169,2012-02-29 15:09:45,2019-05-08 07:54:21,7,0,YES
433836,Python,https://api.github.com/repos/koniiiik/django,12155415,2012-06-02 14:45:50,2019-01-13 01:40:20,6,1226,NO
479620,Python,https://api.github.com/repos/rwest/RMG-database,13262543,2011-06-02 16:09:46,2019-03-31 18:02:54,7,21201454,NO
480189,Python,https://api.github.com/repos/sambler/myblenderaddons,13846336,2010-08-23 19:39:57,2019-03-11 22:42:26,8,0,YES
494272,Python,https://api.github.com/repos/hzlf/openbroadcast,21035520,2012-04-13 16:24:08,2019-04-03 22:02:58,6,0,YES
506900,Python,https://api.github.com/repos/jsa/gaesdk-python,43640930,2010-08-23 16:50:31,2019-04-16 06:42:27,8,0,YES
514849,Python,https://api.github.com/repos/theatlantic/django,10902375,2015-01-27 19:37:31,2018-11-12 16:08:11,3,1226,NO
523408,Python,https://api.github.com/repos/mattpap/sympy,12939689,2011-04-17 20:21:08,2019-02-14 12:28:26,7,9793,NO
561596,Python,https://api.github.com/repos/pgbovine/IncPy,19076318,2010-04-02 16:52:24,2019-05-17 04:23:06,9,0,YES
615577,Python,https://api.github.com/repos/jpic/django,10940163,2015-06-04 08:42:11,2019-01-16 19:45:56,3,1226,NO
624271,Python,https://api.github.com/repos/danielroseman/django,10479971,2012-04-30 14:04:49,2019-01-31 12:37:54,6,1226,NO
638572,Python,https://api.github.com/repos/vitaliyf/salt,16348043,2015-08-25 22:45:39,2019-01-08 16:37:53,3,1142,NO
680323,Python,https://api.github.com/repos/CountZer0/PipelineConstructionSet,24534027,2012-04-10 04:53:41,2019-01-20 17:58:28,6,0,YES
701640,Python,https://api.github.com/repos/factorlibre/openerp-extra-6.1,12718141,2012-09-05 09:44:37,2019-05-27 20:38:38,6,0,YES
728153,Python,https://api.github.com/repos/wxWidgets/Phoenix,14656526,2012-07-17 06:22:25,2019-05-31 03:07:39,6,0,YES
738594,Python,https://api.github.com/repos/jreback/pandas,12339032,2011-08-02 12:17:07,2019-05-30 00:48:16,7,48212908,NO
775232,Python,https://api.github.com/repos/iontorrent/TS,34389574,2012-01-13 15:25:43,2019-05-28 19:44:24,7,0,YES
789124,Python,https://api.github.com/repos/okize/dotfiles,17778643,2012-09-11 18:56:12,2019-05-24 12:08:57,6,0,YES
795859,Python,https://api.github.com/repos/theosp/google_appengine,51897713,2010-09-19 23:25:28,2019-03-25 05:33:08,8,0,YES
802405,Python,https://api.github.com/repos/tanghaibao/goatools,78060965,2010-01-15 19:15:21,2019-05-29 14:28:05,9,0,YES
809314,Python,https://api.github.com/repos/freenas/freenas,14312786,2013-03-07 13:23:20,2019-05-31 04:28:55,6,0,YES
828683,Python,https://api.github.com/repos/openGDA/diamond-jython,16555615,2012-08-20 10:51:35,2019-01-17 17:23:31,6,0,YES
829649,Python,https://api.github.com/repos/sambler/myblendercontrib,24717001,2011-11-18 02:04:49,2019-05-21 03:21:02,7,0,YES
844722,Python,https://api.github.com/repos/sarnold/portage-overlay,14102740,2012-01-21 07:06:17,2019-05-24 13:49:55,7,0,YES
856441,Python,https://api.github.com/repos/kanzure/nanoengineer,16249298,2012-04-28 17:22:00,2019-05-08 09:18:09,7,0,YES
867401,Python,https://api.github.com/repos/oscarbenjamin/sympy,14220741,2012-09-18 16:12:50,2019-05-30 17:52:18,6,9793,NO
879058,Python,https://api.github.com/repos/sinhrks/pandas,12316337,2014-03-14 23:35:33,2019-04-05 01:03:14,5,48212908,NO
894588,Python,https://api.github.com/repos/sparkslabs/kamaelia,19180131,2015-03-15 22:53:04,2019-04-23 11:42:00,4,0,YES
901605,Python,https://api.github.com/repos/orangeduck/PyAutoC,18108029,2012-04-12 14:41:02,2019-03-10 17:42:19,6,0,YES
1042481,Python,https://api.github.com/repos/mamueller/sympy,14534494,2014-06-16 16:35:19,2019-01-16 20:17:12,4,9793,NO
1047267,Python,https://api.github.com/repos/rsalmaso/django,12150195,2014-08-17 07:19:23,2019-05-25 08:55:24,4,1226,NO
1047320,Python,https://api.github.com/repos/spookylukey/django,11949886,2012-05-11 13:54:49,2019-04-25 07:21:37,6,1226,NO
1047582,Python,https://api.github.com/repos/jtiai/django,12133951,2014-03-11 11:50:46,2019-04-22 17:52:01,5,1226,NO
1062235,Python,https://api.github.com/repos/sagemath/sagelib,39921406,2012-07-12 08:10:57,2019-05-04 07:35:09,6,0,YES
1069376,Python,https://api.github.com/repos/mozilla/appsync-vendor,10242135,2011-11-16 00:33:21,2019-03-29 04:50:40,7,0,YES
1193745,Python,https://api.github.com/repos/mseknibilel/OpenStack-Install-and-Understand-Guide,15597918,2012-05-08 11:02:14,2019-03-05 14:27:35,6,0,YES
1264922,Python,https://api.github.com/repos/bjodah/sympy,14091345,2014-01-07 15:20:44,2019-05-21 05:40:56,5,9793,NO
1367424,Python,https://api.github.com/repos/jacksontj/salt,17605181,2014-01-22 05:36:39,2018-11-22 05:13:39,4,1142,NO
1377690,Python,https://api.github.com/repos/cpcloud/pandas,10318721,2013-01-08 23:55:03,2018-12-07 23:55:02,5,27329,NO
1407977,Python,https://api.github.com/repos/yuyiguo/WMCore,11484984,2012-10-31 20:44:05,2019-05-22 18:47:31,6,13116,NO
1430767,Python,https://api.github.com/repos/linssen/dotfiles,17944386,2012-11-07 10:47:05,2019-05-14 19:52:34,6,0,YES
1432841,Python,https://api.github.com/repos/accordion-mega/AccordionMega,19140347,2010-12-08 21:44:45,2018-12-13 01:25:09,8,0,YES
1522387,Python,https://api.github.com/repos/austinsc/python,21446016,2012-10-04 15:41:10,2018-12-20 10:35:43,6,0,YES
1565387,Python,https://api.github.com/repos/timgraham/django,11492362,2012-11-22 15:27:43,2019-05-31 15:17:45,6,1226,NO
1640931,Python,https://api.github.com/repos/jisqyv/django,10826538,2012-10-18 01:36:51,2019-02-24 18:17:41,6,1226,NO
1641194,Python,https://api.github.com/repos/jhrr/django,10034665,2014-02-09 14:00:51,2018-12-01 17:37:16,4,1226,NO
1728068,Python,https://api.github.com/repos/jeffrey4l/nova,16345066,2015-07-16 03:08:00,2019-01-02 01:35:41,3,10824,NO
1819919,Python,https://api.github.com/repos/e0ne/lettuce,13607301,2012-10-28 12:29:36,2019-02-16 15:06:35,6,1490,NO
1972395,Python,https://api.github.com/repos/nijel/django,10695244,2013-01-09 13:28:27,2019-01-22 15:02:29,6,1226,NO
1974423,Python,https://api.github.com/repos/davelab6/pyfontaine,11600396,2013-01-09 16:38:32,2019-04-15 01:30:24,6,0,YES
2078072,Python,https://api.github.com/repos/cchurch/ansible,13804327,2012-10-03 16:41:51,2019-04-16 01:49:20,6,1486,NO
2118187,Python,https://api.github.com/repos/stefanw/django,11889317,2016-06-09 08:43:06,2019-03-28 10:05:59,2,1226,NO
2118497,Python,https://api.github.com/repos/simonw/django,11530613,2016-03-15 00:15:12,2019-02-10 23:21:37,2,1226,NO
2160383,Python,https://api.github.com/repos/ojii/sandlib,19181595,2012-11-14 10:53:52,2019-04-11 22:58:59,6,0,YES
2230747,Python,https://api.github.com/repos/babble/babble,10107943,2009-01-14 20:21:32,2019-03-20 13:37:36,10,0,YES
2309585,Python,https://api.github.com/repos/dhoko/dotfiles,19427213,2013-01-19 14:35:58,2019-03-19 10:32:00,6,0,YES
2402456,Python,https://api.github.com/repos/jirikuncar/invenio,17281482,2014-01-21 15:23:07,2019-02-12 23:22:59,5,86752,NO
2443151,Python,https://api.github.com/repos/RobinD42/Phoenix,14635228,2013-01-24 23:09:24,2019-05-30 15:54:14,6,728153,NO
2463610,Python,https://api.github.com/repos/sakuemon/dotfiles,20562700,2012-10-29 14:05:44,2018-12-26 14:34:41,6,0,YES
2467274,Python,https://api.github.com/repos/duststorm/makehuman,13552334,2013-01-31 23:36:19,2018-12-29 07:18:46,5,0,YES
2501984,Python,https://api.github.com/repos/blackberry/Python,18145723,2012-10-29 17:22:00,2019-04-23 13:31:26,6,0,YES
2511063,Python,https://api.github.com/repos/mozilla/FlightDeck-lib,16680896,2010-11-19 22:35:44,2019-03-29 04:47:22,8,0,YES
2592053,Python,https://api.github.com/repos/thisch/sympy,12559129,2013-02-12 18:40:07,2019-05-21 05:41:01,6,9793,NO
2689873,Python,https://api.github.com/repos/jonklein/breve,22893792,2011-01-22 15:13:42,2018-11-10 20:27:41,7,0,YES
2745365,Python,https://api.github.com/repos/pengyao/salt,12226493,2013-10-10 01:59:37,2019-05-23 18:46:57,5,1142,NO
2771113,Python,https://api.github.com/repos/mwcz/euler,12956147,2011-01-26 17:59:04,2018-12-15 06:21:13,7,0,YES
2789109,Python,https://api.github.com/repos/triaquae/triaquae,10448744,2013-11-17 07:34:36,2019-04-13 04:03:23,5,0,YES
2794780,Python,https://api.github.com/repos/StochSS/stochss,53108143,2013-01-23 04:32:04,2019-05-31 18:11:47,6,0,YES
2827364,Python,https://api.github.com/repos/Moisan/pandas,10104004,2015-10-12 20:08:55,2018-12-11 02:46:51,3,27329,NO
2847704,Python,https://api.github.com/repos/apanda/ddc-ns3,29177505,2012-05-30 17:04:40,2019-02-13 14:22:32,6,0,YES
2884492,Python,https://api.github.com/repos/ecstaticpeon/huBarcode,30886929,2014-04-15 10:15:54,2019-03-08 13:45:53,4,0,YES
3010407,Python,https://api.github.com/repos/oeddyo/algorithm,14025643,2012-12-17 00:36:50,2019-05-30 16:17:28,6,0,YES
3088421,Python,https://api.github.com/repos/JohnGarbutt/nova,16698069,2013-03-13 13:37:28,2019-05-21 21:51:14,6,10824,NO
3094314,Python,https://api.github.com/repos/cheatiiit/sympy,12357235,2013-03-13 23:34:54,2019-04-06 17:34:53,6,9793,NO
3111304,Python,https://api.github.com/repos/certik/python-2.7,21445633,2012-08-02 15:20:57,2019-05-01 19:57:11,6,0,YES
3182310,Python,https://api.github.com/repos/NeuralEnsemble/neuroConstruct,14910747,2013-03-22 10:12:14,2019-05-19 12:31:33,6,0,YES
3201434,Python,https://api.github.com/repos/tranquilit/WAPT,21792192,2012-09-13 09:23:43,2019-05-31 08:12:00,6,0,YES
3202818,Python,https://api.github.com/repos/hzlzh/AlfredWorkflow.com,14106397,2013-03-19 11:47:59,2019-05-31 08:21:28,6,0,YES
3213843,Python,https://api.github.com/repos/sageb0t/testsage,43870042,2013-03-26 23:49:34,2019-03-09 16:03:02,5,0,YES
3217599,Python,https://api.github.com/repos/brombo/sympy,14549864,2013-03-25 23:03:03,2019-05-30 07:55:43,6,9793,NO
3219077,Python,https://api.github.com/repos/learningequality/ka-lite,12046938,2012-09-09 20:01:40,2019-05-22 09:12:09,6,0,YES
3272338,Python,https://api.github.com/repos/tkluck/sage,44005699,2013-03-26 14:40:46,2019-03-09 16:03:03,5,323872,NO
3314898,Python,https://api.github.com/repos/nsnam/ns-3-dev-git,38744653,2013-04-26 09:45:15,2019-05-29 11:06:36,6,0,YES
3337398,Python,https://api.github.com/repos/nicoddemus/PySide-Examples,12380543,2013-04-10 00:27:15,2019-01-02 15:37:10,5,188867,NO
3358439,Python,https://api.github.com/repos/Upabjojr/sympy,14140584,2013-09-01 16:48:26,2019-05-27 09:09:01,5,9793,NO
3377808,Python,https://api.github.com/repos/TomAugspurger/pandas,10516824,2013-04-15 14:23:40,2019-05-31 20:50:49,6,27329,NO
3383128,Python,https://api.github.com/repos/sitepoint/salt,19446628,2013-04-16 07:28:20,2018-12-14 23:30:54,5,1142,NO
3428791,Python,https://api.github.com/repos/cvrebert/salt,11578894,2015-02-21 04:15:13,2018-10-29 13:26:17,3,1142,NO
3433060,Python,https://api.github.com/repos/hulu/salt,10913513,2013-04-22 16:32:33,2019-01-11 06:51:38,5,1142,NO
3478998,Python,https://api.github.com/repos/redhat-openstack/nova,15479296,2012-01-24 15:57:14,2019-05-09 04:41:12,7,10824,NO
3484948,Python,https://api.github.com/repos/deepy/appscale-debian,38064891,2013-04-10 16:55:20,2019-01-23 06:47:10,5,64630,NO
3605768,Python,https://api.github.com/repos/bachue/My-Sublime-Config,18807374,2013-05-07 03:32:09,2019-03-09 05:55:41,5,0,YES
3653125,Python,https://api.github.com/repos/jorisvandenbossche/pandas,10812025,2013-05-09 22:38:31,2019-05-26 15:10:14,6,27329,NO
3672400,Python,https://api.github.com/repos/JiYou/openstack,27464554,2013-12-16 09:23:15,2019-05-30 03:25:00,5,0,YES
3743078,Python,https://api.github.com/repos/jaap3/django,11350582,2013-05-16 08:02:00,2019-02-03 23:05:11,5,1226,NO
3772259,Python,https://api.github.com/repos/sergeykolosov/django,11326382,2013-05-18 08:20:25,2019-04-14 10:44:20,5,1226,NO
3780176,Python,https://api.github.com/repos/SublimeCodeIntel/SublimeCodeIntel,17521815,2011-05-31 00:53:31,2019-05-30 14:56:36,8,0,YES
3827376,Python,https://api.github.com/repos/sperrygrove/django,11421061,2013-11-05 09:37:08,2019-02-21 18:42:15,5,1226,NO
3867439,Python,https://api.github.com/repos/es5nhc/trv,53042722,2013-05-26 15:18:25,2019-03-21 08:21:29,5,0,YES
