project_id,author_id,total_commit_author
1142,541,2
1142,894,2
1142,2983,1
1142,3584,1
1142,5045,7
1142,5825,2
1142,6059,1
1142,6092,1
1142,6168,1
1142,6790,17
1142,6861,2
1142,6930,13515
1142,6936,3
1142,6939,10
1142,6949,274
1142,6956,17
1142,6957,3
1142,6959,16
1142,6967,1
1142,6972,1994
1142,6973,8
1142,6974,11
1142,6975,17
1142,6976,9
1142,6977,2
1142,6978,980
1142,6979,2
1142,7185,3
1142,7261,156
1142,8637,1
1142,8673,11
1142,8752,2
1142,9137,1
1142,9531,6
1142,9701,1
1142,10487,2
1142,10561,14
1142,11801,1
1142,12231,3
1142,12368,5
1142,13091,1
1142,13798,4
1142,13803,2
1142,14451,3
1142,14988,171
1142,15148,1
1142,15289,3
1142,15313,1
1142,15813,1
1142,16235,9
1142,16907,1
1142,18336,1
1142,18577,3
1142,18820,3
1142,19159,8
1142,19770,1
1142,20127,1
1142,20236,3
1142,21014,8
1142,21635,1
1142,21784,3
1142,22671,2
1142,22762,1
1142,22969,31
1142,23148,1
1142,23444,1
1142,23449,3
1142,24011,1
1142,25132,5
1142,25154,1
1142,25635,5
1142,26535,2
1142,26678,1
1142,27105,1
1142,28170,1
1142,28191,2
1142,28560,6
1142,28589,3
1142,28849,1
1142,30418,1
1142,31003,3
1142,31556,43
1142,31860,1
1142,32405,2
1142,32895,1
1142,32901,1
1142,33001,34
1142,33170,8
1142,34094,1
1142,34342,9
1142,34658,1
1142,34941,1
1142,35525,1
1142,35931,3
1142,36558,1
1142,36821,3
1142,39107,4
1142,39137,3
1142,39556,106
1142,39692,1
1142,40819,1
1142,40901,1
1142,41574,1
1142,41742,15
1142,43047,1
1142,43090,3
1142,43187,1
1142,43220,7
1142,43907,8
1142,46293,1
1142,46389,2
1142,46647,2
1142,47554,9
1142,47859,2
1142,47925,1
1142,49104,1
1142,50245,9
1142,50502,5
1142,51307,3
1142,52051,1
1142,52401,1
1142,53198,1
1142,53292,1
1142,53315,9
1142,53503,1
1142,53737,6826
1142,53882,33
1142,54242,1
1142,55275,743
1142,55361,7
1142,56178,2
1142,57724,1
1142,59858,7
1142,60303,1
1142,61032,6
1142,61144,1
1142,61275,2
1142,62175,7
1142,62308,1
1142,62652,335
1142,62671,53
1142,62706,35
1142,64511,3
1142,65599,39
1142,66861,4
1142,67068,2
1142,67106,3
1142,67385,1
1142,67494,1
1142,67592,1
1142,67633,1
1142,68579,1
1142,70602,2
1142,72808,2
1142,73329,2
1142,74647,5
1142,75414,16
1142,76438,2
1142,80346,5
1142,80728,2
1142,83581,9
1142,83821,1
1142,85323,1
1142,85566,2
1142,85685,7
1142,86018,92
1142,86292,3
1142,86732,3
1142,87619,1
1142,87851,49
1142,90009,9
1142,90341,6
1142,90822,5
1142,91173,2
1142,91191,1
1142,93124,4
1142,93211,1
1142,95468,8
1142,96089,3
1142,96194,1
1142,97146,1
1142,98343,1
1142,99600,2
1142,99602,1
1142,99603,1
1142,99604,2
1142,100255,1
1142,100968,1
1142,101124,3
1142,105278,1
1142,105279,1
1142,105280,14
1142,105282,8
1142,105292,1
1142,105294,1
1142,105295,11
1142,105299,9
1142,106557,2
1142,108068,2
1142,109303,1
1142,110197,1
1142,110287,4
1142,110570,2
1142,110785,3
1142,111528,1
1142,112198,30
1142,113520,1
1142,113563,2
1142,113847,1
1142,114234,14
1142,115198,6
1142,115738,17
1142,118054,13
1142,118132,32
1142,119359,7
1142,120561,15
1142,121358,17
1142,122023,34
1142,122558,64
1142,122568,1
1142,122574,2572
1142,123337,2
1142,125647,48
1142,128551,1
1142,129011,1
1142,129043,1
1142,130159,3
1142,131293,7
1142,131453,3
1142,131558,1
1142,132631,3
1142,133646,3
1142,134962,2
1142,135310,2
1142,136706,3
1142,136980,1
1142,137235,1
1142,137755,11
1142,140499,3
1142,140938,5
1142,141645,727
1142,143329,2
1142,144468,1
1142,145070,3
1142,145621,2
1142,147294,2
1142,150342,1
1142,151339,1
1142,151490,1
1142,152094,1
1142,154147,3
1142,154727,8
1142,155194,15
1142,155575,1
1142,156976,5
1142,157496,1
1142,158778,9
1142,160609,2
1142,160992,1
1142,162094,10
1142,162096,4
1142,163042,1
1142,166334,12
1142,166567,5
1142,167331,3
1142,167545,2
1142,168349,1
1142,170647,2
1142,171541,1
1142,171620,1
1142,171621,1
