,project_id,order,cross-entropy
0,27496810,1,6.533404
1,34561609,1,6.930498
2,52512066,1,6.677209
3,41339733,1,7.336109
4,32552050,1,5.600541000000001
5,31069027,1,6.248990999999999
6,31015510,1,5.532723
7,29379373,1,6.119670999999999
8,29126205,1,6.913802
9,47754491,1,6.667083
10,27472783,1,6.667394
11,31030536,1,6.503109
12,28884786,1,5.528232
13,31400029,1,6.1044
14,29817913,1,5.896654
15,31657027,1,6.843448
16,26427893,1,7.0885050000000005
17,28687875,1,6.463297
18,36761320,1,6.581751
19,31125446,1,6.3151470000000005
20,51732151,1,6.453959
21,47838894,1,7.0488919999999995
22,11161411,1,6.655889
23,27489574,1,6.18186
24,41010830,1,5.53999
25,28420571,1,6.923882000000001
26,29026813,1,6.551233000000001
27,30169075,1,6.283346
28,35149818,1,6.590871
29,56604179,1,7.0326949999999995
30,27940657,1,6.718030999999999
31,28261590,1,6.8220339999999995
32,40955019,1,6.942221000000001
33,34600889,1,6.227252999999999
34,27496810,2,4.971465
35,34561609,2,5.070901999999999
36,52512066,2,5.195864
37,41339733,2,6.049899
38,32552050,2,3.3976159999999993
39,31069027,2,4.606965000000001
40,31015510,2,3.575808
41,29379373,2,4.269412
42,29126205,2,5.293664000000001
43,47754491,2,5.289862
44,27472783,2,5.431920999999999
45,31030536,2,4.882751000000001
46,28884786,2,3.969606
47,31400029,2,4.085044999999999
48,29817913,2,3.893459
49,31657027,2,5.527831000000001
50,26427893,2,5.643045
51,28687875,2,4.463672999999999
52,36761320,2,4.800924999999999
53,31125446,2,4.4674949999999995
54,51732151,2,5.2513570000000005
55,47838894,2,5.830455000000001
56,11161411,2,4.9975000000000005
57,27489574,2,4.478619999999999
58,41010830,2,3.7791930000000002
59,28420571,2,5.410756
60,29026813,2,5.152726
61,30169075,2,5.029495
62,35149818,2,4.915686
63,56604179,2,5.730023999999999
64,27940657,2,5.182464
65,28261590,2,4.922013
66,40955019,2,4.641912
67,34600889,2,4.130675999999999
68,27496810,3,4.436851
69,34561609,3,3.855511
70,52512066,3,3.746615
71,41339733,3,5.481523
72,32552050,3,2.2625979999999997
73,31069027,3,3.817214
74,31015510,3,2.638218
75,29379373,3,3.2056290000000005
76,29126205,3,4.396625
77,47754491,3,4.309996
78,27472783,3,5.050821999999999
79,31030536,3,4.015716
80,28884786,3,3.6461760000000005
81,31400029,3,3.207337999999999
82,29817913,3,2.890109
83,31657027,3,4.6850830000000006
84,26427893,3,5.030346
85,28687875,3,3.038858
86,36761320,3,3.9477660000000006
87,31125446,3,3.528468
88,51732151,3,4.875400999999999
89,47838894,3,5.279482
90,11161411,3,4.179087999999999
91,27489574,3,3.708202
92,41010830,3,2.817618
93,28420571,3,4.5031930000000004
94,29026813,3,4.524866
95,30169075,3,4.721045
96,35149818,3,4.171024999999999
97,56604179,3,5.358092999999999
98,27940657,3,4.522577
99,28261590,3,3.7608470000000005
100,40955019,3,2.883335
101,34600889,3,3.3370870000000004
102,27496810,4,4.628892
103,34561609,4,3.171732
104,52512066,4,3.6611420000000003
105,41339733,4,5.224476
106,32552050,4,2.0093229999999997
107,31069027,4,3.7240969999999995
108,31015510,4,2.266157
109,29379373,4,3.018646
110,29126205,4,4.13143
111,47754491,4,5.311553
112,27472783,4,5.048742
113,31030536,4,4.005986
114,28884786,4,3.412045
115,31400029,4,2.666188
116,29817913,4,2.721657
117,31657027,4,4.4159609999999985
118,26427893,4,4.87177
119,28687875,4,3.0177570000000005
120,36761320,4,3.834086
121,31125446,4,3.155892
122,51732151,4,4.9024659999999995
123,47838894,4,5.172835999999999
124,11161411,4,4.086765
125,27489574,4,3.869591
126,41010830,4,2.825785
127,28420571,4,4.350033000000001
128,29026813,4,4.471065000000001
129,30169075,4,5.022361
130,35149818,4,4.0105699999999995
131,56604179,4,5.282324999999999
132,27940657,4,4.441806999999999
133,28261590,4,3.7761020000000003
134,40955019,4,2.342125
135,34600889,4,2.938718
136,27496810,5,4.295081999999999
137,34561609,5,3.8236929
138,52512066,5,3.361831
139,41339733,5,4.9497789999999995
140,32552050,5,1.839404
141,31069027,5,3.6960409999999997
142,31015510,5,2.3411679999999997
143,29379373,5,2.8377639999999995
144,29126205,5,4.168730999999999
145,47754491,5,5.025747999999999
146,27472783,5,4.935389
147,31030536,5,3.8233009999999994
148,28884786,5,2.9434970000000003
149,31400029,5,2.9489410000000005
150,29817913,5,2.5464599999999997
151,31657027,5,4.295692000000001
152,26427893,5,4.838127999999999
