,project_id,total_author,total_commit_project,author_id,total_commit_author,percent,contributor,max,ownership
0,11161411,1,849,1377485,849,100.0,Major,100.0,Yes
1,26427893,10,1226,431014,29,2.365415986949429,Minor,62.88743882544861,No
2,26427893,10,1226,3299666,7,0.5709624796084829,Minor,62.88743882544861,No
3,26427893,10,1226,8519223,107,8.727569331158238,Major,62.88743882544861,No
4,26427893,10,1226,9301274,9,0.734094616639478,Minor,62.88743882544861,No
5,26427893,10,1226,9621186,771,62.88743882544861,Major,62.88743882544861,Yes
6,26427893,10,1226,10928528,277,22.59380097879282,Major,62.88743882544861,No
7,26427893,10,1226,34665459,9,0.734094616639478,Minor,62.88743882544861,No
8,26427893,10,1226,37652814,6,0.4893964110929853,Minor,62.88743882544861,No
9,26427893,10,1226,40697668,2,0.1631321370309951,Minor,62.88743882544861,No
10,26427893,10,1226,44588932,9,0.734094616639478,Minor,62.88743882544861,No
11,27472783,26,1283,111164,2,0.1558846453624318,Minor,44.27123928293063,No
12,27472783,26,1283,379871,35,2.7279812938425567,Minor,44.27123928293063,No
13,27472783,26,1283,585395,7,0.5455962587685113,Minor,44.27123928293063,No
14,27472783,26,1283,731616,5,0.3897116134060795,Minor,44.27123928293063,No
15,27472783,26,1283,1051631,5,0.3897116134060795,Minor,44.27123928293063,No
16,27472783,26,1283,1455830,17,1.3250194855806703,Minor,44.27123928293063,No
17,27472783,26,1283,2823636,568,44.27123928293063,Major,44.27123928293063,Yes
18,27472783,26,1283,2835021,9,0.7014809041309431,Minor,44.27123928293063,No
19,27472783,26,1283,2931483,149,11.61340607950117,Major,44.27123928293063,No
20,27472783,26,1283,3384277,3,0.2338269680436477,Minor,44.27123928293063,No
21,27472783,26,1283,3873764,5,0.3897116134060795,Minor,44.27123928293063,No
22,27472783,26,1283,4302753,2,0.1558846453624318,Minor,44.27123928293063,No
23,27472783,26,1283,6234800,11,0.857365549493375,Minor,44.27123928293063,No
24,27472783,26,1283,6735932,3,0.2338269680436477,Minor,44.27123928293063,No
25,27472783,26,1283,8101976,111,8.651597817614965,Major,44.27123928293063,No
26,27472783,26,1283,10058563,7,0.5455962587685113,Minor,44.27123928293063,No
27,27472783,26,1283,10347624,3,0.2338269680436477,Minor,44.27123928293063,No
28,27472783,26,1283,10358033,91,7.092751363990647,Major,44.27123928293063,No
29,27472783,26,1283,10452892,128,9.976617303195635,Major,44.27123928293063,No
30,27472783,26,1283,12262979,2,0.1558846453624318,Minor,44.27123928293063,No
31,27472783,26,1283,30699741,24,1.8706157443491815,Minor,44.27123928293063,No
32,27472783,26,1283,30752854,2,0.1558846453624318,Minor,44.27123928293063,No
33,27472783,26,1283,33710280,13,1.0132501948558068,Minor,44.27123928293063,No
34,27472783,26,1283,37713417,15,1.1691348402182384,Minor,44.27123928293063,No
35,27472783,26,1283,38873174,62,4.832424006235386,Minor,44.27123928293063,No
36,27472783,26,1283,51640695,4,0.3117692907248636,Minor,44.27123928293063,No
37,27489574,17,1734,77302,15,0.8650519031141869,Minor,31.60322952710496,No
38,27489574,17,1734,92696,1,0.05767012687427912,Minor,31.60322952710496,No
39,27489574,17,1734,121009,1,0.05767012687427912,Minor,31.60322952710496,No
40,27489574,17,1734,230603,4,0.2306805074971165,Minor,31.60322952710496,No
41,27489574,17,1734,826332,1,0.05767012687427912,Minor,31.60322952710496,No
42,27489574,17,1734,1816437,2,0.11534025374855825,Minor,31.60322952710496,No
43,27489574,17,1734,2464962,18,1.0380622837370241,Minor,31.60322952710496,No
44,27489574,17,1734,2538889,2,0.11534025374855825,Minor,31.60322952710496,No
45,27489574,17,1734,2709375,6,0.3460207612456747,Minor,31.60322952710496,No
46,27489574,17,1734,2865764,1,0.05767012687427912,Minor,31.60322952710496,No
47,27489574,17,1734,3092894,452,26.066897347174162,Major,31.60322952710496,No
48,27489574,17,1734,3161753,37,2.1337946943483277,Minor,31.60322952710496,No
49,27489574,17,1734,3505783,14,0.8073817762399077,Minor,31.60322952710496,No
50,27489574,17,1734,5559993,466,26.874279123414073,Major,31.60322952710496,No
51,27489574,17,1734,6793148,164,9.457900807381776,Major,31.60322952710496,No
52,27489574,17,1734,7018574,2,0.11534025374855825,Minor,31.60322952710496,No
53,27489574,17,1734,7226030,548,31.60322952710496,Major,31.60322952710496,Yes
54,27496810,11,1524,185933,18,1.1811023622047243,Minor,29.79002624671916,No
55,27496810,11,1524,3606030,2,0.13123359580052493,Minor,29.79002624671916,No
56,27496810,11,1524,7914627,120,7.874015748031496,Major,29.79002624671916,No
57,27496810,11,1524,10179626,188,12.335958005249344,Major,29.79002624671916,No
58,27496810,11,1524,10388468,72,4.724409448818897,Minor,29.79002624671916,No
59,27496810,11,1524,11162864,454,29.79002624671916,Major,29.79002624671916,Yes
60,27496810,11,1524,11846809,307,20.144356955380577,Major,29.79002624671916,No
61,27496810,11,1524,31912515,202,13.254593175853019,Major,29.79002624671916,No
62,27496810,11,1524,32787469,75,4.921259842519685,Minor,29.79002624671916,No
63,27496810,11,1524,35594804,84,5.511811023622047,Major,29.79002624671916,No
64,27496810,11,1524,36266650,2,0.13123359580052493,Minor,29.79002624671916,No
65,27940657,1,622,3129544,622,100.0,Major,100.0,Yes
66,28261590,5,778,683027,139,17.866323907455012,Major,56.16966580976864,No
67,28261590,5,778,2237416,437,56.16966580976864,Major,56.16966580976864,Yes
68,28261590,5,778,3377569,3,0.3856041131105398,Minor,56.16966580976864,No
69,28261590,5,778,7879963,112,14.395886889460154,Major,56.16966580976864,No
