,project_id,Revision,Author,Date,Lines of Code,L Lines of Code,S Lines of Code,Multi-line comments,Multi lines,blank lines,Single comment lines,Cyclomatic Complexity,Unique Operands,Unique Operators,Number of Operands,Number of Operators,Unique vocabulary (h1 + h2),Length of application,Code volume,Difficulty,Effort,Maintainability Ranking,Maintainability Index,file
29,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,62,34,34,9,0,20,8,10,0,0,0,0,0,0,0,0,0,A,100,/home/senior/senior/all_metric/56604179/86.csv
30,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,71,11,9,12,33,20,9,4,0,0,0,0,0,0,0,0,0,A,100,/home/senior/senior/all_metric/56604179/51.csv
31,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,508,158,152,29,182,161,13,48,7,27,17,27,34,44,223.848,3.5,783.469,A,49.3158,/home/senior/senior/all_metric/56604179/57.csv
32,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,44,22,18,8,8,10,8,6,5,11,6,11,16,17,68,2.5,170,A,84.0674,/home/senior/senior/all_metric/56604179/43.csv
33,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,20,4,3,8,5,4,8,0,0,0,0,0,0,0,0,0,0,A,100,/home/senior/senior/all_metric/56604179/9.csv
34,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,52,6,15,10,16,13,8,2,0,0,0,0,0,0,0,0,0,A,100,/home/senior/senior/all_metric/56604179/72.csv
35,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,34,1,0,8,16,10,8,0,0,0,0,0,0,0,0,0,0,A,100,/home/senior/senior/all_metric/56604179/65.csv
36,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,142,80,77,10,4,50,11,15,6,53,40,76,59,116,682.387,4.30189,2935.55,A,60.3026,/home/senior/senior/all_metric/56604179/68.csv
37,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,143,62,60,12,36,37,10,20,4,8,6,8,12,14,50.1895,2,100.379,A,75.0561,/home/senior/senior/all_metric/56604179/34.csv
38,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,461,214,201,12,117,126,17,75,8,51,33,55,59,88,517.673,4.31373,2233.1,A,51.6175,/home/senior/senior/all_metric/56604179/74.csv
39,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,70,44,46,10,0,14,10,6,5,49,31,58,54,89,512.185,2.95918,1515.65,A,66.0053,/home/senior/senior/all_metric/56604179/84.csv
40,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,556,322,356,67,43,82,75,104,12,119,74,143,131,217,1526.25,7.21008,11004.4,A,38.0106,/home/senior/senior/all_metric/56604179/5.csv
41,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,35,18,20,8,0,7,8,5,3,9,5,10,12,15,53.7744,1.66667,89.6241,A,88.2168,/home/senior/senior/all_metric/56604179/106.csv
42,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,88,32,68,10,0,15,5,5,0,0,0,0,0,0,0,0,0,A,100,/home/senior/senior/all_metric/56604179/0.csv
43,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,198,66,59,12,82,47,10,18,6,16,10,20,22,30,133.783,3.75,501.686,A,58.0865,/home/senior/senior/all_metric/56604179/26.csv
44,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,494,163,144,15,194,144,12,63,14,58,35,69,72,104,641.672,8.32759,5343.58,A,43.0815,/home/senior/senior/all_metric/56604179/56.csv
45,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,129,66,62,12,25,33,9,19,2,4,3,4,6,7,18.0947,1,18.0947,A,79.1158,/home/senior/senior/all_metric/56604179/53.csv
46,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,514,249,259,12,114,125,16,96,16,98,59,110,114,169,1154.76,8.97959,10369.3,A,45.0732,/home/senior/senior/all_metric/56604179/35.csv
47,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,306,200,206,16,0,84,16,17,17,165,162,305,182,467,3506.14,15.7121,55088.9,A,30.9935,/home/senior/senior/all_metric/56604179/102.csv
48,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,36,16,14,10,4,9,9,2,1,2,1,2,3,3,4.75489,0.5,2.37744,A,94.3653,/home/senior/senior/all_metric/56604179/61.csv
