project_id,add,delete,churn,pathname
31069027,4,3,7,purchase_landed_cost/__openerp__.py
31069027,63,36,99,purchase_landed_cost/models/purchase_cost_distribution.py
31069027,38,24,62,customer_expense_account/wizard/customer_expense_wzd.py
31069027,3,1,4,customer_expense_account/__openerp__.py
31069027,14,0,14,customer_expense_account/models/expense_type.py
31069027,0,1,1,customer_expense_account/models/res_company.py
31069027,0,1,1,customer_expense_account/models/res_partner.py
31069027,5,5,10,customer_expense_account/report/customer_expense_parser.py
31069027,11,2,13,customer_expense_account/tests/test_expense_structure.py
31069027,113,57,170,customer_expense_account/wizard/customer_expense_wzd.py
31069027,0,1,1,website_cmnt_custom_snippet/__openerp__.py
31069027,1,1,2,nan_partner_risk/risk.py
31069027,36,1,37,nan_partner_risk/risk.py
31069027,2,0,2,nan_partner_risk/wizard/open_risk_window.py
31069027,20,6,26,nan_partner_risk/risk.py
31069027,4,0,4,hubspot_tracking/__init__.py
31069027,21,0,21,hubspot_tracking/__openerp__.py
31069027,4,0,4,hubspot_tracking/models/__init__.py
31069027,21,0,21,hubspot_tracking/models/website.py
31069027,1,1,2,custom_partner_sequence/models/res_partner.py
31069027,1,3,4,customer_expense_account/__openerp__.py
31069027,97,9,106,customer_expense_account/tests/test_expense_structure.py
31069027,24,0,24,customer_expense_account/wizard/customer_expense_wzd.py
31069027,7,0,7,website_sale_filter_countries/controllers/main.py
31069027,7,0,7,website_sale_filter_countries/models/res_country.py
31069027,2,2,4,cmnt_global_discount/models/account_invoice.py
31069027,2,1,3,cmnt_global_discount/models/account_invoice.py
31069027,0,1,1,cmnt_global_discount/models/sale.py
31069027,0,1,1,cmnt_global_discount/models/sale.py
31069027,69,66,135,cmnt_global_discount/models/account_invoice.py
31069027,0,5,5,cmnt_global_discount/models/global_discount.py
31069027,1,8,9,cmnt_global_discount/models/res_partner.py
31069027,5,18,23,cmnt_global_discount/models/sale.py
31069027,5,0,5,website_sale_filter_countries/__init__.py
31069027,22,0,22,website_sale_filter_countries/__openerp__.py
31069027,4,0,4,website_sale_filter_countries/controllers/__init__.py
31069027,21,0,21,website_sale_filter_countries/controllers/main.py
31069027,4,0,4,website_sale_filter_countries/models/__init__.py
31069027,12,0,12,website_sale_filter_countries/models/res_country.py
31069027,9,3,12,custom_partner_sequence/models/res_partner.py
31069027,1,0,1,custom_partner_sequence/__openerp__.py
31069027,3,0,3,customer_expense_account/__openerp__.py
31069027,54,28,82,customer_expense_account/tests/test_expense_structure.py
31069027,13,1,14,customer_expense_account/tests/test_expense_structure.py
31069027,3,3,6,customer_expense_account/wizard/customer_expense_wzd.py
31069027,3,0,3,cmnt_global_discount/__openerp__.py
31069027,2,1,3,cmnt_global_discount/models/__init__.py
31069027,17,7,24,cmnt_global_discount/models/account_invoice.py
31069027,17,0,17,cmnt_global_discount/models/global_discount.py
31069027,7,2,9,cmnt_global_discount/models/res_partner.py
31069027,25,13,38,cmnt_global_discount/models/sale.py
31069027,5,6,11,cmnt_global_discount/models/stock.py
31069027,2,2,4,cmnt_global_discount/models/sale.py
31069027,3,3,6,cmnt_global_discount/models/res_partner.py
31069027,1,0,1,cmnt_global_discount/__openerp__.py
31069027,2,1,3,cmnt_global_discount/models/__init__.py
31069027,16,0,16,cmnt_global_discount/models/res_partner.py
31069027,10,0,10,cmnt_global_discount/models/sale.py
31069027,1,1,2,customer_expense_account/__init__.py
31069027,4,1,5,customer_expense_account/models/expense_structure.py
31069027,1,1,2,customer_expense_account/report/__init__.py
31069027,4,0,4,customer_expense_account/tests/__init__.py
31069027,48,0,48,customer_expense_account/tests/test_expense_structure.py
31069027,11,2,13,customer_expense_account/report/purchase_order_parser.py
31069027,12,0,12,customer_expense_account/models/res_company.py
31069027,21,0,21,customer_expense_account/report/__init__.py
31069027,36,0,36,customer_expense_account/report/purchase_order_parser.py
31069027,12,11,23,customer_expense_account/wizard/customer_expense_wzd.py
31069027,4,0,4,custom_partner_sequence/__init__.py
31069027,26,0,26,custom_partner_sequence/__openerp__.py
31069027,4,0,4,custom_partner_sequence/models/__init__.py
31069027,43,0,43,custom_partner_sequence/models/res_partner.py
31069027,1,1,2,stock_picking_review/stock.py
31069027,1,0,1,customer_expense_account/__openerp__.py
31069027,1,0,1,customer_expense_account/models/__init__.py
31069027,5,2,7,customer_expense_account/wizard/customer_expense_wzd.py
31069027,2,1,3,customer_expense_account/__init__.py
31069027,2,0,2,customer_expense_account/__openerp__.py
31069027,38,24,62,customer_expense_account/wizard/customer_expense_wzd.py
31069027,1,0,1,customer_expense_account/models/expense_type.py
31069027,33,45,78,customer_expense_account/wizard/customer_expense_wzd.py
31069027,0,2,2,customer_expense_account/models/expense_structure.py
31069027,2,4,6,customer_expense_account/models/expense_type.py
31069027,104,12,116,customer_expense_account/wizard/customer_expense_wzd.py
31069027,2,0,2,customer_expense_account/models/expense_type.py
31069027,62,23,85,customer_expense_account/wizard/customer_expense_wzd.py
31069027,2,0,2,rappel/__init__.py
31069027,4,2,6,rappel/__openerp__.py
31069027,29,0,29,rappel/invoice.py
31069027,5,2,7,rappel/rappel_customer_rel.py
31069027,50,0,50,rappel/sale.py
31069027,1,1,2,customer_expense_account/models/expense_structure.py
31069027,3,4,7,customer_expense_account/wizard/customer_expense_wzd.py
31069027,1,0,1,customer_expense_account/__openerp__.py
31069027,1,0,1,customer_expense_account/models/expense_structure.py
31069027,4,0,4,customer_expense_account/models/expense_type.py
31069027,20,14,34,customer_expense_account/wizard/customer_expense_wzd.py
31069027,2,2,4,customer_expense_account/wizard/customer_expense_wzd.py
31069027,2,2,4,customer_expense_account/models/expense_structure.py
31069027,12,7,19,customer_expense_account/models/expense_type.py
31069027,1,1,2,customer_expense_account/models/res_partner.py
31069027,0,1,1,customer_expense_account/wizard/customer_expense_wzd.py
31069027,11,1,12,customer_expense_account/models/expense_structure.py
31069027,13,4,17,customer_expense_account/models/expense_type.py
31069027,32,32,64,customer_expense_account/wizard/customer_expense_wzd.py
31069027,13,4,17,customer_expense_account/models/expense_structure.py
31069027,4,2,6,customer_expense_account/models/expense_type.py
31069027,105,40,145,customer_expense_account/wizard/customer_expense_wzd.py
31069027,9,9,18,customer_expense_account/wizard/customer_expense_wzd.py
31069027,0,37,37,customer_expense_account/models/expense_structure.py
31069027,1,1,2,customer_expense_account/models/expense_type.py
31069027,96,6,102,customer_expense_account/wizard/customer_expense_wzd.py
31069027,6,0,6,customer_expense_account/__init__.py
31069027,31,0,31,customer_expense_account/__openerp__.py
31069027,6,0,6,customer_expense_account/models/__init__.py
31069027,63,0,63,customer_expense_account/models/expense_structure.py
31069027,21,0,21,customer_expense_account/models/expense_type.py
31069027,13,0,13,customer_expense_account/models/res_partner.py
31069027,6,0,6,customer_expense_account/wizard/__init__.py
31069027,31,0,31,customer_expense_account/wizard/customer_expense_wzd.py
31069027,11,12,23,purchase_landed_cost/models/purchase_cost_distribution.py
31069027,4,0,4,cmnt_global_discount/__init__.py
31069027,33,0,33,cmnt_global_discount/__openerp__.py
31069027,6,0,6,cmnt_global_discount/models/__init__.py
31069027,84,0,84,cmnt_global_discount/models/account_invoice.py
31069027,82,0,82,cmnt_global_discount/models/sale.py
31069027,20,0,20,cmnt_global_discount/models/stock.py
31069027,8,2,10,nan_partner_risk/risk.py
31069027,8,23,31,purchase_landed_cost/__openerp__.py
31069027,14,0,14,purchase_landed_cost/migrations/8.0.2.0.0/post-migration.py
31069027,2,16,18,purchase_landed_cost/models/__init__.py
31069027,21,0,21,purchase_landed_cost/models/account_invoice.py
31069027,14,0,14,purchase_landed_cost/models/format_lang_wrapper.py
31069027,140,98,238,purchase_landed_cost/models/purchase_cost_distribution.py
31069027,1,2,3,purchase_landed_cost/models/stock_picking.py
31069027,2,16,18,purchase_landed_cost/wizard/__init__.py
31069027,1,0,1,purchase_landed_cost/wizard/import_invoice_line.py
31069027,35,0,35,purchase_landed_cost/wizard/import_landed_cost_pickings_wizard.py
31069027,13,4,17,purchase_landed_cost/wizard/picking_import_wizard.py
31069027,2,0,2,cmnt_custom_reports/__openerp__.py
31069027,3,0,3,cmnt_custom_reports/__init__.py
31069027,29,0,29,cmnt_custom_reports/__openerp__.py
31069027,3,0,3,cmnt_custom_reports/models/__init__.py
31069027,3,0,3,website_cmnt_custom_snippet/__init__.py
