project_id,cross-entropy_mean,Maintainability Index,Lines of Code,Cyclomatic Complexity
11161411,4.649215466666666,55.83472874149663,126756.0,10252.0
26427893,4.9535988,56.642437514285724,36668.0,5195.0
27472783,5.120644466666667,71.36626481481483,9213.0,1390.0
27489574,3.933792666666668,66.45246607142856,21567.0,2192.0
27496810,4.802755400000001,86.42542787037037,5134.0,1055.0
27940657,4.652295733333332,63.733861194029856,4612.0,1084.0
28261590,3.921776,53.20401764705881,19723.0,2358.0
28420571,4.539704933333334,65.63880788753794,104777.0,8716.0
28687875,3.1758345666666665,69.91916451612903,141630.0,1027.0
28884786,3.2988986599999994,84.26344924012159,40262.0,5039.0
29026813,4.614163333333334,51.82334516129032,7647.0,1631.0
29126205,4.408126266666667,68.52227088235293,7886.0,657.0
29379373,3.1569712000000005,69.09260400000002,7086.0,1016.0
29817913,3.3714758666666658,78.96282887323945,19844.0,2606.0
30169075,6.4855247999999985,79.39322790697673,5486.0,560.0
31015510,2.6154954,70.61845873015874,16835.0,1651.0
31030536,4.1416336000000005,70.46806551724137,8824.0,1044.0
31069027,3.995902333333333,90.99569172185429,16230.0,2869.0
31125446,3.3857412666666664,58.04142105263157,1872.0,267.0
31400029,3.1308006733333333,95.7060406060606,9767.0,897.0
31657027,4.707314066666666,60.567461296296294,10151.0,1887.0
32552050,2.285517553333334,95.731525,9642.0,812.0
34561609,3.588059513333334,70.26930517241382,9756.0,947.0
34600889,3.25606072,92.73641315789473,5630.0,653.0
35149818,4.1624213333333335,74.69069960317458,15796.0,4970.0
36761320,4.005252866666666,64.29535000000001,2856.0,555.0
40955019,2.531698640000001,86.20876355685135,140617.0,1478.0
41010830,3.769488933333333,80.18852361111108,10102.0,590.0
41339733,5.2687855333333315,62.02926899999999,10215.0,2222.0
47754491,4.8219172000000015,84.60494117647056,2188.0,211.0
47838894,5.371555,56.17522725490197,16348.0,2638.0
51732151,4.925895933333334,75.214984,12547.0,1073.0
52512066,3.7071870533333335,71.56996,607.0,61.0
56604179,5.444093199999998,67.05799981981981,28353.0,4158.0
