project_id,order,cross-entropy
31069027,1,6.248990999999999
28420571,1,6.923882000000001
31015510,1,5.532723
36761320,1,6.581751
51732151,1,6.453959
31125446,1,6.3151470000000005
26427893,1,7.0885050000000005
28884786,1,5.528232
29817913,1,5.896654
47838894,1,7.0488919999999995
27940657,1,6.718030999999999
32552050,1,5.600541000000001
30169075,1,6.283346
27472783,1,6.667394
52512066,1,6.677209
31400029,1,6.1044
27489574,1,6.18186
31657027,1,6.843448
29379373,1,6.119670999999999
29026813,1,6.551233000000001
31030536,1,6.503109
41339733,1,7.336109
28261590,1,6.8220339999999995
47754491,1,6.667083
29126205,1,6.913802
34600889,1,6.227252999999999
27496810,1,6.533404
28687875,1,6.463297
56604179,1,7.0326949999999995
40955019,1,6.942221000000001
35149818,1,6.590871
11161411,1,6.655889
34561609,1,6.930498
41010830,1,5.53999
31069027,2,4.606965000000001
28420571,2,5.410756
31015510,2,3.575808
36761320,2,4.800924999999999
51732151,2,5.2513570000000005
31125446,2,4.4674949999999995
26427893,2,5.643045
28884786,2,3.969606
29817913,2,3.893459
47838894,2,5.830455000000001
27940657,2,5.182464
32552050,2,3.3976159999999993
30169075,2,5.029495
27472783,2,5.431920999999999
52512066,2,5.195864
31400029,2,4.085044999999999
27489574,2,4.478619999999999
31657027,2,5.527831000000001
29379373,2,4.269412
29026813,2,5.152726
31030536,2,4.882751000000001
41339733,2,6.049899
28261590,2,4.922013
47754491,2,5.289862
29126205,2,5.293664000000001
34600889,2,4.130675999999999
27496810,2,4.971465
28687875,2,4.463672999999999
56604179,2,5.730023999999999
40955019,2,4.641912
35149818,2,4.915686
11161411,2,4.9975000000000005
34561609,2,5.070901999999999
41010830,2,3.7791930000000002
31069027,3,3.817214
28420571,3,4.5031930000000004
31015510,3,2.638218
36761320,3,3.9477660000000006
51732151,3,4.875400999999999
31125446,3,3.528468
26427893,3,5.030346
28884786,3,3.6461760000000005
29817913,3,2.890109
47838894,3,5.279482
27940657,3,4.522577
32552050,3,2.2625979999999997
30169075,3,4.721045
27472783,3,5.050821999999999
52512066,3,3.746615
31400029,3,3.207337999999999
27489574,3,3.708202
31657027,3,4.6850830000000006
29379373,3,3.2056290000000005
29026813,3,4.524866
31030536,3,4.015716
41339733,3,5.481523
28261590,3,3.7608470000000005
47754491,3,4.309996
29126205,3,4.396625
34600889,3,3.3370870000000004
27496810,3,4.436851
28687875,3,3.038858
56604179,3,5.358092999999999
40955019,3,2.883335
35149818,3,4.171024999999999
11161411,3,4.179087999999999
34561609,3,3.855511
41010830,3,2.817618
31069027,4,3.7240969999999995
28420571,4,4.350033000000001
31015510,4,2.266157
36761320,4,3.834086
51732151,4,4.9024659999999995
31125446,4,3.155892
26427893,4,4.87177
28884786,4,3.412045
29817913,4,2.721657
47838894,4,5.172835999999999
27940657,4,4.441806999999999
32552050,4,2.0093229999999997
30169075,4,5.022361
27472783,4,5.048742
52512066,4,3.6611420000000003
31400029,4,2.666188
27489574,4,3.869591
31657027,4,4.4159609999999985
29379373,4,3.018646
29026813,4,4.471065000000001
31030536,4,4.005986
41339733,4,5.224476
28261590,4,3.7761020000000003
47754491,4,5.311553
29126205,4,4.13143
34600889,4,2.938718
27496810,4,4.628892
28687875,4,3.0177570000000005
56604179,4,5.282324999999999
40955019,4,2.342125
35149818,4,4.0105699999999995
11161411,4,4.086765
34561609,4,3.171732
41010830,4,2.825785
31069027,5,3.6960409999999997
28420571,5,4.278075
31015510,5,2.3411679999999997
36761320,5,3.6129839999999995
51732151,5,4.686805
31125446,5,3.243483
26427893,5,4.838127999999999
28884786,5,2.9434970000000003
29817913,5,2.5464599999999997
47838894,5,5.20278
27940657,5,4.411493
