project_id,Lines of Code,L Lines of Code,S Lines of Code,Multi-line comments,Multi lines,blank lines,Single comment lines,Cyclomatic Complexity,Unique Operands,Unique Operators,Number of Operands,Number of Operators,Unique vocabulary (h1 + h2),Length of application,Code volume,Difficulty,Effort,Maintainability Index
26427893,523.8285714285714,317.2142857142857,318.15714285714284,53.41428571428571,51.65714285714286,106.04285714285714,47.97142857142857,74.21428571428571,8.6,280.54285714285714,212.62857142857143,406.6,289.14285714285717,619.2285714285714,6041.723935428571,6.008363271428571,75425.2151154286,8.949687828817572
27472783,170.61111111111111,78.87037037037037,87.11111111111111,8.24074074074074,43.2962962962963,32.31481481481482,7.888888888888889,25.74074074074074,4.074074074074074,19.574074074074073,12.62962962962963,23.40740740740741,23.64814814814815,36.03703703703704,202.88043888888885,2.4638272222222217,1103.6078055555556,38.06177433520124
27489574,385.30357142857144,182.28571428571428,208.53571428571428,25.928571428571427,105.60714285714286,46.517857142857146,24.642857142857142,39.19642857142857,3.5892857142857144,18.875,11.517857142857142,21.410714285714285,22.464285714285715,32.92857142857143,183.38873035714292,2.024613392857143,915.544732142857,28.28928193322599
27496810,47.53703703703704,33.166666666666664,34.48148148148148,3.0277777777777777,0.9722222222222222,9.86111111111111,2.2222222222222223,9.768518518518519,1.6388888888888888,10.12037037037037,5.87962962962963,11.287037037037036,11.75925925925926,17.166666666666668,106.1960439814815,0.9196566666666667,683.0601635185185,50.95842457268097
27940657,68.83582089552239,52.223880597014926,55.64179104477612,4.253731343283582,0.0,9.582089552238806,3.611940298507463,16.17910447761194,3.328358208955224,11.716417910447761,6.791044776119403,13.134328358208956,15.044776119402986,19.925373134328357,91.6938871641791,1.857756417910448,325.87538388059704,46.009413119343925
28261590,244.9878048780488,135.6219512195122,172.17073170731706,14.658536585365853,15.548780487804878,44.390243902439025,12.878048780487806,29.073170731707318,7.2682926829268295,60.26829268292683,44.707317073170735,86.53658536585365,67.53658536585365,131.2439024390244,926.3778219512195,5.17773668292683,10364.734828048782,26.540947586390182
28687875,4568.709677419355,2342.4193548387098,3981.0967741935483,123.2258064516129,49.516129032258064,412.38709677419354,125.70967741935483,33.12903225806452,3.096774193548387,20.483870967741936,12.258064516129032,23.193548387096776,23.580645161290324,35.45161290322581,198.3143709677419,1.740875806451613,719.3621348387097,0.9276138756210686
28884786,122.37689969604864,51.26747720364742,78.14893617021276,9.902735562310031,20.051671732522795,17.480243161094226,6.696048632218845,15.316109422492401,2.164133738601824,17.188449848024316,12.565349544072948,23.908814589665653,19.35258358662614,36.474164133738604,237.53865550151966,1.477987762917933,1700.7207307598783,40.01285994913336
29026813,263.78125,177.4375,194.5625,10.4375,5.625,53.375,10.21875,58.34375,7.0,59.15625,37.25,70.625,66.15625,107.875,756.7095121875001,4.1067212500000005,6008.031463749999,22.06084124507561
29126205,231.94117647058823,134.35294117647058,131.14705882352942,39.44117647058823,11.588235294117647,53.3235294117647,35.88235294117647,19.323529411764707,5.205882352941177,108.94117647058823,73.91176470588235,143.6764705882353,114.1470588235294,217.58823529411765,1892.939602647059,3.520371176470588,17210.94304823529,28.25766516066219
