project_id,Lines of Code,L Lines of Code,S Lines of Code,Multi-line comments,Multi lines,blank lines,Single comment lines,Cyclomatic Complexity,Unique Operands,Unique Operators,Number of Operands,Number of Operators,Unique vocabulary (h1 + h2),Length of application,Code volume,Difficulty,Effort,Maintainability Index
11161411,431.14285714285717,210.33333333333334,293.6054421768707,21.897959183673468,55.404761904761905,60.60884353741496,21.523809523809526,34.87074829931973,5.816326530612245,185.0204081632653,151.69387755102042,263.1530612244898,190.83673469387756,414.8469387755102,4037.510040068026,3.810622823129254,43989.57236299315,16.22801008253694
26427893,523.8285714285714,317.2142857142857,318.15714285714284,53.41428571428571,51.65714285714286,106.04285714285714,47.97142857142857,74.21428571428571,8.6,280.54285714285714,212.62857142857143,406.6,289.14285714285717,619.2285714285714,6041.723935428571,6.008363271428574,75425.21511542855,8.949687828817572
27472783,170.61111111111111,78.87037037037037,87.11111111111111,8.24074074074074,43.2962962962963,32.31481481481482,7.888888888888889,25.74074074074074,4.074074074074074,19.574074074074073,12.62962962962963,23.40740740740741,23.64814814814815,36.03703703703704,202.88043888888896,2.463827222222222,1103.6078055555556,38.06177433520124
27489574,385.125,182.19642857142858,208.46428571428572,25.857142857142858,105.60714285714286,46.5,24.553571428571427,39.142857142857146,3.5892857142857144,18.803571428571427,11.482142857142858,21.339285714285715,22.392857142857142,32.82142857142857,182.6855160714286,2.0247780357142857,913.7781607142851,28.311416021878934
27496810,47.53703703703704,33.166666666666664,34.48148148148148,3.0277777777777777,0.9722222222222222,9.86111111111111,2.2222222222222223,9.768518518518519,1.6388888888888888,10.12037037037037,5.87962962962963,11.287037037037036,11.75925925925926,17.166666666666668,106.19604398148151,0.9196566666666668,683.0601635185184,50.95842457268097
27940657,68.83582089552239,52.223880597014926,55.64179104477612,4.253731343283582,0.0,9.582089552238806,3.611940298507463,16.17910447761194,3.328358208955224,11.716417910447761,6.791044776119403,13.134328358208956,15.044776119402986,19.925373134328357,91.69388716417909,1.8577564179104478,325.8753838805971,46.009413119343925
28261590,232.03529411764706,129.6,162.58823529411765,13.282352941176471,15.529411764705882,42.35294117647059,11.564705882352941,27.741176470588236,7.176470588235294,57.09411764705882,42.23529411764706,81.8,64.27058823529411,124.03529411764706,868.6388810588234,5.087449741176473,9649.821815764706,27.458320984724818
28420571,318.4711246200608,123.36170212765957,141.77203647416414,24.48328267477204,84.71732522796353,63.77811550151976,28.203647416413375,26.492401215805472,6.127659574468085,53.246200607902736,42.25835866261398,76.98480243161094,59.37386018237082,119.24316109422493,846.3427752279623,4.495529960486321,7882.0967924924,29.003257459515417
28687875,4568.709677419355,2342.4193548387098,3981.0967741935483,123.2258064516129,49.516129032258064,412.38709677419354,125.70967741935483,33.12903225806452,3.096774193548387,20.483870967741936,12.258064516129032,23.193548387096776,23.580645161290324,35.45161290322581,198.31437096774192,1.740875806451613,719.3621348387097,0.9276138756210686
28884786,122.37689969604864,51.26747720364742,78.14893617021276,9.902735562310031,20.051671732522795,17.480243161094226,6.696048632218845,15.316109422492401,2.164133738601824,17.188449848024316,12.565349544072948,23.908814589665653,19.35258358662614,36.474164133738604,237.5386555015196,1.4779877629179332,1700.7207307598783,40.01285994913336
