,project_id,order,cross-entropy
0,31069027,1,6.264819
1,28420571,1,6.899652000000001
2,51732151,1,6.4482680000000006
3,31125446,1,6.422518999999999
4,26427893,1,7.056710000000001
5,28884786,1,5.519447999999999
6,29817913,1,5.930167
7,47838894,1,7.002514
8,27940657,1,6.730938
9,32552050,1,5.648337000000001
10,30169075,1,6.3796479999999995
11,27472783,1,6.656464
12,52512066,1,6.637341999999999
13,31400029,1,6.086424000000001
14,27489574,1,6.22136
15,31657027,1,6.8047260000000005
16,29026813,1,6.576261
17,31030536,1,6.523976
18,41339733,1,7.326791
19,28261590,1,6.801182
20,47754491,1,6.662357
21,29126205,1,6.883609
22,34600889,1,6.211958
23,27496810,1,6.418803
24,28687875,1,6.46824
25,56604179,1,7.026225999999999
26,40955019,1,6.935270000000001
27,35149818,1,6.591002999999999
28,34561609,1,6.896634999999999
29,41010830,1,5.503482
30,31069027,2,4.717429999999999
31,28420571,2,5.408745
32,51732151,2,5.135514
33,31125446,2,4.420069
34,26427893,2,5.6484239999999994
35,28884786,2,4.028185
36,29817913,2,3.887563
37,47838894,2,5.82854
38,27940657,2,5.177415
39,32552050,2,3.345881
40,30169075,2,5.113417
41,27472783,2,5.3922669999999995
42,52512066,2,5.072515000000001
43,31400029,2,4.2385980000000005
44,27489574,2,4.560975000000001
45,31657027,2,5.445538000000001
46,29026813,2,5.2820089999999995
47,31030536,2,4.823345
48,41339733,2,6.419624000000001
49,28261590,2,4.803386000000001
50,47754491,2,5.261618
51,29126205,2,5.4388119999999995
52,34600889,2,4.329616
53,27496810,2,5.160068000000001
54,28687875,2,4.629359
55,56604179,2,5.773958
56,40955019,2,4.7028739999999996
57,35149818,2,4.918195000000001
58,34561609,2,5.037374000000001
59,41010830,2,3.943034
60,31069027,3,3.9382860000000006
61,28420571,3,4.498802
62,51732151,3,4.919979
63,31125446,3,3.48968
64,26427893,3,4.925455
65,28884786,3,3.336399
66,29817913,3,2.936001
67,47838894,3,5.321885999999999
68,27940657,3,4.50167
69,32552050,3,2.3036680000000005
70,30169075,3,4.846995
71,27472783,3,5.019287
72,52512066,3,3.713953
73,31400029,3,3.3291969999999997
74,27489574,3,3.849534
75,31657027,3,4.604525000000001
76,29026813,3,4.526702
77,31030536,3,4.056521000000001
78,41339733,3,5.223677
79,28261590,3,3.780379000000001
80,47754491,3,4.204523
81,29126205,3,4.274679
82,34600889,3,4.7625280000000005
83,27496810,3,4.436538
84,28687875,3,3.16548
85,56604179,3,5.334826
86,40955019,3,2.755903
87,35149818,3,4.235463
88,34561609,3,3.6826780000000006
89,41010830,3,3.025811
90,31069027,4,3.719404
91,28420571,4,4.334735
92,51732151,4,4.745361
93,31125446,4,3.18458
94,26427893,4,4.95834
95,28884786,4,3.3358280000000007
96,29817913,4,2.615232
97,47838894,4,5.262149
98,27940657,4,4.498062
99,32552050,4,1.948009
100,30169075,4,4.754267999999999
101,27472783,4,4.9448099999999995
102,52512066,4,3.0858669
103,31400029,4,2.7209580000000004
104,27489574,4,3.587006
105,31657027,4,4.459366
106,29026813,4,4.686501
107,31030536,4,3.9865690000000003
108,41339733,4,4.950395
109,28261590,4,3.655962
110,47754491,4,4.167436
111,29126205,4,4.123007
112,34600889,4,2.979449
113,27496810,4,4.565211
114,28687875,4,2.984931
115,56604179,4,5.310795
116,40955019,4,2.325698
117,35149818,4,4.023818
118,34561609,4,3.9671239999999997
119,41010830,4,2.916455
120,31069027,5,3.708097
121,28420571,5,4.244564
122,51732151,5,4.759584
123,31125446,5,3.2140250000000004
124,26427893,5,4.808631
125,28884786,5,2.863585
126,29817913,5,2.561388
127,47838894,5,5.222054000000001
128,27940657,5,4.468669
129,32552050,5,1.9661556999999994
130,30169075,5,4.734439999999999
131,27472783,5,4.907931
132,52512066,5,3.3808300000000004
133,31400029,5,2.799016
134,27489574,5,3.731225
135,31657027,5,4.432352
136,29026813,5,4.527514999999999
137,31030536,5,3.9645160000000006
138,41339733,5,4.912425
139,28261590,5,3.6469500000000004
140,47754491,5,4.993115
141,29126205,5,4.078489
142,34600889,5,2.9647520000000003
143,27496810,5,4.7172979999999995
144,28687875,5,2.8248359
145,56604179,5,5.319967999999999
146,40955019,5,2.0350290000000006
147,35149818,5,3.888806
148,34561609,5,3.12465
149,41010830,5,3.8669339999999996
150,31069027,6,3.80571
151,28420571,6,4.257353
152,51732151,6,4.922428999999999
153,31125446,6,3.040091
154,26427893,6,4.841106000000001
155,28884786,6,3.1336090000000003
156,29817913,6,2.6420950000000003
157,47838894,6,5.038852
158,27940657,6,4.386915
159,32552050,6,1.8490199999999999
160,30169075,6,4.832863
161,27472783,6,5.009357
162,52512066,6,3.4210000000000007
163,31400029,6,2.984301
164,27489574,6,3.670039
165,31657027,6,4.069164
166,29026813,6,4.493208
167,31030536,6,3.9441539999999997
168,41339733,6,4.965999
169,28261590,6,3.65411
170,47754491,6,4.427411
171,29126205,6,3.9248719999999997
172,34600889,6,2.951006
173,27496810,6,4.684706
174,28687875,6,2.6950879999999997
175,56604179,6,5.205865999999999
176,40955019,6,2.0059519999999997
177,35149818,6,3.9911139999999996
178,34561609,6,3.6290499999999994
179,41010830,6,2.851782
180,31069027,7,3.7493159999999994
181,28420571,7,4.269259
182,51732151,7,4.767855
183,31125446,7,2.958934
184,26427893,7,4.753987
185,28884786,7,3.0275380000000003
186,29817913,7,2.6078060000000005
187,47838894,7,4.987216999999999
188,27940657,7,4.384931
189,32552050,7,1.8186455
190,30169075,7,4.645042
191,27472783,7,4.979425
192,52512066,7,3.9011164000000007
193,31400029,7,2.917154
194,27489574,7,3.585636
195,31657027,7,4.227278
196,29026813,7,4.564368
197,31030536,7,3.8893100000000005
198,41339733,7,4.9563049999999995
199,28261590,7,3.501727
200,47754491,7,4.59884
201,29126205,7,4.047103
202,34600889,7,2.8597240000000004
203,27496810,7,4.552232
204,28687875,7,2.799575
205,56604179,7,5.3295069999999996
206,40955019,7,1.890219
207,35149818,7,3.933507
208,34561609,7,3.3317375
209,41010830,7,3.807156
210,31069027,8,3.7271789999999996
211,28420571,8,4.262218
212,51732151,8,4.871409
213,31125446,8,3.046633
214,26427893,8,4.595673
215,28884786,8,3.110499
216,29817913,8,2.670996
217,47838894,8,4.950066
218,27940657,8,4.418040999999999
219,32552050,8,1.7763261999999997
220,30169075,8,5.543557
221,27472783,8,4.902702
222,52512066,8,2.9970254
223,31400029,8,2.763373
224,27489574,8,3.736685
225,31657027,8,4.348028
226,29026813,8,4.426457
227,31030536,8,3.945713
228,41339733,8,4.829434999999999
229,28261590,8,3.5848950000000004
230,47754491,8,4.865639
231,29126205,8,3.8633970000000004
232,34600889,8,3.027572
233,27496810,8,4.424029
234,28687875,8,2.723678
235,56604179,8,5.267133
236,40955019,8,1.8422370000000001
237,35149818,8,3.9733199999999997
238,34561609,8,3.0758940000000004
239,41010830,8,2.8060549999999997
240,31069027,9,3.832218
241,28420571,9,4.263659
242,51732151,9,4.683118
243,31125446,9,3.290768
244,26427893,9,4.753131000000001
245,28884786,9,3.0947240000000003
246,29817913,9,2.8045240000000002
247,47838894,9,5.114568
248,27940657,9,4.460184
249,32552050,9,1.9204805
250,30169075,9,7.429253
251,27472783,9,5.060391
252,52512066,9,3.3495113999999995
253,31400029,9,2.5149018999999995
254,27489574,9,3.791391
255,31657027,9,4.525791
256,29026813,9,4.3679429999999995
