project_id,cross-entropy_mean
11161411,4.649215466666666
26427893,4.9535988
27472783,5.120644466666666
27489574,3.9337926666666676
27496810,4.8027554
27940657,4.652295733333332
28261590,3.9217760000000004
28420571,4.539704933333334
28687875,3.1758345666666665
28884786,3.2988986599999994
29026813,4.614163333333334
29126205,4.408126266666667
29379373,3.1569712
29817913,3.3714758666666658
30169075,6.485524799999999
31015510,2.6154954
31030536,4.1416336
31069027,3.9959023333333334
31125446,3.3857412666666664
31400029,3.130800673333333
31657027,4.707314066666666
32552050,2.285517553333334
34561609,3.588059513333334
34600889,3.25606072
35149818,4.162421333333333
36761320,4.005252866666666
40955019,2.5316986400000006
41010830,3.7694889333333332
41339733,5.268785533333332
47754491,4.821917200000001
47838894,5.371555
51732151,4.925895933333334
52512066,3.707187053333334
56604179,5.444093199999999
