project_id,order,cross-entropy,Maintainability Index,numOfPriorDefects,churn
27496810,1,6,86,189,23231
27496810,2,4,86,189,23231
27496810,3,4,86,189,23231
27496810,4,4,86,189,23231
27496810,5,4,86,189,23231
27496810,6,4,86,189,23231
27496810,7,4,86,189,23231
27496810,8,4,86,189,23231
27496810,9,4,86,189,23231
27496810,10,4,86,189,23231
27496810,11,4,86,189,23231
27496810,12,5,86,189,23231
27496810,13,5,86,189,23231
27496810,14,5,86,189,23231
27496810,15,4,86,189,23231
34561609,1,6,70,0,33156
34561609,2,5,70,0,33156
34561609,3,3,70,0,33156
34561609,4,3,70,0,33156
34561609,5,3,70,0,33156
34561609,6,3,70,0,33156
34561609,7,3,70,0,33156
34561609,8,3,70,0,33156
34561609,9,3,70,0,33156
34561609,10,2,70,0,33156
34561609,11,3,70,0,33156
34561609,12,3,70,0,33156
34561609,13,3,70,0,33156
34561609,14,2,70,0,33156
34561609,15,2,70,0,33156
52512066,1,6,71,0,35333
52512066,2,5,71,0,35333
52512066,3,3,71,0,35333
52512066,4,3,71,0,35333
52512066,5,3,71,0,35333
52512066,6,3,71,0,35333
52512066,7,3,71,0,35333
52512066,8,3,71,0,35333
52512066,9,3,71,0,35333
52512066,10,2,71,0,35333
52512066,11,3,71,0,35333
52512066,12,3,71,0,35333
52512066,13,3,71,0,35333
52512066,14,3,71,0,35333
52512066,15,3,71,0,35333
41339733,1,7,62,0,22888
41339733,2,6,62,0,22888
41339733,3,5,62,0,22888
41339733,4,5,62,0,22888
41339733,5,4,62,0,22888
41339733,6,5,62,0,22888
41339733,7,4,62,0,22888
41339733,8,4,62,0,22888
41339733,9,5,62,0,22888
41339733,10,5,62,0,22888
41339733,11,4,62,0,22888
41339733,12,5,62,0,22888
41339733,13,5,62,0,22888
41339733,14,4,62,0,22888
41339733,15,4,62,0,22888
32552050,1,5,95,0,15396
32552050,2,3,95,0,15396
32552050,3,2,95,0,15396
32552050,4,2,95,0,15396
32552050,5,1,95,0,15396
32552050,6,1,95,0,15396
32552050,7,1,95,0,15396
32552050,8,1,95,0,15396
32552050,9,1,95,0,15396
32552050,10,2,95,0,15396
32552050,11,1,95,0,15396
32552050,12,1,95,0,15396
32552050,13,2,95,0,15396
32552050,14,2,95,0,15396
32552050,15,1,95,0,15396
31069027,1,6,90,0,28493
31069027,2,4,90,0,28493
31069027,3,3,90,0,28493
31069027,4,3,90,0,28493
31069027,5,3,90,0,28493
31069027,6,3,90,0,28493
31069027,7,3,90,0,28493
31069027,8,3,90,0,28493
31069027,9,3,90,0,28493
31069027,10,3,90,0,28493
31069027,11,3,90,0,28493
31069027,12,3,90,0,28493
31069027,13,3,90,0,28493
31069027,14,3,90,0,28493
31069027,15,3,90,0,28493
31015510,1,5,70,0,79924
31015510,2,3,70,0,79924
31015510,3,2,70,0,79924
31015510,4,2,70,0,79924
31015510,5,2,70,0,79924
31015510,6,2,70,0,79924
31015510,7,2,70,0,79924
31015510,8,2,70,0,79924
31015510,9,2,70,0,79924
31015510,10,2,70,0,79924
31015510,11,2,70,0,79924
31015510,12,2,70,0,79924
31015510,13,2,70,0,79924
31015510,14,2,70,0,79924
31015510,15,2,70,0,79924
29379373,1,6,69,101,39540
29379373,2,4,69,101,39540
29379373,3,3,69,101,39540
29379373,4,3,69,101,39540
29379373,5,2,69,101,39540
29379373,6,2,69,101,39540
29379373,7,2,69,101,39540
29379373,8,2,69,101,39540
29379373,9,2,69,101,39540
29379373,10,2,69,101,39540
29379373,11,2,69,101,39540
29379373,12,2,69,101,39540
29379373,13,2,69,101,39540
29379373,14,2,69,101,39540
29379373,15,2,69,101,39540
29126205,1,6,68,0,21993
29126205,2,5,68,0,21993
29126205,3,4,68,0,21993
29126205,4,4,68,0,21993
29126205,5,4,68,0,21993
29126205,6,3,68,0,21993
29126205,7,4,68,0,21993
29126205,8,4,68,0,21993
29126205,9,4,68,0,21993
29126205,10,4,68,0,21993
29126205,11,4,68,0,21993
29126205,12,4,68,0,21993
29126205,13,4,68,0,21993
29126205,14,4,68,0,21993
29126205,15,3,68,0,21993
47754491,1,6,84,0,6432
47754491,2,5,84,0,6432
47754491,3,4,84,0,6432
47754491,4,5,84,0,6432
47754491,5,5,84,0,6432
47754491,6,5,84,0,6432
47754491,7,5,84,0,6432
47754491,8,4,84,0,6432
47754491,9,4,84,0,6432
47754491,10,4,84,0,6432
47754491,11,4,84,0,6432
47754491,12,4,84,0,6432
47754491,13,3,84,0,6432
47754491,14,4,84,0,6432
47754491,15,4,84,0,6432
27472783,1,6,71,0,23093
27472783,2,5,71,0,23093
27472783,3,5,71,0,23093
27472783,4,5,71,0,23093
27472783,5,4,71,0,23093
27472783,6,4,71,0,23093
27472783,7,4,71,0,23093
27472783,8,4,71,0,23093
27472783,9,5,71,0,23093
27472783,10,4,71,0,23093
27472783,11,4,71,0,23093
27472783,12,5,71,0,23093
27472783,13,4,71,0,23093
27472783,14,4,71,0,23093
27472783,15,4,71,0,23093
31030536,1,6,70,31,38003
31030536,2,4,70,31,38003
31030536,3,4,70,31,38003
31030536,4,4,70,31,38003
31030536,5,3,70,31,38003
31030536,6,3,70,31,38003
31030536,7,3,70,31,38003
31030536,8,3,70,31,38003
31030536,9,3,70,31,38003
31030536,10,3,70,31,38003
31030536,11,3,70,31,38003
31030536,12,3,70,31,38003
31030536,13,3,70,31,38003
31030536,14,3,70,31,38003
31030536,15,3,70,31,38003
28884786,1,5,84,140,1342288
28884786,2,3,84,140,1342288
28884786,3,3,84,140,1342288
28884786,4,3,84,140,1342288
28884786,5,2,84,140,1342288
28884786,6,2,84,140,1342288
28884786,7,2,84,140,1342288
28884786,8,3,84,140,1342288
28884786,9,3,84,140,1342288
28884786,10,3,84,140,1342288
28884786,11,2,84,140,1342288
28884786,12,3,84,140,1342288
28884786,13,2,84,140,1342288
28884786,14,3,84,140,1342288
28884786,15,2,84,140,1342288
31400029,1,6,95,0,40747
31400029,2,4,95,0,40747
31400029,3,3,95,0,40747
31400029,4,2,95,0,40747
31400029,5,2,95,0,40747
31400029,6,2,95,0,40747
31400029,7,2,95,0,40747
31400029,8,2,95,0,40747
31400029,9,2,95,0,40747
31400029,10,2,95,0,40747
31400029,11,2,95,0,40747
31400029,12,2,95,0,40747
31400029,13,2,95,0,40747
31400029,14,2,95,0,40747
31400029,15,2,95,0,40747
29817913,1,5,78,0,36375
29817913,2,3,78,0,36375
29817913,3,2,78,0,36375
29817913,4,2,78,0,36375
29817913,5,2,78,0,36375
29817913,6,2,78,0,36375
29817913,7,2,78,0,36375
29817913,8,2,78,0,36375
29817913,9,2,78,0,36375
29817913,10,2,78,0,36375
29817913,11,2,78,0,36375
29817913,12,2,78,0,36375
29817913,13,4,78,0,36375
29817913,14,4,78,0,36375
29817913,15,4,78,0,36375
31657027,1,6,60,24,34109
31657027,2,5,60,24,34109
31657027,3,4,60,24,34109
31657027,4,4,60,24,34109
31657027,5,4,60,24,34109
31657027,6,4,60,24,34109
31657027,7,4,60,24,34109
31657027,8,4,60,24,34109
31657027,9,4,60,24,34109
31657027,10,4,60,24,34109
31657027,11,4,60,24,34109
31657027,12,4,60,24,34109
31657027,13,4,60,24,34109
31657027,14,4,60,24,34109
31657027,15,4,60,24,34109
26427893,1,7,56,0,197541
26427893,2,5,56,0,197541
26427893,3,5,56,0,197541
26427893,4,4,56,0,197541
26427893,5,4,56,0,197541
26427893,6,4,56,0,197541
26427893,7,4,56,0,197541
26427893,8,4,56,0,197541
26427893,9,4,56,0,197541
26427893,10,4,56,0,197541
26427893,11,4,56,0,197541
26427893,12,4,56,0,197541
26427893,13,4,56,0,197541
26427893,14,4,56,0,197541
26427893,15,4,56,0,197541
28687875,1,6,69,0,245917
28687875,2,4,69,0,245917
28687875,3,3,69,0,245917
28687875,4,3,69,0,245917
28687875,5,2,69,0,245917
28687875,6,2,69,0,245917
28687875,7,2,69,0,245917
28687875,8,2,69,0,245917
28687875,9,2,69,0,245917
28687875,10,2,69,0,245917
28687875,11,2,69,0,245917
28687875,12,2,69,0,245917
28687875,13,2,69,0,245917
28687875,14,2,69,0,245917
28687875,15,2,69,0,245917
36761320,1,6,64,1,19678
36761320,2,4,64,1,19678
36761320,3,3,64,1,19678
36761320,4,3,64,1,19678
36761320,5,3,64,1,19678
36761320,6,3,64,1,19678
36761320,7,3,64,1,19678
36761320,8,3,64,1,19678
36761320,9,3,64,1,19678
36761320,10,3,64,1,19678
36761320,11,3,64,1,19678
36761320,12,3,64,1,19678
36761320,13,3,64,1,19678
36761320,14,3,64,1,19678
36761320,15,3,64,1,19678
31125446,1,6,58,0,13511
31125446,2,4,58,0,13511
31125446,3,3,58,0,13511
31125446,4,3,58,0,13511
31125446,5,3,58,0,13511
31125446,6,2,58,0,13511
31125446,7,2,58,0,13511
31125446,8,3,58,0,13511
31125446,9,2,58,0,13511
31125446,10,3,58,0,13511
31125446,11,3,58,0,13511
31125446,12,2,58,0,13511
31125446,13,2,58,0,13511
31125446,14,3,58,0,13511
31125446,15,2,58,0,13511
51732151,1,6,75,0,41956
51732151,2,5,75,0,41956
51732151,3,4,75,0,41956
51732151,4,4,75,0,41956
51732151,5,4,75,0,41956
51732151,6,4,75,0,41956
51732151,7,4,75,0,41956
51732151,8,4,75,0,41956
51732151,9,4,75,0,41956
51732151,10,4,75,0,41956
51732151,11,4,75,0,41956
51732151,12,4,75,0,41956
51732151,13,4,75,0,41956
51732151,14,4,75,0,41956
51732151,15,4,75,0,41956
47838894,1,7,56,65,70012
47838894,2,5,56,65,70012
47838894,3,5,56,65,70012
47838894,4,5,56,65,70012
47838894,5,5,56,65,70012
47838894,6,5,56,65,70012
47838894,7,5,56,65,70012
47838894,8,5,56,65,70012
47838894,9,5,56,65,70012
47838894,10,5,56,65,70012
47838894,11,5,56,65,70012
47838894,12,5,56,65,70012
47838894,13,5,56,65,70012
47838894,14,5,56,65,70012
47838894,15,5,56,65,70012
11161411,1,6,55,0,372445
11161411,2,4,55,0,372445
11161411,3,4,55,0,372445
11161411,4,4,55,0,372445
11161411,5,4,55,0,372445
11161411,6,4,55,0,372445
11161411,7,4,55,0,372445
11161411,8,4,55,0,372445
11161411,9,4,55,0,372445
11161411,10,4,55,0,372445
11161411,11,4,55,0,372445
11161411,12,4,55,0,372445
11161411,13,4,55,0,372445
11161411,14,4,55,0,372445
11161411,15,4,55,0,372445
27489574,1,6,66,125,46618
27489574,2,4,66,125,46618
27489574,3,3,66,125,46618
27489574,4,3,66,125,46618
27489574,5,3,66,125,46618
27489574,6,3,66,125,46618
27489574,7,3,66,125,46618
27489574,8,3,66,125,46618
27489574,9,3,66,125,46618
27489574,10,3,66,125,46618
27489574,11,3,66,125,46618
27489574,12,3,66,125,46618
27489574,13,3,66,125,46618
27489574,14,3,66,125,46618
27489574,15,3,66,125,46618
41010830,1,5,80,15,17611
41010830,2,3,80,15,17611
41010830,3,2,80,15,17611
41010830,4,2,80,15,17611
41010830,5,2,80,15,17611
41010830,6,2,80,15,17611
41010830,7,3,80,15,17611
41010830,8,4,80,15,17611
41010830,9,3,80,15,17611
41010830,10,2,80,15,17611
41010830,11,3,80,15,17611
41010830,12,3,80,15,17611
41010830,13,4,80,15,17611
41010830,14,4,80,15,17611
41010830,15,5,80,15,17611
28420571,1,6,65,294,498244
28420571,2,5,65,294,498244
28420571,3,4,65,294,498244
28420571,4,4,65,294,498244
28420571,5,4,65,294,498244
28420571,6,4,65,294,498244
28420571,7,4,65,294,498244
28420571,8,4,65,294,498244
28420571,9,4,65,294,498244
28420571,10,4,65,294,498244
28420571,11,4,65,294,498244
28420571,12,4,65,294,498244
28420571,13,4,65,294,498244
28420571,14,4,65,294,498244
28420571,15,4,65,294,498244
29026813,1,6,51,0,33950
29026813,2,5,51,0,33950
29026813,3,4,51,0,33950
29026813,4,4,51,0,33950
29026813,5,4,51,0,33950
29026813,6,4,51,0,33950
29026813,7,4,51,0,33950
29026813,8,4,51,0,33950
29026813,9,4,51,0,33950
29026813,10,4,51,0,33950
29026813,11,4,51,0,33950
29026813,12,4,51,0,33950
29026813,13,4,51,0,33950
29026813,14,4,51,0,33950
29026813,15,4,51,0,33950
30169075,1,6,79,52,13581
30169075,2,5,79,52,13581
30169075,3,4,79,52,13581
30169075,4,5,79,52,13581
30169075,5,4,79,52,13581
30169075,6,4,79,52,13581
30169075,7,4,79,52,13581
30169075,8,4,79,52,13581
30169075,9,5,79,52,13581
30169075,10,6,79,52,13581
30169075,11,6,79,52,13581
30169075,12,9,79,52,13581
30169075,13,10,79,52,13581
30169075,14,7,79,52,13581
30169075,15,11,79,52,13581
35149818,1,6,74,0,22732
35149818,2,4,74,0,22732
35149818,3,4,74,0,22732
35149818,4,4,74,0,22732
35149818,5,3,74,0,22732
35149818,6,3,74,0,22732
35149818,7,4,74,0,22732
35149818,8,3,74,0,22732
