project_id,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs,cc_rank,cc_score,loc,lloc,single_comments,sloc,multi,comments,blank,mi,path
14819160,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,29,3,20,2,5,20,2,,/home/senior/senior/Sample_Projects/round_2/14819160/Gramps.py
14819160,11,113,66,124,124,190,808.7339705579266,1321.2972989735065,6.035398230088496,7974.5553796454105,443.03085442474503,0.44043243299116885,A,4.0,555,271,56,427,26,55,46,20.204181082432086,/home/senior/senior/Sample_Projects/round_2/14819160/setup.py
14819160,1,6,3,6,7,9,15.509775004326936,25.26619429851844,0.5,12.63309714925922,0.701838730514401,0.008422064766172813,,,45,34,1,34,0,1,10,,/home/senior/senior/Sample_Projects/round_2/14819160/mac/gramps_launcher.py
14819160,10,190,109,211,200,320,1471.4918465317537,2446.033980727912,5.552631578947368,13581.925524568142,754.5514180315635,0.8153446602426373,B,6.66666666667,791,428,51,413,207,53,120,18.288860672814423,/home/senior/senior/Sample_Projects/round_2/14819160/po/update_po.py
14819160,9,50,37,73,59,110,310.722134501717,647.0907354298025,6.57,4251.386131773803,236.18811843187794,0.21569691180993417,A,3.25,186,130,25,132,11,24,18,33.546131244987684,/home/senior/senior/Sample_Projects/round_2/14819160/po/test/po_test.py
14819160,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,28,2,20,1,4,20,3,,/home/senior/senior/Sample_Projects/round_2/14819160/gramps/__init__.py
14819160,2,4,2,4,6,6,10.0,15.509775004326936,1.0,15.509775004326936,0.861654166907052,0.005169925001442312,,,24,4,19,4,0,19,1,,/home/senior/senior/Sample_Projects/round_2/14819160/gramps/version.py
14819160,9,121,68,131,130,199,865.7117767232069,1397.4511947926624,4.871900826446281,6808.243630828715,378.235757268262,0.4658170649308875,C,12.8,509,333,100,347,3,106,59,20.810580488888384,/home/senior/senior/Sample_Projects/round_2/14819160/gramps/grampsapp.py
14819160,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0,0,0,0,,/home/senior/senior/Sample_Projects/round_2/14819160/gramps/plugins/__init__.py
14819160,16,282,199,382,298,581,2359.35348137646,4775.336910388516,10.836879432624114,51749.75034804009,2874.9861304466717,1.5917789701295053,A,4.29761904762,1850,1040,304,1092,125,300,329,7.376535495200228,/home/senior/senior/Sample_Projects/round_2/14819160/gramps/plugins/drawreport/descendtree.py
14819160,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0,0,0,0,,/home/senior/senior/Sample_Projects/round_2/14819160/gramps/plugins/drawreport/__init__.py
14819160,16,305,231,460,321,691,2581.062956897326,5753.562775601511,12.065573770491802,69420.0361121756,3856.668672898644,1.917854258533837,B,6.2380952381,794,476,96,540,67,96,91,13.211435311301145,/home/senior/senior/Sample_Projects/round_2/14819160/gramps/plugins/drawreport/fanchart.py
