project_id,hv,cc,sloc,percent,path
4449031,218.60914478074076,21,137,0.6879197080291971,/home/senior/senior/Sample_Projects/round_2/4449031/eppy/tests/test_idf_helpers.py
4449031,25.26619429851844,6,119,1.267159663865546,/home/senior/senior/Sample_Projects/round_2/4449031/eppy/tests/test_json_functions.py
4449031,992.2064766172814,115,382,0.23026701570680624,/home/senior/senior/Sample_Projects/round_2/4449031/eppy/tests/test_runner.py
4449031,1131.644256822019,90,918,0.5133169934640522,/home/senior/senior/Sample_Projects/round_2/4449031/eppy/tests/test_bunch_subclass.py
4449031,4.754887502163469,3,16,3.5341875,/home/senior/senior/Sample_Projects/round_2/4449031/eppy/tests/geometry_tests/test_area_zone.py
4449031,0.0,5,14,2.2439285714285715,/home/senior/senior/Sample_Projects/round_2/4449031/docs/cleandocs.py
4449031,13.931568569324174,8,29,2.8165172413793105,/home/senior/senior/Sample_Projects/round_2/4449031/eppy/useful_scripts/change_edges.py
4449031,187.48684196024655,29,151,1.081841059602649,/home/senior/senior/Sample_Projects/round_2/4449031/eppy/useful_scripts/idfdiff_missing.py
4449031,3.0,14,39,0.0,/home/senior/senior/Sample_Projects/round_2/4449031/eppy/idf_msequence.py
4449031,343.9441919741497,43,316,2.1473544303797465,/home/senior/senior/Sample_Projects/round_2/4449031/eppy/simplesurface.py
4449031,0.0,1,124,0.05066935483870967,/home/senior/senior/Sample_Projects/round_2/4449031/eppy/snippet.py
4449031,171.74117084629816,30,148,0.6792432432432431,/home/senior/senior/Sample_Projects/round_2/4449031/eppy/loops.py
4449031,1337.3062940498764,91,358,1.3338212290502793,/home/senior/senior/Sample_Projects/round_2/4449031/eppy/bunch_subclass.py
4449031,285.41171981856144,6,65,2.0298923076923074,/home/senior/senior/Sample_Projects/round_2/4449031/eppy/fanpower.py
4449031,165.05865002596164,19,84,1.6455476190476193,/home/senior/senior/Sample_Projects/round_2/4449031/eppy/easyopen.py
4449031,1879.0016007384638,162,491,0.3710936863543788,/home/senior/senior/Sample_Projects/round_2/4449031/eppy/modeleditor.py
4449031,0.0,1,20,1.8849,/home/senior/senior/Sample_Projects/round_2/4449031/eppy/ex_inits.py
4449031,38.03910001730775,3,22,0.5711818181818182,/home/senior/senior/Sample_Projects/round_2/4449031/eppy/pytest_helpers.py
4449031,164.99896988958,21,70,1.1668428571428573,/home/senior/senior/Sample_Projects/round_2/4449031/eppy/simpleread.py
4449031,82.0447025077789,8,27,3.9559629629629627,/home/senior/senior/Sample_Projects/round_2/4449031/eppy/json_functions.py
4449031,0.0,1,5,7.5396,/home/senior/senior/Sample_Projects/round_2/4449031/eppy/iddcurrent.py
4449031,4153.7218515164905,174,857,1.950149358226371,/home/senior/senior/Sample_Projects/round_2/4449031/eppy/hvacbuilder.py
4449031,351.5549000980772,36,104,1.2082692307692309,/home/senior/senior/Sample_Projects/round_2/4449031/eppy/walk_hvac.py
4449031,329.5111857797805,37,98,2.179816326530612,/home/senior/senior/Sample_Projects/round_2/4449031/eppy/iddgaps.py
4449031,322.1064654996005,49,249,2.0186345381526105,/home/senior/senior/Sample_Projects/round_2/4449031/eppy/idfreader.py
4449031,2.0,3,23,1.9122173913043479,/home/senior/senior/Sample_Projects/round_2/4449031/eppy/idd_helpers.py
4449031,51.80615605397529,12,34,0.1847941176470588,/home/senior/senior/Sample_Projects/round_2/4449031/cleanup.py
4449031,0.0,4,74,0.16981081081081079,/home/senior/senior/Sample_Projects/round_2/4449031/setup.py
