project_id,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs,cc_rank,cc_score,loc,lloc,single_comments,sloc,multi,comments,blank,mi,path
18826708,6,24,16,31,30,47,125.5488750216347,230.62385799360038,3.875,893.6674497252014,49.64819165140008,0.07687461933120013,A,2.85714285714,321,73,17,176,48,16,80,34.02025424176162,/home/senior/senior/Sample_Projects/round_2/18826708/wrapper_util.py
18826708,9,49,36,66,58,102,303.650107374626,597.5140615030124,6.061224489795919,3621.666862579483,201.20371458774906,0.19917135383433746,F,45.0,175,149,4,146,8,4,17,27.22447485019941,/home/senior/senior/Sample_Projects/round_2/18826708/helper.py
18826708,6,14,8,15,20,23,68.81274391313339,99.40434618240934,3.2142857142857144,319.51396987203003,17.75077610400167,0.033134782060803114,A,3.0,170,61,19,88,15,16,48,43.05627031367879,/home/senior/senior/Sample_Projects/round_2/18826708/appcfg.py
18826708,9,48,35,65,57,100,296.6075250475963,583.2890014164742,6.09375,3554.41735238164,197.46763068786888,0.19442966713882473,F,44.0,167,141,4,138,8,4,17,27.962259946667277,/home/senior/senior/Sample_Projects/round_2/18826708/KindleEar/helper.py
18826708,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,82,34,26,33,3,33,20,,/home/senior/senior/Sample_Projects/round_2/18826708/KindleEar/config.py
18826708,1,2,1,2,3,3,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565,A,2.0,42,28,4,29,0,4,9,62.187336285114775,/home/senior/senior/Sample_Projects/round_2/18826708/KindleEar/books/Lifeweek.py
18826708,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,A,1.0,17,13,0,15,0,0,2,73.59886707585706,/home/senior/senior/Sample_Projects/round_2/18826708/KindleEar/books/ZhihuDailyRss.py
18826708,5,10,6,11,15,17,44.82892142331043,66.41714012534482,2.75,182.64713534469826,10.147063074705459,0.02213904670844827,A,2.0,30,21,3,21,0,3,6,57.64236020291119,/home/senior/senior/Sample_Projects/round_2/18826708/KindleEar/books/__init__.py
18826708,8,30,17,34,38,51,171.20671786825557,267.64430318562285,4.533333333333333,1213.3208411081569,67.40671339489761,0.08921476772854095,C,13.3333333333,104,86,7,84,0,8,13,39.10921887591917,/home/senior/senior/Sample_Projects/round_2/18826708/KindleEar/books/weixinbase.py
18826708,1,2,1,2,3,3,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565,A,4.0,49,43,1,45,0,1,3,57.86886082301161,/home/senior/senior/Sample_Projects/round_2/18826708/KindleEar/books/nfzm.py
18826708,1,2,1,2,3,3,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565,A,1.33333333333,24,16,1,18,0,1,5,66.6041897668485,/home/senior/senior/Sample_Projects/round_2/18826708/KindleEar/books/FTChinese.py
18826708,7,18,10,19,25,29,94.71013448036484,134.671829503467,3.6944444444444446,497.5375923322531,27.64097735179184,0.044890609834489,A,3.4,90,62,9,65,0,7,16,44.91950329363021,/home/senior/senior/Sample_Projects/round_2/18826708/KindleEar/books/ZhihuDaily.py
18826708,9,23,14,25,32,39,132.57125000229212,195.0,4.891304347826087,953.804347826087,52.98913043478261,0.065,B,6.5,83,65,9,62,0,9,12,43.82457380377689,/home/senior/senior/Sample_Projects/round_2/18826708/KindleEar/books/TEDxBohaiBay.py
18826708,6,16,10,19,22,29,79.50977500432694,129.32351694048162,3.5625,460.7150291004658,25.595279394470325,0.04310783898016054,A,4.6,74,64,1,63,0,0,10,45.17192415494325,/home/senior/senior/Sample_Projects/round_2/18826708/KindleEar/books/wsj.py
18826708,4,8,4,8,12,12,32.0,43.01955000865388,2.0,86.03910001730776,4.779950000961542,0.014339850002884626,B,7.33333333333,58,47,1,48,0,1,9,50.63494062288641,/home/senior/senior/Sample_Projects/round_2/18826708/KindleEar/books/Xueqiu.py
