project_id,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs,cc_rank,cc_score,loc,lloc,single_comments,sloc,multi,comments,blank,mi,path
17760550,6,29,15,30,35,45,156.39122386302654,230.81773576252348,3.103448275862069,716.3309040905901,39.79616133836612,0.07693924525417449,A,4.0,74,44,23,40,5,22,6,47.71999124280654,/home/senior/senior/Sample_Projects/round_2/17760550/addons_xml_generator.py
17760550,1,2,1,2,3,3,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565,,,13,6,4,6,0,4,3,,/home/senior/senior/Sample_Projects/round_2/17760550/plugin.video.torrent.gnu/default.py
17760550,8,63,36,70,71,106,400.56863518049477,651.8731946674964,4.444444444444445,2897.214198522206,160.9563443623448,0.21729106488916544,A,2.93333333333,300,261,11,267,0,11,22,26.928744477780608,/home/senior/senior/Sample_Projects/round_2/17760550/plugin.video.torrent.gnu/resources/lib/torr2xbmc.py
17760550,6,44,24,46,50,70,255.724766224368,395.06993328423073,3.1363636363636362,1239.082972573269,68.83794292073716,0.13168997776141025,A,1.91666666667,195,113,18,160,0,26,17,33.41294960270068,/home/senior/senior/Sample_Projects/round_2/17760550/plugin.audio.tracksflow/addon.py
17760550,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0,0,0,0,,/home/senior/senior/Sample_Projects/round_2/17760550/plugin.audio.tracksflow/resources/__init__.py
17760550,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0,0,0,0,,/home/senior/senior/Sample_Projects/round_2/17760550/plugin.audio.tracksflow/resources/lib/__init__.py
17760550,5,19,10,20,24,30,92.32026322986493,137.5488750216347,2.6315789473684212,361.97072374114396,20.109484652285776,0.04584962500721157,A,1.61538461538,139,75,17,101,0,17,21,40.97166173966917,/home/senior/senior/Sample_Projects/round_2/17760550/plugin.audio.tracksflow/resources/lib/tracksflow/api.py
17760550,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1,0,1,0,0,0,,/home/senior/senior/Sample_Projects/round_2/17760550/plugin.audio.tracksflow/resources/lib/tracksflow/__init__.py
17760550,6,26,17,31,32,48,137.72120767599534,240.0,3.576923076923077,858.4615384615385,47.69230769230769,0.08,A,2.83333333333,143,106,4,105,0,4,34,38.76004441787555,/home/senior/senior/Sample_Projects/round_2/17760550/plugin.video.1kinobig.ru/default.py
17760550,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0,0,0,0,,/home/senior/senior/Sample_Projects/round_2/17760550/plugin.video.1kinobig.ru/lib/__init__.py
17760550,4,8,5,9,12,14,32.0,50.18947501009619,2.25,112.92631877271643,6.273684376262024,0.016729825003365395,A,3.0,63,42,0,47,0,0,16,50.954249772413654,/home/senior/senior/Sample_Projects/round_2/17760550/plugin.video.1kinobig.ru/lib/httpclient.py
17760550,1,3,2,4,4,6,4.754887502163469,12.0,0.6666666666666666,8.0,0.4444444444444444,0.004,A,1.83333333333,115,75,12,78,0,12,25,50.55879617811014,/home/senior/senior/Sample_Projects/round_2/17760550/plugin.video.1kinobig.ru/lib/parser.py
17760550,2,8,4,8,10,12,26.0,39.863137138648355,1.0,39.863137138648355,2.2146187299249087,0.013287712379549451,A,1.33333333333,35,24,0,22,0,0,13,58.83341493655552,/home/senior/senior/Sample_Projects/round_2/17760550/plugin.video.1kinobig.ru/lib/utils.py
17760550,4,18,13,26,22,39,83.05865002596161,173.9178331268546,2.888888888888889,502.42929569980214,27.91273864998901,0.05797261104228486,A,3.25,35,32,0,32,0,0,3,50.733703241605134,/home/senior/senior/Sample_Projects/round_2/17760550/plugin.video.1kinobig.ru/lib/models.py
17760550,13,325,188,370,338,558,2760.0018864084745,4687.690725445459,7.4,34688.9113682964,1927.1617426831335,1.5625635751484863,A,3.97222222222,974,841,33,826,9,33,106,10.1186127487547,/home/senior/senior/Sample_Projects/round_2/17760550/plugin.video.const.kinozal.tv/default.py
17760550,8,37,20,38,45,58,216.74977452827116,318.52747958712115,4.108108108108108,1308.5453215470923,72.69696230817179,0.10617582652904038,A,3.33333333333,96,77,1,74,4,1,17,41.11253850720468,/home/senior/senior/Sample_Projects/round_2/17760550/plugin.video.const.kinozal.tv/storageserverdummy.py
17760550,8,37,20,38,45,58,216.74977452827116,318.52747958712115,4.108108108108108,1308.5453215470923,72.69696230817179,0.10617582652904038,A,3.33333333333,96,77,1,74,4,1,17,41.11253850720468,/home/senior/senior/Sample_Projects/round_2/17760550/plugin.video.const.kinozal.tv/resources/lib/storageserverdummy.py
17760550,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,A,1.125,104,85,1,85,0,1,18,57.649604561808886,/home/senior/senior/Sample_Projects/round_2/17760550/script.module.brightcove/tests/test_api.py
17760550,1,1,1,2,2,3,0.0,3.0,1.0,3.0,0.16666666666666666,0.001,A,1.22727272727,125,91,5,90,0,5,30,52.88483777153888,/home/senior/senior/Sample_Projects/round_2/17760550/script.module.brightcove/tests/test_core.py
17760550,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0,0,0,0,,/home/senior/senior/Sample_Projects/round_2/17760550/script.module.brightcove/tests/__init__.py
17760550,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,21,0,16,0,0,16,5,,/home/senior/senior/Sample_Projects/round_2/17760550/script.module.brightcove/tests/test_decorators.py
17760550,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,43,0,32,0,0,32,11,,/home/senior/senior/Sample_Projects/round_2/17760550/script.module.brightcove/tests/test_objects.py
17760550,1,4,2,4,5,6,8.0,13.931568569324174,0.5,6.965784284662087,0.3869880158145604,0.004643856189774725,A,1.8,39,32,1,31,0,0,7,58.70350555735793,/home/senior/senior/Sample_Projects/round_2/17760550/script.module.brightcove/tests/utils.py
17760550,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,A,1.0,26,5,4,20,0,4,2,71.02265292916992,/home/senior/senior/Sample_Projects/round_2/17760550/script.module.brightcove/lib/setup.py
17760550,2,6,3,6,8,9,17.509775004326936,27.0,1.0,27.0,1.5,0.009,A,1.13043478261,227,106,20,160,16,2,31,41.57531335341541,/home/senior/senior/Sample_Projects/round_2/17760550/script.module.brightcove/lib/brightcove/api.py
17760550,8,19,10,20,27,30,104.71062275542812,142.64662506490407,4.2105263157894735,600.6173686943329,33.367631594129605,0.04754887502163469,A,2.22727272727,157,104,10,98,11,5,38,41.062299992612516,/home/senior/senior/Sample_Projects/round_2/17760550/script.module.brightcove/lib/brightcove/core.py
17760550,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0,0,0,0,,/home/senior/senior/Sample_Projects/round_2/17760550/script.module.brightcove/lib/brightcove/__init__.py
17760550,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,A,1.5,145,65,2,92,0,4,51,56.85782936310951,/home/senior/senior/Sample_Projects/round_2/17760550/script.module.brightcove/lib/brightcove/objects.py
17760550,4,26,15,30,30,45,130.2114326716684,220.81007680238335,2.3076923076923075,509.5617156978077,28.30898420543376,0.07360335893412778,A,2.58333333333,99,62,12,68,3,11,16,43.11335446117956,/home/senior/senior/Sample_Projects/round_2/17760550/script.module.brightcove/lib/brightcove/utils.py
17760550,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,23,8,0,8,10,0,5,,/home/senior/senior/Sample_Projects/round_2/17760550/script.module.html5lib/lib/html5lib/__init__.py
17760550,16,550,395,791,566,1186,5070.808294626612,10845.564675998612,11.505454545454546,124783.15139948949,6932.397299971639,3.615188225332871,B,5.37837837838,1731,1516,74,1524,23,75,110,1.5816893725884156,/home/senior/senior/Sample_Projects/round_2/17760550/script.module.html5lib/lib/html5lib/tokenizer.py
17760550,9,32,15,33,41,48,188.52932501298082,257.162496221668,4.640625,1193.394709028678,66.29970605714878,0.08572083207388934,A,2.66666666667,82,42,7,45,8,7,22,46.48187842997395,/home/senior/senior/Sample_Projects/round_2/17760550/script.module.html5lib/lib/html5lib/utils.py
17760550,7,73,44,84,80,128,471.5086772526445,809.2067961455823,4.027397260273973,3258.9972337917975,181.05540187732208,0.2697355987151941,B,6.875,271,105,19,220,0,18,32,27.568777039059754,/home/senior/senior/Sample_Projects/round_2/17760550/script.module.html5lib/lib/html5lib/sanitizer.py
17760550,17,210,153,295,227,448,1689.4784270111415,3506.2937223063304,11.94047619047619,41866.81670801487,2325.934261556382,1.1687645741021102,A,3.77586206897,886,607,95,586,63,95,142,14.275222014056117,/home/senior/senior/Sample_Projects/round_2/17760550/script.module.html5lib/lib/html5lib/inputstream.py
17760550,16,414,254,494,430,748,3663.103600404721,6543.648251492916,9.545893719806763,62464.97074855073,3470.2761526972627,2.181216083830972,A,3.70833333333,2713,1655,177,2088,38,174,410,0.3613144680078026,/home/senior/senior/Sample_Projects/round_2/17760550/script.module.html5lib/lib/html5lib/html5parser.py
17760550,13,60,38,75,73,113,402.5191520723453,699.4501751534419,8.125,5683.032673121716,315.72403739565084,0.23315005838448064,A,3.0,285,151,5,233,0,5,47,27.99113281027042,/home/senior/senior/Sample_Projects/round_2/17760550/script.module.html5lib/lib/html5lib/ihatexml.py
17760550,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0,0,0,0,,/home/senior/senior/Sample_Projects/round_2/17760550/script.module.html5lib/lib/html5lib/treeadapters/__init__.py
17760550,3,9,7,14,12,21,33.28421251514428,75.28421251514429,2.3333333333333335,175.66316253533668,9.759064585296482,0.025094737505048096,C,11.0,44,32,1,36,0,0,7,51.13093953014466,/home/senior/senior/Sample_Projects/round_2/17760550/script.module.html5lib/lib/html5lib/treeadapters/sax.py
17760550,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,12,9,0,9,0,0,3,,/home/senior/senior/Sample_Projects/round_2/17760550/script.module.html5lib/lib/html5lib/trie/__init__.py
17760550,2,3,2,3,5,5,6.754887502163469,11.60964047443681,1.0,11.60964047443681,0.6449800263576005,0.0038698801581456034,A,1.5,44,31,0,31,0,0,13,59.25782330692554,/home/senior/senior/Sample_Projects/round_2/17760550/script.module.html5lib/lib/html5lib/trie/datrie.py
17760550,4,8,6,10,12,16,32.0,57.359400011538504,2.5,143.39850002884626,7.966583334935903,0.01911980000384617,A,3.2,37,25,2,23,0,1,12,57.09538107946257,/home/senior/senior/Sample_Projects/round_2/17760550/script.module.html5lib/lib/html5lib/trie/_base.py
17760550,6,18,10,19,24,29,90.56842503028855,132.96391252091354,3.1666666666666665,421.05238964955953,23.39179942497553,0.044321304173637846,A,2.625,67,48,0,48,0,0,19,47.88385661351171,/home/senior/senior/Sample_Projects/round_2/17760550/script.module.html5lib/lib/html5lib/trie/py.py
17760550,12,33,22,42,45,64,209.48455594748285,351.4785981650992,7.636363636363637,2684.0183859880303,149.11213255489056,0.11715953272169972,A,2.64285714286,204,152,4,155,0,9,45,33.968729841276925,/home/senior/senior/Sample_Projects/round_2/17760550/script.module.html5lib/lib/html5lib/treewalkers/lxmletree.py
17760550,9,25,18,33,34,51,144.62572975734892,259.4606049037673,5.94,1541.195993128378,85.62199961824322,0.08648686830125578,A,1.0,138,102,1,103,9,2,25,38.95094678643815,/home/senior/senior/Sample_Projects/round_2/17760550/script.module.html5lib/lib/html5lib/treewalkers/etree.py
17760550,8,26,20,39,34,59,146.2114326716684,300.16030763377006,6.0,1800.9618458026202,100.05343587792335,0.10005343587792336,C,12.0,63,48,0,53,0,0,10,43.23901542220799,/home/senior/senior/Sample_Projects/round_2/17760550/script.module.html5lib/lib/html5lib/treewalkers/pulldom.py
17760550,5,10,7,14,15,21,44.82892142331043,82.0447025077789,3.5,287.15645877722613,15.953136598734785,0.02734823416925963,B,7.0,57,26,1,24,21,1,11,55.124819059339686,/home/senior/senior/Sample_Projects/round_2/17760550/script.module.html5lib/lib/html5lib/treewalkers/__init__.py
17760550,9,46,31,64,55,95,282.6131749916034,549.2291727848427,6.260869565217392,3438.652212218146,191.03623401211922,0.1830763909282809,A,3.3,200,151,2,156,0,0,42,32.465541890851426,/home/senior/senior/Sample_Projects/round_2/17760550/script.module.html5lib/lib/html5lib/treewalkers/_base.py
17760550,8,22,16,32,30,48,122.10749561002054,235.53074858920888,5.818181818181818,1370.3607190644882,76.13115105913823,0.0785102495297363,C,11.3333333333,69,50,2,53,0,2,14,44.06326611858642,/home/senior/senior/Sample_Projects/round_2/17760550/script.module.html5lib/lib/html5lib/treewalkers/genshistream.py
17760550,2,6,5,10,8,15,17.509775004326936,45.0,1.6666666666666667,75.0,4.166666666666667,0.015,A,3.0,46,32,0,33,0,0,13,54.54621300554087,/home/senior/senior/Sample_Projects/round_2/17760550/script.module.html5lib/lib/html5lib/treewalkers/dom.py
17760550,1,2,1,2,3,3,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565,A,2.0,16,10,1,11,0,1,4,70.86798532392255,/home/senior/senior/Sample_Projects/round_2/17760550/script.module.html5lib/lib/html5lib/serializer/__init__.py
17760550,11,103,72,137,114,209,726.7633021048817,1428.0740129604312,7.315533980582524,10447.123968598882,580.3957760332712,0.4760246709868104,B,9.22222222222,320,223,13,227,42,12,38,25.231943541045922,/home/senior/senior/Sample_Projects/round_2/17760550/script.module.html5lib/lib/html5lib/serializer/htmlserializer.py
17760550,8,22,16,31,30,47,122.10749561002054,230.62385799360038,5.636363636363637,1299.8799268730204,72.21555149294558,0.07687461933120013,B,8.66666666667,38,23,1,24,0,1,13,51.78145121757405,/home/senior/senior/Sample_Projects/round_2/17760550/script.module.html5lib/lib/html5lib/filters/whitespace.py
17760550,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0,0,0,0,,/home/senior/senior/Sample_Projects/round_2/17760550/script.module.html5lib/lib/html5lib/filters/__init__.py
17760550,9,112,85,169,121,254,790.9530762834324,1757.3912622677472,6.790178571428571,11933.000490666265,662.9444717036814,0.5857970874225824,C,15.2,205,107,85,114,0,85,6,30.281225453286822,/home/senior/senior/Sample_Projects/round_2/17760550/script.module.html5lib/lib/html5lib/filters/optionaltags.py
17760550,7,35,21,40,42,61,199.17639004747704,328.9313627895044,4.0,1315.7254511580177,73.09585839766766,0.10964378759650148,C,12.0,65,54,3,53,0,3,9,42.96155456783687,/home/senior/senior/Sample_Projects/round_2/17760550/script.module.html5lib/lib/html5lib/filters/inject_meta_charset.py
