project_id,hv,cc,sloc,percent
30593749,-1.0,-1,214,-1.0
30593749,39.863137138648355,7,65,0.09666153846153847
30593749,15.509775004326936,5,56,0.0
30593749,64.72503367497926,6,45,0.13962222222222223
30593749,15.509775004326936,5,120,0.10471666666666667
30593749,4.754887502163469,2,44,0.0
30593749,85.83671966625714,13,52,0.24165384615384614
30593749,458.233636365056,36,172,0.1826453488372093
30593749,803.2549683497126,55,228,0.19289912280701751
30593749,0.0,3,46,0.0
30593749,635.5022751485582,45,365,0.2237780821917808
30593749,13.931568569324174,5,106,0.11854716981132075
30593749,13.931568569324174,6,72,0.08726388888888888
30593749,4.754887502163469,4,58,0.10832758620689655
30593749,-1.0,-1,-1,-1.0
30593749,13.931568569324174,2,48,0.0
30593749,4.754887502163469,5,42,0.1495952380952381
30593749,140.2304206377674,12,121,0.15577685950413223
30593749,157.89111045234063,15,145,0.12999310344827586
30593749,13.931568569324174,4,77,0.0815974025974026
30593749,13.931568569324174,4,84,0.2991904761904762
30593749,-1.0,-1,-1,-1.0
30593749,83.39850002884624,9,106,0.0
30593749,41.51317942364757,4,52,0.12082692307692307
30593749,-1.0,-1,-1,-1.0
30593749,4.754887502163469,3,45,0.0
30593749,15.509775004326936,5,53,0.0
30593749,134.671829503467,12,108,0.23270370370370366
30593749,15.509775004326936,6,81,0.0
30593749,41.51317942364757,11,62,0.10133870967741934
30593749,41.51317942364757,7,99,0.1903939393939394
30593749,24.0,5,114,0.22045614035087718
30593749,0.0,2,39,0.16110256410256407
30593749,41.51317942364757,4,82,0.0766219512195122
30593749,15.509775004326936,3,33,0.0
30593749,-1.0,-1,-1,-1.0
30593749,210.99629561116632,16,160,0.39268749999999997
30593749,25.26619429851844,5,70,0.08975714285714285
30593749,143.95954188301644,13,164,0.0
30593749,27.0,3,47,0.2673617021276596
30593749,85.83671966625714,10,198,0.1903939393939394
30593749,708.0559466273845,34,189,0.13297354497354497
30593749,4.754887502163469,5,102,0.0
30593749,27.0,7,81,0.0
30593749,97.70233280920246,9,94,0.33420212765957447
30593749,66.41714012534482,6,89,0.07059550561797753
30593749,4.754887502163469,3,57,0.6613684210526315
30593749,-1.0,-1,-1,-1.0
30593749,0.0,1,13,0.9666153846153845
30593749,59.207035490257475,6,161,0.03902484472049689
30593749,292.36913196586306,23,223,0.5071479820627802
30593749,15.509775004326936,5,52,0.12082692307692307
30593749,4.0,6,59,0.1064915254237288
30593749,4.754887502163469,3,48,0.1308958333333333
30593749,11.60964047443681,3,41,0.0
30593749,2627.0748962197467,33,363,0.3461707988980716
30593749,0.0,1,19,0.0
30593749,-1.0,-1,-1,-1.0
30593749,27.0,3,42,0.0
30593749,1238.938595814484,47,444,0.24056531531531528
30593749,4.754887502163469,2,36,0.17452777777777775
30593749,80.0,8,87,0.0
30593749,51.89147427955947,2,31,0.20267741935483868
30593749,4.754887502163469,2,26,0.0
30593749,395.4134229357366,17,234,0.24165384615384614
30593749,36.0,7,56,0.11219642857142856
30593749,246.20558481335837,18,226,0.13900442477876104
30593749,27.0,9,91,0.1380879120879121
30593749,13.931568569324174,4,63,0.19946031746031745
30593749,4.754887502163469,2,27,0.23270370370370366
30593749,351.4785981650992,18,324,0.2908796296296296
30593749,127.43782540330756,9,94,0.0668404255319149
30593749,74.23092131656186,8,94,0.0668404255319149
30593749,-1.0,-1,-1,-1.0
30593749,15.509775004326936,4,90,0.06981111111111112
30593749,278.14015821251,13,167,0.22573652694610777
30593749,0.0,2,52,0.24165384615384614
30593749,18.094737505048094,9,47,0.40104255319148935
30593749,57.110323830864054,6,118,0.1064915254237288
30593749,43.01955000865388,6,74,0.08490540540540539
30593749,261.5934338641933,20,235,0.18715319148936171
30593749,57.110323830864054,5,67,0.09377611940298507
30593749,55.350905898196764,6,93,0.13511827956989247
30593749,389.9215698394069,34,239,0.446907949790795
30593749,0.0,2,67,0.0
30593749,318.14672794394687,34,269,0.21021189591078063
30593749,0.0,2,35,0.1795142857142857
30593749,4.754887502163469,3,24,0.0
30593749,24.0,8,67,0.0
30593749,0.0,3,42,0.1495952380952381
30593749,336.4284147915301,26,215,0.3214558139534884
30593749,66.60791492653966,5,70,0.08975714285714285
30593749,18.094737505048094,16,56,0.11219642857142856
30593749,27.0,4,45,0.13962222222222223
30593749,184.60327781484776,25,63,0.09973015873015872
30593749,0.0,1,5,0.0
30593749,-1.0,-1,637,-1.0
30593749,218.60914478074076,8,26,0.24165384615384614
30593749,-1.0,-1,841,-1.0
30593749,223.84836501501496,9,39,0.16110256410256407
30593749,-1.0,-1,353,-1.0
30593749,784.831155002481,24,71,0.3539718309859155
30593749,-1.0,-1,89,-1.0
30593749,1162.8644426745777,44,99,0.3807878787878788
30593749,-1.0,-1,93,-1.0
30593749,-1.0,-1,27,-1.0
30593749,-1.0,-1,333,-1.0
30593749,28.529325012980813,15,59,0.2129830508474576
30593749,-1.0,-1,239,-1.0
30593749,0.0,5,27,0.0
30593749,-1.0,-1,317,-1.0
30593749,223.84836501501496,45,110,0.5140636363636363
30593749,4.754887502163469,3,51,0.0
30593749,68.53238859703687,2,39,0.48330769230769227
30593749,233.1830877661235,13,120,0.05235833333333333
30593749,4.754887502163469,2,26,0.24165384615384614
30593749,0.0,2,38,0.16534210526315787
30593749,2.0,5,77,0.0815974025974026
