project_id,Revision,Author,Date,Lines of Code,L Lines of Code,S Lines of Code,Multi-line comments,Multi lines,blank lines,Single comment lines,Cyclomatic Complexity,Unique Operands,Unique Operators,Number of Operands,Number of Operators,Unique vocabulary (h1 + h2),Length of application,Code volume,Difficulty,Effort,Maintainability Ranking,Maintainability Index
27489574,084f575,Rich Ellis,2020-02-19,529,388,372,17,105,36,16,108,9,37,23,41,46,64,353.508,4.98649,1762.76,A,38.5346
27489574,084f575,Rich Ellis,2020-02-19,527,370,351,21,114,41,21,128,9,101,66,114,110,180,1220.64,5.07921,6199.91,A,34.8168
27489574,084f575,Rich Ellis,2020-02-19,130,79,84,14,3,29,14,22,1,14,7,14,15,21,82.0447,0.5,41.0224,A,65.9899
27489574,084f575,Rich Ellis,2020-02-19,261,149,135,17,86,23,17,66,10,51,37,65,61,102,604.935,6.37255,3854.98,A,53.8578
27489574,084f575,Rich Ellis,2020-02-19,175,78,108,20,7,40,20,8,1,2,1,2,3,3,4.75489,0.5,2.37744,A,78.2007
27489574,084f575,Rich Ellis,2020-02-19,683,497,442,14,150,77,14,60,3,9,9,11,12,20,71.6993,1.83333,131.449,A,48.2465
27489574,084f575,Rich Ellis,2020-02-19,144,73,77,16,19,34,14,16,4,14,10,20,18,30,125.098,2.85714,357.422,A,71.7193
27489574,084f575,Rich Ellis,2020-02-19,220,40,39,16,127,38,16,5,0,0,0,0,0,0,0,0,0,A,100
27489574,084f575,Rich Ellis,2020-02-19,24,3,2,16,4,2,16,0,2,4,2,4,6,6,15.5098,1,15.5098,A,88.6315
27489574,084f575,Rich Ellis,2020-02-19,62,26,25,14,7,16,14,5,1,2,1,2,3,3,4.75489,0.5,2.37744,A,91.3981
27489574,084f575,Rich Ellis,2020-02-19,107,40,33,24,35,21,18,8,1,2,1,2,3,3,4.75489,0.5,2.37744,A,69.8357
27489574,084f575,Rich Ellis,2020-02-19,1652,983,1091,93,320,165,76,154,5,50,27,54,55,81,468.29,2.7,1264.38,A,23.815
